candidate,office,district,party,county,precinct,votes,
Write In,State House,59,DEM,Jefferson,No. 11 Metolius,0,
Over votes,State House,59,DEM,Jefferson,No. 11 Metolius,0,
Under votes,State House,59,DEM,Jefferson,No. 11 Metolius,10,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 11 Metolius,4,
Write In,U.S. House,2,IND,Jefferson,No. 11 Metolius,1,
Over votes,U.S. House,2,IND,Jefferson,No. 11 Metolius,0,
Under votes,U.S. House,2,IND,Jefferson,No. 11 Metolius,0,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 11 Metolius,0,
Skye J Allen,Governor,,IND,Jefferson,No. 11 Metolius,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 11 Metolius,2,
Over votes,Governor,,IND,Jefferson,No. 11 Metolius,0,
Under votes,Governor,,IND,Jefferson,No. 11 Metolius,0,
Over Votes,State House,59,IND,Jefferson,No. 11 Metolius,0,
Under votes,State House,59,IND,Jefferson,No. 11 Metolius,3,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 11 Metolius,9,
Greg Walden,U.S. House,2,REP,Jefferson,No. 11 Metolius,34,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 11 Metolius,15,
Write In,U.S. House,2,REP,Jefferson,No. 11 Metolius,0,
Over votes,U.S. House,2,REP,Jefferson,No. 11 Metolius,0,
Under votes,U.S. House,2,REP,Jefferson,No. 11 Metolius,2,
Knute Buehler,Governor,,REP,Jefferson,No. 11 Metolius,26,
Keenen W Bohach,Governor,,REP,Jefferson,No. 11 Metolius,1,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 11 Metolius,4,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 11 Metolius,0,
David W Stauffer,Governor,,REP,Jefferson,No. 11 Metolius,0,
Jeff Smith,Governor,,REP,Jefferson,No. 11 Metolius,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 11 Metolius,0,
Brett Hyland,Governor,,REP,Jefferson,No. 11 Metolius,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 11 Metolius,2,
Sam Carpenter,Governor,,REP,Jefferson,No. 11 Metolius,26,
Write In,Governor,,REP,Jefferson,No. 11 Metolius,0,
Over votes,Governor,,REP,Jefferson,No. 11 Metolius,0,
Under votes,Governor,,REP,Jefferson,No. 11 Metolius,0,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 11 Metolius,29,
Write Ins,State Senate,30,REP,Jefferson,No. 11 Metolius,0,
Over Votes,State Senate,30,REP,Jefferson,No. 11 Metolius,0,
Under votes,State Senate,30,REP,Jefferson,No. 11 Metolius,31,
Daniel G Bonham,State House,59,REP,Jefferson,No. 11 Metolius,28,
Write Ins,State House,59,REP,Jefferson,No. 11 Metolius,0,
Over votes,State House,59,REP,Jefferson,No. 11 Metolius,0,
Under votes,State House,59,REP,Jefferson,No. 11 Metolius,32,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,25,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,42,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,31,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 11 Metolius,30,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 13 East Madras,4,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 13 East Madras,3,
Tim S White,U.S. House,2,DEM,Jefferson,No. 13 East Madras,9,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 13 East Madras,6,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 13 East Madras,50,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 13 East Madras,43,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 13 East Madras,48,
Write Ins,U.S. House,2,DEM,Jefferson,No. 13 East Madras,2,
Over Votes,U.S. House,2,DEM,Jefferson,No. 13 East Madras,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 13 East Madras,36,
Ed Jones,Governor,,DEM,Jefferson,No. 13 East Madras,29,
Kate Brown,Governor,,DEM,Jefferson,No. 13 East Madras,132,
Candace Neville,Governor,,DEM,Jefferson,No. 13 East Madras,15,
Write-Ins,Governor,,DEM,Jefferson,No. 13 East Madras,9,
Over votes,Governor,,DEM,Jefferson,No. 13 East Madras,0,
Under votes,Governor,,DEM,Jefferson,No. 13 East Madras,16,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 13 East Madras,124,
Write In,State Senate,30,DEM,Jefferson,No. 13 East Madras,1,
Over votes,State Senate,30,DEM,Jefferson,No. 13 East Madras,0,
Under votes,State Senate,30,DEM,Jefferson,No. 13 East Madras,76,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 13 East Madras,119,
Write In,State House,59,DEM,Jefferson,No. 13 East Madras,1,
Over votes,State House,59,DEM,Jefferson,No. 13 East Madras,0,
Under votes,State House,59,DEM,Jefferson,No. 13 East Madras,81,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 13 East Madras,21,
Write In,U.S. House,2,IND,Jefferson,No. 13 East Madras,1,
Over votes,U.S. House,2,IND,Jefferson,No. 13 East Madras,0,
Under votes,U.S. House,2,IND,Jefferson,No. 13 East Madras,15,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 13 East Madras,3,
Skye J Allen,Governor,,IND,Jefferson,No. 13 East Madras,3,
Patrick Starnes,Governor,,IND,Jefferson,No. 13 East Madras,7,
Over votes,Governor,,IND,Jefferson,No. 13 East Madras,0,
Under votes,Governor,,IND,Jefferson,No. 13 East Madras,9,
Over Votes,State House,59,IND,Jefferson,No. 13 East Madras,0,
Under votes,State House,59,IND,Jefferson,No. 13 East Madras,31,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 13 East Madras,24,
Greg Walden,U.S. House,2,REP,Jefferson,No. 13 East Madras,223,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 13 East Madras,49,
Write In,U.S. House,2,REP,Jefferson,No. 13 East Madras,0,
Over votes,U.S. House,2,REP,Jefferson,No. 13 East Madras,0,
Under votes,U.S. House,2,REP,Jefferson,No. 13 East Madras,26,
Knute Buehler,Governor,,REP,Jefferson,No. 13 East Madras,128,
Keenen W Bohach,Governor,,REP,Jefferson,No. 13 East Madras,2,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 13 East Madras,48,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 13 East Madras,2,
David W Stauffer,Governor,,REP,Jefferson,No. 13 East Madras,5,
Jeff Smith,Governor,,REP,Jefferson,No. 13 East Madras,2,
Jack W Tacy ,Governor,,REP,Jefferson,No. 13 East Madras,0,
Brett Hyland,Governor,,REP,Jefferson,No. 13 East Madras,1,
Bruce Cuff,Governor,,REP,Jefferson,No. 13 East Madras,5,
Sam Carpenter,Governor,,REP,Jefferson,No. 13 East Madras,116,
Write In,Governor,,REP,Jefferson,No. 13 East Madras,1,
Over votes,Governor,,REP,Jefferson,No. 13 East Madras,0,
Under votes,Governor,,REP,Jefferson,No. 13 East Madras,12,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 13 East Madras,209,
Write Ins,State Senate,30,REP,Jefferson,No. 13 East Madras,2,
Over Votes,State Senate,30,REP,Jefferson,No. 13 East Madras,0,
Under votes,State Senate,30,REP,Jefferson,No. 13 East Madras,111,
Daniel G Bonham,State House,59,REP,Jefferson,No. 13 East Madras,221,
Write Ins,State House,59,REP,Jefferson,No. 13 East Madras,2,
Over votes,State House,59,REP,Jefferson,No. 13 East Madras,0,
Under votes,State House,59,REP,Jefferson,No. 13 East Madras,99,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,203,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,179,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,99,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,1,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 13 East Madras,172,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,5,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,3,
Tim S White,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,5,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,4,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,18,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,8,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,25,
Write Ins,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,0,
Over Votes,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 14 Warm Springs,10,
Ed Jones,Governor,,DEM,Jefferson,No. 14 Warm Springs,8,
Kate Brown,Governor,,DEM,Jefferson,No. 14 Warm Springs,65,
Candace Neville,Governor,,DEM,Jefferson,No. 14 Warm Springs,3,
Write-Ins,Governor,,DEM,Jefferson,No. 14 Warm Springs,0,
Over votes,Governor,,DEM,Jefferson,No. 14 Warm Springs,0,
Under votes,Governor,,DEM,Jefferson,No. 14 Warm Springs,2,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 14 Warm Springs,62,
Write In,State Senate,30,DEM,Jefferson,No. 14 Warm Springs,0,
Over votes,State Senate,30,DEM,Jefferson,No. 14 Warm Springs,0,
Under votes,State Senate,30,DEM,Jefferson,No. 14 Warm Springs,16,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 14 Warm Springs,63,
Write In,State House,59,DEM,Jefferson,No. 14 Warm Springs,0,
Over votes,State House,59,DEM,Jefferson,No. 14 Warm Springs,0,
Under votes,State House,59,DEM,Jefferson,No. 14 Warm Springs,15,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 14 Warm Springs,6,
Write In,U.S. House,2,IND,Jefferson,No. 14 Warm Springs,0,
Over votes,U.S. House,2,IND,Jefferson,No. 14 Warm Springs,0,
Under votes,U.S. House,2,IND,Jefferson,No. 14 Warm Springs,2,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 14 Warm Springs,0,
Skye J Allen,Governor,,IND,Jefferson,No. 14 Warm Springs,1,
Patrick Starnes,Governor,,IND,Jefferson,No. 14 Warm Springs,3,
Over votes,Governor,,IND,Jefferson,No. 14 Warm Springs,0,
Under votes,Governor,,IND,Jefferson,No. 14 Warm Springs,1,
Over Votes,State House,59,IND,Jefferson,No. 14 Warm Springs,0,
Under votes,State House,59,IND,Jefferson,No. 14 Warm Springs,6,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,1,
Greg Walden,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,16,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,3,
Write In,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,0,
Over votes,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,0,
Under votes,U.S. House,2,REP,Jefferson,No. 14 Warm Springs,0,
Knute Buehler,Governor,,REP,Jefferson,No. 14 Warm Springs,8,
Keenen W Bohach,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 14 Warm Springs,2,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 14 Warm Springs,1,
David W Stauffer,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Jeff Smith,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Jack W Tacy ,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Brett Hyland,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 14 Warm Springs,2,
Sam Carpenter,Governor,,REP,Jefferson,No. 14 Warm Springs,4,
Write In,Governor,,REP,Jefferson,No. 14 Warm Springs,2,
Over votes,Governor,,REP,Jefferson,No. 14 Warm Springs,0,
Under votes,Governor,,REP,Jefferson,No. 14 Warm Springs,1,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 14 Warm Springs,17,
Write Ins,State Senate,30,REP,Jefferson,No. 14 Warm Springs,1,
Over Votes,State Senate,30,REP,Jefferson,No. 14 Warm Springs,0,
Under votes,State Senate,30,REP,Jefferson,No. 14 Warm Springs,2,
Daniel G Bonham,State House,59,REP,Jefferson,No. 14 Warm Springs,18,
Write Ins,State House,59,REP,Jefferson,No. 14 Warm Springs,0,
Over votes,State House,59,REP,Jefferson,No. 14 Warm Springs,0,
Under votes,State House,59,REP,Jefferson,No. 14 Warm Springs,2,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,37,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,70,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,28,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,1,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 14 Warm Springs,15,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,0,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,1,
Tim S White,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,2,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,8,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,28,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,3,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,18,
Write Ins,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,0,
Over Votes,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 16 Camp Sherman,3,
Ed Jones,Governor,,DEM,Jefferson,No. 16 Camp Sherman,5,
Kate Brown,Governor,,DEM,Jefferson,No. 16 Camp Sherman,55,
Candace Neville,Governor,,DEM,Jefferson,No. 16 Camp Sherman,2,
Write-Ins,Governor,,DEM,Jefferson,No. 16 Camp Sherman,0,
Over votes,Governor,,DEM,Jefferson,No. 16 Camp Sherman,0,
Under votes,Governor,,DEM,Jefferson,No. 16 Camp Sherman,1,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 16 Camp Sherman,47,
Write In,State Senate,30,DEM,Jefferson,No. 16 Camp Sherman,2,
Over votes,State Senate,30,DEM,Jefferson,No. 16 Camp Sherman,0,
Under votes,State Senate,30,DEM,Jefferson,No. 16 Camp Sherman,14,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 16 Camp Sherman,48,
Write In,State House,59,DEM,Jefferson,No. 16 Camp Sherman,1,
Over votes,State House,59,DEM,Jefferson,No. 16 Camp Sherman,0,
Under votes,State House,59,DEM,Jefferson,No. 16 Camp Sherman,14,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 16 Camp Sherman,5,
Write In,U.S. House,2,IND,Jefferson,No. 16 Camp Sherman,2,
Over votes,U.S. House,2,IND,Jefferson,No. 16 Camp Sherman,0,
Under votes,U.S. House,2,IND,Jefferson,No. 16 Camp Sherman,0,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 16 Camp Sherman,1,
Skye J Allen,Governor,,IND,Jefferson,No. 16 Camp Sherman,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 16 Camp Sherman,2,
Over votes,Governor,,IND,Jefferson,No. 16 Camp Sherman,0,
Under votes,Governor,,IND,Jefferson,No. 16 Camp Sherman,3,
Over Votes,State House,59,IND,Jefferson,No. 16 Camp Sherman,0,
Under votes,State House,59,IND,Jefferson,No. 16 Camp Sherman,5,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,0,
Greg Walden,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,20,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,7,
Write In,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,0,
Over votes,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,0,
Under votes,U.S. House,2,REP,Jefferson,No. 16 Camp Sherman,2,
Knute Buehler,Governor,,REP,Jefferson,No. 16 Camp Sherman,17,
Keenen W Bohach,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 16 Camp Sherman,1,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
David W Stauffer,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Jeff Smith,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Jack W Tacy ,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Brett Hyland,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Sam Carpenter,Governor,,REP,Jefferson,No. 16 Camp Sherman,10,
Write In,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Over votes,Governor,,REP,Jefferson,No. 16 Camp Sherman,0,
Under votes,Governor,,REP,Jefferson,No. 16 Camp Sherman,1,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 16 Camp Sherman,14,
Write Ins,State Senate,30,REP,Jefferson,No. 16 Camp Sherman,0,
Over Votes,State Senate,30,REP,Jefferson,No. 16 Camp Sherman,0,
Under votes,State Senate,30,REP,Jefferson,No. 16 Camp Sherman,15,
Daniel G Bonham,State House,59,REP,Jefferson,No. 16 Camp Sherman,17,
Write Ins,State House,59,REP,Jefferson,No. 16 Camp Sherman,0,
Over votes,State House,59,REP,Jefferson,No. 16 Camp Sherman,0,
Under votes,State House,59,REP,Jefferson,No. 16 Camp Sherman,12,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,29,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,59,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,7,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,1,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 16 Camp Sherman,14,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 17 Culver,4,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 17 Culver,2,
Tim S White,U.S. House,2,DEM,Jefferson,No. 17 Culver,3,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 17 Culver,6,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 17 Culver,10,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 17 Culver,12,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 17 Culver,8,
Write Ins,U.S. House,2,DEM,Jefferson,No. 17 Culver,2,
Over Votes,U.S. House,2,DEM,Jefferson,No. 17 Culver,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 17 Culver,8,
Ed Jones,Governor,,DEM,Jefferson,No. 17 Culver,9,
Kate Brown,Governor,,DEM,Jefferson,No. 17 Culver,31,
Candace Neville,Governor,,DEM,Jefferson,No. 17 Culver,13,
Write-Ins,Governor,,DEM,Jefferson,No. 17 Culver,1,
Over votes,Governor,,DEM,Jefferson,No. 17 Culver,0,
Under votes,Governor,,DEM,Jefferson,No. 17 Culver,1,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 17 Culver,30,
Write In,State Senate,30,DEM,Jefferson,No. 17 Culver,0,
Over votes,State Senate,30,DEM,Jefferson,No. 17 Culver,0,
Under votes,State Senate,30,DEM,Jefferson,No. 17 Culver,25,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 17 Culver,32,
Write In,State House,59,DEM,Jefferson,No. 17 Culver,0,
Over votes,State House,59,DEM,Jefferson,No. 17 Culver,0,
Under votes,State House,59,DEM,Jefferson,No. 17 Culver,23,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 17 Culver,13,
Write In,U.S. House,2,IND,Jefferson,No. 17 Culver,0,
Over votes,U.S. House,2,IND,Jefferson,No. 17 Culver,0,
Under votes,U.S. House,2,IND,Jefferson,No. 17 Culver,0,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 17 Culver,3,
Skye J Allen,Governor,,IND,Jefferson,No. 17 Culver,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 17 Culver,5,
Over votes,Governor,,IND,Jefferson,No. 17 Culver,0,
Under votes,Governor,,IND,Jefferson,No. 17 Culver,1,
Over Votes,State House,59,IND,Jefferson,No. 17 Culver,0,
Under votes,State House,59,IND,Jefferson,No. 17 Culver,11,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 17 Culver,9,
Greg Walden,U.S. House,2,REP,Jefferson,No. 17 Culver,80,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 17 Culver,24,
Write In,U.S. House,2,REP,Jefferson,No. 17 Culver,1,
Over votes,U.S. House,2,REP,Jefferson,No. 17 Culver,0,
Under votes,U.S. House,2,REP,Jefferson,No. 17 Culver,10,
Knute Buehler,Governor,,REP,Jefferson,No. 17 Culver,43,
Keenen W Bohach,Governor,,REP,Jefferson,No. 17 Culver,1,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 17 Culver,20,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 17 Culver,0,
David W Stauffer,Governor,,REP,Jefferson,No. 17 Culver,0,
Jeff Smith,Governor,,REP,Jefferson,No. 17 Culver,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 17 Culver,0,
Brett Hyland,Governor,,REP,Jefferson,No. 17 Culver,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 17 Culver,1,
Sam Carpenter,Governor,,REP,Jefferson,No. 17 Culver,55,
Write In,Governor,,REP,Jefferson,No. 17 Culver,0,
Over votes,Governor,,REP,Jefferson,No. 17 Culver,1,
Under votes,Governor,,REP,Jefferson,No. 17 Culver,2,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 17 Culver,86,
Write Ins,State Senate,30,REP,Jefferson,No. 17 Culver,0,
Over Votes,State Senate,30,REP,Jefferson,No. 17 Culver,0,
Under votes,State Senate,30,REP,Jefferson,No. 17 Culver,38,
Daniel G Bonham,State House,59,REP,Jefferson,No. 17 Culver,89,
Write Ins,State House,59,REP,Jefferson,No. 17 Culver,1,
Over votes,State House,59,REP,Jefferson,No. 17 Culver,0,
Under votes,State House,59,REP,Jefferson,No. 17 Culver,34,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,75,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,62,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,44,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,1,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,46,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,4,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,3,
Tim S White,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,0,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,2,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,4,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,10,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,6,
Write Ins,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,1,
Over Votes,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,11,
Ed Jones,Governor,,DEM,Jefferson,No. 18 Round Butte,13,
Kate Brown,Governor,,DEM,Jefferson,No. 18 Round Butte,17,
Candace Neville,Governor,,DEM,Jefferson,No. 18 Round Butte,3,
Write-Ins,Governor,,DEM,Jefferson,No. 18 Round Butte,4,
Over votes,Governor,,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,Governor,,DEM,Jefferson,No. 18 Round Butte,4,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 18 Round Butte,22,
Write In,State Senate,30,DEM,Jefferson,No. 18 Round Butte,1,
Over votes,State Senate,30,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,State Senate,30,DEM,Jefferson,No. 18 Round Butte,18,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 18 Round Butte,22,
Write In,State House,59,DEM,Jefferson,No. 18 Round Butte,0,
Over votes,State House,59,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,State House,59,DEM,Jefferson,No. 18 Round Butte,19,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 18 Round Butte,7,
Write In,U.S. House,2,IND,Jefferson,No. 18 Round Butte,1,
Over votes,U.S. House,2,IND,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,IND,Jefferson,No. 18 Round Butte,3,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 18 Round Butte,1,
Skye J Allen,Governor,,IND,Jefferson,No. 18 Round Butte,1,
Patrick Starnes,Governor,,IND,Jefferson,No. 18 Round Butte,0,
Over votes,Governor,,IND,Jefferson,No. 18 Round Butte,0,
Under votes,Governor,,IND,Jefferson,No. 18 Round Butte,6,
Over Votes,State House,59,IND,Jefferson,No. 18 Round Butte,0,
Under votes,State House,59,IND,Jefferson,No. 18 Round Butte,11,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 18 Round Butte,6,
Greg Walden,U.S. House,2,REP,Jefferson,No. 18 Round Butte,75,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 18 Round Butte,21,
Write In,U.S. House,2,REP,Jefferson,No. 18 Round Butte,1,
Over votes,U.S. House,2,REP,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,REP,Jefferson,No. 18 Round Butte,7,
Knute Buehler,Governor,,REP,Jefferson,No. 18 Round Butte,60,
Keenen W Bohach,Governor,,REP,Jefferson,No. 18 Round Butte,1,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 18 Round Butte,7,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 18 Round Butte,0,
David W Stauffer,Governor,,REP,Jefferson,No. 18 Round Butte,0,
