candidate,office,district,party,county,precinct,total votes,votes
Suzanne Bonamici,U.S. House,1,DEM,Columbia,10 Milton,,154
Michael E Stansfield,U.S. House,1,DEM,Columbia,10 Milton,,12
Write In,U.S. House,1,DEM,Columbia,10 Milton,,4
Over votes,U.S. House,1,DEM,Columbia,10 Milton,,0
Under votes,U.S. House,1,DEM,Columbia,10 Milton,,18
Ed Jones,Governor,,DEM,Columbia,10 Milton,,36
Kate Brown,Governor,,DEM,Columbia,10 Milton,,104
Candace Neville,Governor,,DEM,Columbia,10 Milton,,33
Write-Ins,Governor,,DEM,Columbia,10 Milton,,10
Over votes,Governor,,DEM,Columbia,10 Milton,,0
Under votes,Governor,,DEM,Columbia,10 Milton,,15
Betsy Johnson,State Senate,16,DEM,Columbia,10 Milton,,154
Write In,State Senate,16,DEM,Columbia,10 Milton,,4
Over votes,State Senate,16,DEM,Columbia,10 Milton,,0
Under votes,State Senate,16,DEM,Columbia,10 Milton,,40
Brad Witt,State House,31,DEM,Columbia,10 Milton,,152
Write In,State House,31,DEM,Columbia,10 Milton,,5
Over votes,State House,31,DEM,Columbia,10 Milton,,0
Under votes,State House,31,DEM,Columbia,10 Milton,,41
Write In,U.S. House,1,IND,Columbia,10 Milton,,1
Over votes,U.S. House,1,IND,Columbia,10 Milton,,0
Under votes,U.S. House,1,IND,Columbia,10 Milton,,7
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,10 Milton,,0
Skye J Allen,Governor,,IND,Columbia,10 Milton,,0
Patrick Starnes,Governor,,IND,Columbia,10 Milton,,3
Write In,Governor,,IND,Columbia,10 Milton,,4
Over votes,Governor,,IND,Columbia,10 Milton,,0
Under votes,Governor,,IND,Columbia,10 Milton,,1
Write In,State Senate,16,IND,Columbia,10 Milton,,1
Over votes,State Senate,16,IND,Columbia,10 Milton,,0
Under votes,State Senate,16,IND,Columbia,10 Milton,,7
Write In,State House,31,IND,Columbia,10 Milton,,1
Over votes,State House,31,IND,Columbia,10 Milton,,0
Under votes,State House,31,IND,Columbia,10 Milton,,7
John Verbeek,U.S. House,1,REP,Columbia,10 Milton,,55
George Griffith,U.S. House,1,REP,Columbia,10 Milton,,40
Preston L Miller,U.S. House,1,REP,Columbia,10 Milton,,16
Write In,U.S. House,1,REP,Columbia,10 Milton,,1
Over votes,U.S. House,1,REP,Columbia,10 Milton,,0
Under votes,U.S. House,1,REP,Columbia,10 Milton,,41
Knute Buehler,Governor,,REP,Columbia,10 Milton,,68
Keenen W Bohach,Governor,,REP,Columbia,10 Milton,,0
Greg C Wooldridge,Governor,,REP,Columbia,10 Milton,,21
Jonathan I Edwards III,Governor,,REP,Columbia,10 Milton,,0
David W Stauffer,Governor,,REP,Columbia,10 Milton,,3
Jeff Smith,Governor,,REP,Columbia,10 Milton,,2
Jack W Tacy ,Governor,,REP,Columbia,10 Milton,,0
Brett Hyland,Governor,,REP,Columbia,10 Milton,,0
Bruce Cuff,Governor,,REP,Columbia,10 Milton,,1
Sam Carpenter,Governor,,REP,Columbia,10 Milton,,52
Write In,Governor,,REP,Columbia,10 Milton,,0
Over votes,Governor,,REP,Columbia,10 Milton,,0
Under votes,Governor,,REP,Columbia,10 Milton,,6
Write In,State Senate,16,REP,Columbia,10 Milton,,32
Over votes,State Senate,16,REP,Columbia,10 Milton,,0
Under votes,State Senate,16,REP,Columbia,10 Milton,,121
Brian G Stout,State House,31,REP,Columbia,10 Milton,,96
Write In,State House,31,REP,Columbia,10 Milton,,1
Over votes,State House,31,REP,Columbia,10 Milton,,0
Under votes,State House,31,REP,Columbia,10 Milton,,56
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,129
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,130
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,44
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,10 Milton,,99
,Registered Voters,,,Columbia,12 McNulty,,1191
,Registered Voters,,NonPartisan,Columbia,12 McNulty,,349
,Registered Voters,,DEM,Columbia,12 McNulty,,447
,Registered Voters,,IND,Columbia,12 McNulty,,34
,Registered Voters,,REP,Columbia,12 McNulty,,361
,Ballots Cast,,,Columbia,12 McNulty,,459
,Ballots Cast,,NonPartisan,Columbia,12 McNulty,,38
,Ballots Cast,,DEM,Columbia,12 McNulty,,213
,Ballots Cast,,IND,Columbia,12 McNulty,,16
,Ballots Cast,,REP,Columbia,12 McNulty,,192
,Ballots Cast,,Blank,Columbia,12 McNulty,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,12 McNulty,,11
Suzanne Bonamici,U.S. House,1,DEM,Columbia,12 McNulty,,170
Michael E Stansfield,U.S. House,1,DEM,Columbia,12 McNulty,,17
Write In,U.S. House,1,DEM,Columbia,12 McNulty,,2
Over votes,U.S. House,1,DEM,Columbia,12 McNulty,,0
Under votes,U.S. House,1,DEM,Columbia,12 McNulty,,13
Ed Jones,Governor,,DEM,Columbia,12 McNulty,,31
Kate Brown,Governor,,DEM,Columbia,12 McNulty,,135
Candace Neville,Governor,,DEM,Columbia,12 McNulty,,26
Write-Ins,Governor,,DEM,Columbia,12 McNulty,,9
Over votes,Governor,,DEM,Columbia,12 McNulty,,0
Under votes,Governor,,DEM,Columbia,12 McNulty,,12
Betsy Johnson,State Senate,16,DEM,Columbia,12 McNulty,,176
Write In,State Senate,16,DEM,Columbia,12 McNulty,,2
Over votes,State Senate,16,DEM,Columbia,12 McNulty,,0
Under votes,State Senate,16,DEM,Columbia,12 McNulty,,35
Brad Witt,State House,31,DEM,Columbia,12 McNulty,,177
Write In,State House,31,DEM,Columbia,12 McNulty,,4
Over votes,State House,31,DEM,Columbia,12 McNulty,,0
Under votes,State House,31,DEM,Columbia,12 McNulty,,32
Write In,U.S. House,1,IND,Columbia,12 McNulty,,5
Over votes,U.S. House,1,IND,Columbia,12 McNulty,,0
Under votes,U.S. House,1,IND,Columbia,12 McNulty,,11
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,12 McNulty,,0
Skye J Allen,Governor,,IND,Columbia,12 McNulty,,0
Patrick Starnes,Governor,,IND,Columbia,12 McNulty,,4
Write In,Governor,,IND,Columbia,12 McNulty,,6
Over votes,Governor,,IND,Columbia,12 McNulty,,0
Under votes,Governor,,IND,Columbia,12 McNulty,,6
Write In,State Senate,16,IND,Columbia,12 McNulty,,4
Over votes,State Senate,16,IND,Columbia,12 McNulty,,0
Under votes,State Senate,16,IND,Columbia,12 McNulty,,12
Write In,State House,31,IND,Columbia,12 McNulty,,6
Over votes,State House,31,IND,Columbia,12 McNulty,,0
Under votes,State House,31,IND,Columbia,12 McNulty,,10
John Verbeek,U.S. House,1,REP,Columbia,12 McNulty,,69
George Griffith,U.S. House,1,REP,Columbia,12 McNulty,,75
Preston L Miller,U.S. House,1,REP,Columbia,12 McNulty,,10
Write In,U.S. House,1,REP,Columbia,12 McNulty,,1
Over votes,U.S. House,1,REP,Columbia,12 McNulty,,0
Under votes,U.S. House,1,REP,Columbia,12 McNulty,,37
Knute Buehler,Governor,,REP,Columbia,12 McNulty,,61
Keenen W Bohach,Governor,,REP,Columbia,12 McNulty,,0
Greg C Wooldridge,Governor,,REP,Columbia,12 McNulty,,34
Jonathan I Edwards III,Governor,,REP,Columbia,12 McNulty,,0
David W Stauffer,Governor,,REP,Columbia,12 McNulty,,0
Jeff Smith,Governor,,REP,Columbia,12 McNulty,,1
Jack W Tacy ,Governor,,REP,Columbia,12 McNulty,,0
Brett Hyland,Governor,,REP,Columbia,12 McNulty,,1
Bruce Cuff,Governor,,REP,Columbia,12 McNulty,,0
Sam Carpenter,Governor,,REP,Columbia,12 McNulty,,88
Write In,Governor,,REP,Columbia,12 McNulty,,1
Over votes,Governor,,REP,Columbia,12 McNulty,,1
Under votes,Governor,,REP,Columbia,12 McNulty,,5
Write In,State Senate,16,REP,Columbia,12 McNulty,,33
Over votes,State Senate,16,REP,Columbia,12 McNulty,,0
Under votes,State Senate,16,REP,Columbia,12 McNulty,,159
Brian G Stout,State House,31,REP,Columbia,12 McNulty,,113
Write In,State House,31,REP,Columbia,12 McNulty,,2
Over votes,State House,31,REP,Columbia,12 McNulty,,0
Under votes,State House,31,REP,Columbia,12 McNulty,,77
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,164
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,146
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,65
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,12 McNulty,,84
,Registered Voters,,,Columbia,14 Quincy,,553
,Registered Voters,,NonPartisan,Columbia,14 Quincy,,183
,Registered Voters,,DEM,Columbia,14 Quincy,,174
,Registered Voters,,IND,Columbia,14 Quincy,,24
,Registered Voters,,REP,Columbia,14 Quincy,,172
,Ballots Cast,,,Columbia,14 Quincy,,222
,Ballots Cast,,NonPartisan,Columbia,14 Quincy,,37
,Ballots Cast,,DEM,Columbia,14 Quincy,,84
,Ballots Cast,,IND,Columbia,14 Quincy,,12
,Ballots Cast,,REP,Columbia,14 Quincy,,89
,Ballots Cast,,Blank,Columbia,14 Quincy,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,14 Quincy,,3
Suzanne Bonamici,U.S. House,1,DEM,Columbia,14 Quincy,,70
Michael E Stansfield,U.S. House,1,DEM,Columbia,14 Quincy,,3
Write In,U.S. House,1,DEM,Columbia,14 Quincy,,1
Over votes,U.S. House,1,DEM,Columbia,14 Quincy,,0
Under votes,U.S. House,1,DEM,Columbia,14 Quincy,,7
Ed Jones,Governor,,DEM,Columbia,14 Quincy,,14
Kate Brown,Governor,,DEM,Columbia,14 Quincy,,55
Candace Neville,Governor,,DEM,Columbia,14 Quincy,,8
Write-Ins,Governor,,DEM,Columbia,14 Quincy,,2
Over votes,Governor,,DEM,Columbia,14 Quincy,,0
Under votes,Governor,,DEM,Columbia,14 Quincy,,5
Betsy Johnson,State Senate,16,DEM,Columbia,14 Quincy,,73
Write In,State Senate,16,DEM,Columbia,14 Quincy,,0
Over votes,State Senate,16,DEM,Columbia,14 Quincy,,0
Under votes,State Senate,16,DEM,Columbia,14 Quincy,,11
Brad Witt,State House,31,DEM,Columbia,14 Quincy,,70
Write In,State House,31,DEM,Columbia,14 Quincy,,1
Over votes,State House,31,DEM,Columbia,14 Quincy,,0
Under votes,State House,31,DEM,Columbia,14 Quincy,,13
Write In,U.S. House,1,IND,Columbia,14 Quincy,,6
Over votes,U.S. House,1,IND,Columbia,14 Quincy,,0
Under votes,U.S. House,1,IND,Columbia,14 Quincy,,6
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,14 Quincy,,0
Skye J Allen,Governor,,IND,Columbia,14 Quincy,,1
Patrick Starnes,Governor,,IND,Columbia,14 Quincy,,2
Write In,Governor,,IND,Columbia,14 Quincy,,6
Over votes,Governor,,IND,Columbia,14 Quincy,,0
Under votes,Governor,,IND,Columbia,14 Quincy,,3
Write In,State Senate,16,IND,Columbia,14 Quincy,,4
Over votes,State Senate,16,IND,Columbia,14 Quincy,,0
Under votes,State Senate,16,IND,Columbia,14 Quincy,,8
Write In,State House,31,IND,Columbia,14 Quincy,,6
Over votes,State House,31,IND,Columbia,14 Quincy,,0
Under votes,State House,31,IND,Columbia,14 Quincy,,6
John Verbeek,U.S. House,1,REP,Columbia,14 Quincy,,24
George Griffith,U.S. House,1,REP,Columbia,14 Quincy,,30
Preston L Miller,U.S. House,1,REP,Columbia,14 Quincy,,6
Write In,U.S. House,1,REP,Columbia,14 Quincy,,1
Over votes,U.S. House,1,REP,Columbia,14 Quincy,,0
Under votes,U.S. House,1,REP,Columbia,14 Quincy,,28
Knute Buehler,Governor,,REP,Columbia,14 Quincy,,16
Keenen W Bohach,Governor,,REP,Columbia,14 Quincy,,0
Greg C Wooldridge,Governor,,REP,Columbia,14 Quincy,,23
Jonathan I Edwards III,Governor,,REP,Columbia,14 Quincy,,0
David W Stauffer,Governor,,REP,Columbia,14 Quincy,,1
Jeff Smith,Governor,,REP,Columbia,14 Quincy,,3
Jack W Tacy ,Governor,,REP,Columbia,14 Quincy,,0
Brett Hyland,Governor,,REP,Columbia,14 Quincy,,0
Bruce Cuff,Governor,,REP,Columbia,14 Quincy,,1
Sam Carpenter,Governor,,REP,Columbia,14 Quincy,,39
Write In,Governor,,REP,Columbia,14 Quincy,,2
Over votes,Governor,,REP,Columbia,14 Quincy,,0
Under votes,Governor,,REP,Columbia,14 Quincy,,4
Write In,State Senate,16,REP,Columbia,14 Quincy,,18
Over votes,State Senate,16,REP,Columbia,14 Quincy,,0
Under votes,State Senate,16,REP,Columbia,14 Quincy,,71
Brian G Stout,State House,31,REP,Columbia,14 Quincy,,42
Write In,State House,31,REP,Columbia,14 Quincy,,3
Over votes,State House,31,REP,Columbia,14 Quincy,,0
Under votes,State House,31,REP,Columbia,14 Quincy,,44
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,70
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,69
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,30
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,14 Quincy,,53
,Registered Voters,,,Columbia,15 City of Rainier,,1350
,Registered Voters,,NonPartisan,Columbia,15 City of Rainier,,536
,Registered Voters,,DEM,Columbia,15 City of Rainier,,409
,Registered Voters,,IND,Columbia,15 City of Rainier,,76
,Registered Voters,,REP,Columbia,15 City of Rainier,,329
,Ballots Cast,,,Columbia,15 City of Rainier,,365
,Ballots Cast,,NonPartisan,Columbia,15 City of Rainier,,49
,Ballots Cast,,DEM,Columbia,15 City of Rainier,,166
,Ballots Cast,,IND,Columbia,15 City of Rainier,,29
,Ballots Cast,,REP,Columbia,15 City of Rainier,,121
,Ballots Cast,,Blank,Columbia,15 City of Rainier,,2
Ricky Barajas ,U.S. House,1,DEM,Columbia,15 City of Rainier,,12
Suzanne Bonamici,U.S. House,1,DEM,Columbia,15 City of Rainier,,133
Michael E Stansfield,U.S. House,1,DEM,Columbia,15 City of Rainier,,11
Write In,U.S. House,1,DEM,Columbia,15 City of Rainier,,3
Over votes,U.S. House,1,DEM,Columbia,15 City of Rainier,,0
Under votes,U.S. House,1,DEM,Columbia,15 City of Rainier,,7
Ed Jones,Governor,,DEM,Columbia,15 City of Rainier,,23
Kate Brown,Governor,,DEM,Columbia,15 City of Rainier,,113
Candace Neville,Governor,,DEM,Columbia,15 City of Rainier,,13
Write-Ins,Governor,,DEM,Columbia,15 City of Rainier,,7
Over votes,Governor,,DEM,Columbia,15 City of Rainier,,1
Under votes,Governor,,DEM,Columbia,15 City of Rainier,,9
Betsy Johnson,State Senate,16,DEM,Columbia,15 City of Rainier,,131
Write In,State Senate,16,DEM,Columbia,15 City of Rainier,,1
Over votes,State Senate,16,DEM,Columbia,15 City of Rainier,,0
Under votes,State Senate,16,DEM,Columbia,15 City of Rainier,,34
Brad Witt,State House,31,DEM,Columbia,15 City of Rainier,,134
Write In,State House,31,DEM,Columbia,15 City of Rainier,,1
Over votes,State House,31,DEM,Columbia,15 City of Rainier,,0
Under votes,State House,31,DEM,Columbia,15 City of Rainier,,31
Write In,U.S. House,1,IND,Columbia,15 City of Rainier,,11
Over votes,U.S. House,1,IND,Columbia,15 City of Rainier,,0
Under votes,U.S. House,1,IND,Columbia,15 City of Rainier,,18
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,15 City of Rainier,,3
Skye J Allen,Governor,,IND,Columbia,15 City of Rainier,,5
Patrick Starnes,Governor,,IND,Columbia,15 City of Rainier,,6
Write In,Governor,,IND,Columbia,15 City of Rainier,,14
Over votes,Governor,,IND,Columbia,15 City of Rainier,,0
Under votes,Governor,,IND,Columbia,15 City of Rainier,,1
Write In,State Senate,16,IND,Columbia,15 City of Rainier,,8
Over votes,State Senate,16,IND,Columbia,15 City of Rainier,,0
Under votes,State Senate,16,IND,Columbia,15 City of Rainier,,21
Write In,State House,31,IND,Columbia,15 City of Rainier,,10
Over votes,State House,31,IND,Columbia,15 City of Rainier,,0
Under votes,State House,31,IND,Columbia,15 City of Rainier,,19
John Verbeek,U.S. House,1,REP,Columbia,15 City of Rainier,,51
George Griffith,U.S. House,1,REP,Columbia,15 City of Rainier,,41
Preston L Miller,U.S. House,1,REP,Columbia,15 City of Rainier,,10
Write In,U.S. House,1,REP,Columbia,15 City of Rainier,,3
Over votes,U.S. House,1,REP,Columbia,15 City of Rainier,,0
Under votes,U.S. House,1,REP,Columbia,15 City of Rainier,,16
Knute Buehler,Governor,,REP,Columbia,15 City of Rainier,,44
Keenen W Bohach,Governor,,REP,Columbia,15 City of Rainier,,0
Greg C Wooldridge,Governor,,REP,Columbia,15 City of Rainier,,27
Jonathan I Edwards III,Governor,,REP,Columbia,15 City of Rainier,,1
David W Stauffer,Governor,,REP,Columbia,15 City of Rainier,,1
Jeff Smith,Governor,,REP,Columbia,15 City of Rainier,,0
Jack W Tacy ,Governor,,REP,Columbia,15 City of Rainier,,0
Brett Hyland,Governor,,REP,Columbia,15 City of Rainier,,0
Bruce Cuff,Governor,,REP,Columbia,15 City of Rainier,,2
Sam Carpenter,Governor,,REP,Columbia,15 City of Rainier,,43
Write In,Governor,,REP,Columbia,15 City of Rainier,,1
Over votes,Governor,,REP,Columbia,15 City of Rainier,,0
Under votes,Governor,,REP,Columbia,15 City of Rainier,,2
Write In,State Senate,16,REP,Columbia,15 City of Rainier,,20
Over votes,State Senate,16,REP,Columbia,15 City of Rainier,,0
Under votes,State Senate,16,REP,Columbia,15 City of Rainier,,101
Brian G Stout,State House,31,REP,Columbia,15 City of Rainier,,73
Write In,State House,31,REP,Columbia,15 City of Rainier,,3
Over votes,State House,31,REP,Columbia,15 City of Rainier,,1
Under votes,State House,31,REP,Columbia,15 City of Rainier,,44
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,125
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,131
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,59
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,15 City of Rainier,,48
,Registered Voters,,,Columbia,17 W Rainier,,550
,Registered Voters,,NonPartisan,Columbia,17 W Rainier,,235
,Registered Voters,,DEM,Columbia,17 W Rainier,,145
,Registered Voters,,IND,Columbia,17 W Rainier,,25
,Registered Voters,,REP,Columbia,17 W Rainier,,145
,Ballots Cast,,,Columbia,17 W Rainier,,141
,Ballots Cast,,NonPartisan,Columbia,17 W Rainier,,19
,Ballots Cast,,DEM,Columbia,17 W Rainier,,57
,Ballots Cast,,IND,Columbia,17 W Rainier,,7
,Ballots Cast,,REP,Columbia,17 W Rainier,,58
,Ballots Cast,,Blank,Columbia,17 W Rainier,,1
Ricky Barajas ,U.S. House,1,DEM,Columbia,17 W Rainier,,2
Suzanne Bonamici,U.S. House,1,DEM,Columbia,17 W Rainier,,37
Michael E Stansfield,U.S. House,1,DEM,Columbia,17 W Rainier,,5
Write In,U.S. House,1,DEM,Columbia,17 W Rainier,,2
Over votes,U.S. House,1,DEM,Columbia,17 W Rainier,,0
Under votes,U.S. House,1,DEM,Columbia,17 W Rainier,,11
Ed Jones,Governor,,DEM,Columbia,17 W Rainier,,15
Kate Brown,Governor,,DEM,Columbia,17 W Rainier,,29
Candace Neville,Governor,,DEM,Columbia,17 W Rainier,,8
Write-Ins,Governor,,DEM,Columbia,17 W Rainier,,1
Over votes,Governor,,DEM,Columbia,17 W Rainier,,0
Under votes,Governor,,DEM,Columbia,17 W Rainier,,4
Betsy Johnson,State Senate,16,DEM,Columbia,17 W Rainier,,46
Write In,State Senate,16,DEM,Columbia,17 W Rainier,,1
Over votes,State Senate,16,DEM,Columbia,17 W Rainier,,0
Under votes,State Senate,16,DEM,Columbia,17 W Rainier,,10
Brad Witt,State House,31,DEM,Columbia,17 W Rainier,,42
Write In,State House,31,DEM,Columbia,17 W Rainier,,1
Over votes,State House,31,DEM,Columbia,17 W Rainier,,0
Under votes,State House,31,DEM,Columbia,17 W Rainier,,14
Write In,U.S. House,1,IND,Columbia,17 W Rainier,,0
Over votes,U.S. House,1,IND,Columbia,17 W Rainier,,0
Under votes,U.S. House,1,IND,Columbia,17 W Rainier,,7
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,17 W Rainier,,0
Skye J Allen,Governor,,IND,Columbia,17 W Rainier,,1
Patrick Starnes,Governor,,IND,Columbia,17 W Rainier,,2
Write In,Governor,,IND,Columbia,17 W Rainier,,3
Over votes,Governor,,IND,Columbia,17 W Rainier,,0
Under votes,Governor,,IND,Columbia,17 W Rainier,,1
Write In,State Senate,16,IND,Columbia,17 W Rainier,,1
Over votes,State Senate,16,IND,Columbia,17 W Rainier,,0
Under votes,State Senate,16,IND,Columbia,17 W Rainier,,6
Write In,State House,31,IND,Columbia,17 W Rainier,,2
Over votes,State House,31,IND,Columbia,17 W Rainier,,0
Under votes,State House,31,IND,Columbia,17 W Rainier,,5
John Verbeek,U.S. House,1,REP,Columbia,17 W Rainier,,23
George Griffith,U.S. House,1,REP,Columbia,17 W Rainier,,20
Preston L Miller,U.S. House,1,REP,Columbia,17 W Rainier,,4
Write In,U.S. House,1,REP,Columbia,17 W Rainier,,1
Over votes,U.S. House,1,REP,Columbia,17 W Rainier,,0
Under votes,U.S. House,1,REP,Columbia,17 W Rainier,,10
Knute Buehler,Governor,,REP,Columbia,17 W Rainier,,18
Keenen W Bohach,Governor,,REP,Columbia,17 W Rainier,,0
Greg C Wooldridge,Governor,,REP,Columbia,17 W Rainier,,12
Jonathan I Edwards III,Governor,,REP,Columbia,17 W Rainier,,0
David W Stauffer,Governor,,REP,Columbia,17 W Rainier,,0
Jeff Smith,Governor,,REP,Columbia,17 W Rainier,,1
Jack W Tacy ,Governor,,REP,Columbia,17 W Rainier,,0
Brett Hyland,Governor,,REP,Columbia,17 W Rainier,,0
Bruce Cuff,Governor,,REP,Columbia,17 W Rainier,,0
Sam Carpenter,Governor,,REP,Columbia,17 W Rainier,,24
Write In,Governor,,REP,Columbia,17 W Rainier,,1
Over votes,Governor,,REP,Columbia,17 W Rainier,,0
Under votes,Governor,,REP,Columbia,17 W Rainier,,2
Write In,State Senate,16,REP,Columbia,17 W Rainier,,10
Over votes,State Senate,16,REP,Columbia,17 W Rainier,,0
Under votes,State Senate,16,REP,Columbia,17 W Rainier,,48
Brian G Stout,State House,31,REP,Columbia,17 W Rainier,,39
Write In,State House,31,REP,Columbia,17 W Rainier,,3
Over votes,State House,31,REP,Columbia,17 W Rainier,,0
Under votes,State House,31,REP,Columbia,17 W Rainier,,16
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,50
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,45
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,21
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,17 W Rainier,,25
,Registered Voters,,,Columbia,18 E Rainier,,218
,Registered Voters,,NonPartisan,Columbia,18 E Rainier,,86
,Registered Voters,,DEM,Columbia,18 E Rainier,,71
,Registered Voters,,IND,Columbia,18 E Rainier,,11
,Registered Voters,,REP,Columbia,18 E Rainier,,50
,Ballots Cast,,,Columbia,18 E Rainier,,70
,Ballots Cast,,NonPartisan,Columbia,18 E Rainier,,13
,Ballots Cast,,DEM,Columbia,18 E Rainier,,35
,Ballots Cast,,IND,Columbia,18 E Rainier,,4
,Ballots Cast,,REP,Columbia,18 E Rainier,,18
,Ballots Cast,,Blank,Columbia,18 E Rainier,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,18 E Rainier,,1
Suzanne Bonamici,U.S. House,1,DEM,Columbia,18 E Rainier,,27
Michael E Stansfield,U.S. House,1,DEM,Columbia,18 E Rainier,,5
Write In,U.S. House,1,DEM,Columbia,18 E Rainier,,0
Over votes,U.S. House,1,DEM,Columbia,18 E Rainier,,0
Under votes,U.S. House,1,DEM,Columbia,18 E Rainier,,2
Ed Jones,Governor,,DEM,Columbia,18 E Rainier,,13
Kate Brown,Governor,,DEM,Columbia,18 E Rainier,,18
Candace Neville,Governor,,DEM,Columbia,18 E Rainier,,2
Write-Ins,Governor,,DEM,Columbia,18 E Rainier,,1
Over votes,Governor,,DEM,Columbia,18 E Rainier,,0
Under votes,Governor,,DEM,Columbia,18 E Rainier,,1
Betsy Johnson,State Senate,16,DEM,Columbia,18 E Rainier,,32
Write In,State Senate,16,DEM,Columbia,18 E Rainier,,0
Over votes,State Senate,16,DEM,Columbia,18 E Rainier,,0
Under votes,State Senate,16,DEM,Columbia,18 E Rainier,,3
Brad Witt,State House,31,DEM,Columbia,18 E Rainier,,30
Write In,State House,31,DEM,Columbia,18 E Rainier,,1
Over votes,State House,31,DEM,Columbia,18 E Rainier,,0
Under votes,State House,31,DEM,Columbia,18 E Rainier,,4
Write In,U.S. House,1,IND,Columbia,18 E Rainier,,0
Over votes,U.S. House,1,IND,Columbia,18 E Rainier,,0
Under votes,U.S. House,1,IND,Columbia,18 E Rainier,,4
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,18 E Rainier,,0
Skye J Allen,Governor,,IND,Columbia,18 E Rainier,,2
Patrick Starnes,Governor,,IND,Columbia,18 E Rainier,,0
Write In,Governor,,IND,Columbia,18 E Rainier,,1
Over votes,Governor,,IND,Columbia,18 E Rainier,,0
Under votes,Governor,,IND,Columbia,18 E Rainier,,1
Write In,State Senate,16,IND,Columbia,18 E Rainier,,2
Over votes,State Senate,16,IND,Columbia,18 E Rainier,,0
Under votes,State Senate,16,IND,Columbia,18 E Rainier,,2
Write In,State House,31,IND,Columbia,18 E Rainier,,1
Over votes,State House,31,IND,Columbia,18 E Rainier,,0
Under votes,State House,31,IND,Columbia,18 E Rainier,,3
John Verbeek,U.S. House,1,REP,Columbia,18 E Rainier,,8
George Griffith,U.S. House,1,REP,Columbia,18 E Rainier,,4
Preston L Miller,U.S. House,1,REP,Columbia,18 E Rainier,,1
Write In,U.S. House,1,REP,Columbia,18 E Rainier,,0
Over votes,U.S. House,1,REP,Columbia,18 E Rainier,,0
Under votes,U.S. House,1,REP,Columbia,18 E Rainier,,5
Knute Buehler,Governor,,REP,Columbia,18 E Rainier,,7
Keenen W Bohach,Governor,,REP,Columbia,18 E Rainier,,0
