candidate,office,party,incumbent,votes,county,district,chamber
Other,"STATE REPRESENTATIVE, 56TH DISTRICT",OTH,FALSE,0,Clackamas ,56,R
Other,"STATE REPRESENTATIVE, 56TH DISTRICT",OTH,FALSE,17,Hood River ,56,R
Other,"STATE REPRESENTATIVE, 56TH DISTRICT",OTH,FALSE,18,Multnomah ,56,R
Other,"STATE REPRESENTATIVE, 56TH DISTRICT",OTH,FALSE,4,Wasco ,56,R
Other,"STATE REPRESENTATIVE, 56TH DISTRICT",OTH,FALSE,39,TOTAL ,56,R
"Jenson, Bob","STATE REPRESENTATIVE, 57TH DISTRICT",REP,TRUE,1472,Morrow,57,R
"Jenson, Bob","STATE REPRESENTATIVE, 57TH DISTRICT",REP,TRUE,13062,Umatilla,57,R
Other,"STATE REPRESENTATIVE, 57TH DISTRICT",OTH,FALSE,33,Morrow,57,R
Other,"STATE REPRESENTATIVE, 57TH DISTRICT",OTH,FALSE,6,Umatilla,57,R
"Campbell, Bruce C.","STATE REPRESENTATIVE, 58TH DISTRICT",DEM,FALSE,2088,Umatilla,58,R
"Campbell, Bruce C.","STATE REPRESENTATIVE, 58TH DISTRICT",DEM,FALSE,2815,Union,58,R
"Campbell, Bruce C.","STATE REPRESENTATIVE, 58TH DISTRICT",DEM,FALSE,716,Wallowa,58,R
"Simmons, Mark","STATE REPRESENTATIVE, 58TH DISTRICT",REP,TRUE,3866,Umatilla,58,R
"Simmons, Mark","STATE REPRESENTATIVE, 58TH DISTRICT",REP,TRUE,8368,Union,58,R
"Simmons, Mark","STATE REPRESENTATIVE, 58TH DISTRICT",REP,TRUE,3338,Wallowa,58,R
Other,"STATE REPRESENTATIVE, 58TH DISTRICT",OTH,FALSE,0,Umatilla,58,R
Other,"STATE REPRESENTATIVE, 58TH DISTRICT",OTH,FALSE,35,Union,58,R
Other,"STATE REPRESENTATIVE, 58TH DISTRICT",OTH,FALSE,2,Wallowa,58,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,2477,Baker,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,2719,Crook,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,350,Gilliam,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,839,Grant,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,533,Morrow,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,318,Sherman,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,218,Wasco,59,R
"Smith, Greg","STATE REPRESENTATIVE, 59TH DISTRICT",REP,TRUE,222,Wheeler,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,5511,Baker,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,5159,Crook,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,715,Gilliam,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,2897,Grant,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,1127,Morrow,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,711,Sherman,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,570,Wasco,59,R
"Harrington, Linda","STATE REPRESENTATIVE, 59TH DISTRICT",DEM,FALSE,593,Wheeler,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,7,Baker,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,7,Crook,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,1,Gilliam,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,12,Grant,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,2,Morrow,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,2,Sherman,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,1,Wasco,59,R
Other,"STATE REPRESENTATIVE, 59TH DISTRICT",OTH,FALSE,3,Wheeler,59,R
"Draznin, James","STATE REPRESENTATIVE, 5TH DISTRICT",DEM,FALSE,9241,Washington,5,R
"Hill, Jim","STATE REPRESENTATIVE, 5TH DISTRICT",REP,TRUE,9671,Washington,5,R
Other,"STATE REPRESENTATIVE, 5TH DISTRICT",OTH,FALSE,4,Washington,5,R
"Butler, R. Thomas (Tom)","STATE REPRESENTATIVE, 60TH DISTRICT",REP,TRUE,2941,Harney,60,R
"Butler, R. Thomas (Tom)","STATE REPRESENTATIVE, 60TH DISTRICT",REP,TRUE,2914,Klamath,60,R
"Butler, R. Thomas (Tom)","STATE REPRESENTATIVE, 60TH DISTRICT",REP,TRUE,2883,Lake,60,R
"Butler, R. Thomas (Tom)","STATE REPRESENTATIVE, 60TH DISTRICT",REP,TRUE,8585,Malheur,60,R
Other,"STATE REPRESENTATIVE, 60TH DISTRICT",OTH,FALSE,41,Harney,60,R
Other,"STATE REPRESENTATIVE, 60TH DISTRICT",OTH,FALSE,87,Klamath,60,R
Other,"STATE REPRESENTATIVE, 60TH DISTRICT",OTH,FALSE,35,Lake,60,R
Other,"STATE REPRESENTATIVE, 60TH DISTRICT",OTH,FALSE,173,Malheur,60,R
"Ringo, Charlie","STATE REPRESENTATIVE, 6TH DISTRICT",DEM,TRUE,10733,Washington,6,R
"Scruggs, John","STATE REPRESENTATIVE, 6TH DISTRICT",REP,FALSE,9327,Washington,6,R
"Schaumleffle, Kevin C.","STATE REPRESENTATIVE, 6TH DISTRICT",LIB,FALSE,925,Washington,6,R
Other,"STATE REPRESENTATIVE, 6TH DISTRICT",OTH,FALSE,0,Washington,6,R
"Witt, Bill","STATE REPRESENTATIVE, 7TH DISTRICT",REP,TRUE,16,Columbia,7,R
"Witt, Bill","STATE REPRESENTATIVE, 7TH DISTRICT",REP,TRUE,2258,Multnomah,7,R
"Witt, Bill","STATE REPRESENTATIVE, 7TH DISTRICT",REP,TRUE,14397,Washington,7,R
"Greenlick, Mitch","STATE REPRESENTATIVE, 7TH DISTRICT",DEM,FALSE,13,Columbia,7,R
"Greenlick, Mitch","STATE REPRESENTATIVE, 7TH DISTRICT",DEM,FALSE,2924,Multnomah,7,R
"Greenlick, Mitch","STATE REPRESENTATIVE, 7TH DISTRICT",DEM,FALSE,13212,Washington,7,R
Other,"STATE REPRESENTATIVE, 7TH DISTRICT",OTH,FALSE,0,Columbia,7,R
Other,"STATE REPRESENTATIVE, 7TH DISTRICT",OTH,FALSE,12,Multnomah,7,R
Other,"STATE REPRESENTATIVE, 7TH DISTRICT",OTH,FALSE,7,Washington,7,R
"Michaels, Lisa","STATE REPRESENTATIVE, 8TH DISTRICT",REP,FALSE,8114,Washington,8,R
"Hass, Mark","STATE REPRESENTATIVE, 8TH DISTRICT",DEM,TRUE,14476,Washington,8,R
Other,"STATE REPRESENTATIVE, 8TH DISTRICT",OTH,FALSE,3,Washington,8,R
"Williams, Max","STATE REPRESENTATIVE, 9TH DISTRICT",REP,TRUE,19112,Washington,9,R
"Velji, Raman","STATE REPRESENTATIVE, 9TH DISTRICT",DEM,FALSE,7933,Washington,9,R
Other,"STATE REPRESENTATIVE, 9TH DISTRICT",OTH,FALSE,3,Washington,9,R
"Burkett, Roy","STATE SENATOR, 10TH DISTRICT",CON,FALSE,5892,Multnomah,#VALUE!,S
"Gordly, Avel Louise","STATE SENATOR, 10TH DISTRICT",DEM,TRUE,34353,Multnomah,#VALUE!,S
Other,"STATE SENATOR, 10TH DISTRICT",OTH,FALSE,393,Multnomah,#VALUE!,S
"Minnis, John","STATE SENATOR, 11TH DISTRICT",REP,TRUE,25932,Multnomah,#VALUE!,S
"Scarborough, Arthur J","STATE SENATOR, 11TH DISTRICT",SOC,FALSE,608,Multnomah,#VALUE!,S
"Gorsek, Chris","STATE SENATOR, 11TH DISTRICT",DEM,FALSE,20302,Multnomah,#VALUE!,S
Other,"STATE SENATOR, 11TH DISTRICT",OTH,FALSE,133,Multnomah,#VALUE!,S
"Beyer, County Roger","STATE SENATOR, 15TH DISTRICT",REP,TRUE,6365,Clackamas ,#VALUE!,S
"Beyer, County Roger","STATE SENATOR, 15TH DISTRICT",REP,TRUE,1689,Linn ,#VALUE!,S
"Beyer, County Roger","STATE SENATOR, 15TH DISTRICT",REP,TRUE,15336,Marion ,#VALUE!,S
"Beyer, County Roger","STATE SENATOR, 15TH DISTRICT",REP,TRUE,3527,Yamhill ,#VALUE!,S
"Beyer, County Roger","STATE SENATOR, 15TH DISTRICT",REP,TRUE,26917,TOTAL ,#VALUE!,S
"Pike, Roger","STATE SENATOR, 15TH DISTRICT",DEM,FALSE,2825,Clackamas ,#VALUE!,S
"Pike, Roger","STATE SENATOR, 15TH DISTRICT",DEM,FALSE,705,Linn ,#VALUE!,S
"Pike, Roger","STATE SENATOR, 15TH DISTRICT",DEM,FALSE,7894,Marion ,#VALUE!,S
"Pike, Roger","STATE SENATOR, 15TH DISTRICT",DEM,FALSE,2095,Yamhill ,#VALUE!,S
"Pike, Roger","STATE SENATOR, 15TH DISTRICT",DEM,FALSE,13519,TOTAL ,#VALUE!,S
Other,"STATE SENATOR, 15TH DISTRICT",OTH,FALSE,0,Clackamas ,#VALUE!,S
Other,"STATE SENATOR, 15TH DISTRICT",OTH,FALSE,0,Linn ,#VALUE!,S
Other,"STATE SENATOR, 15TH DISTRICT",OTH,FALSE,48,Marion ,#VALUE!,S
Other,"STATE SENATOR, 15TH DISTRICT",OTH,FALSE,19,Yamhill ,#VALUE!,S
Other,"STATE SENATOR, 15TH DISTRICT",OTH,FALSE,67,TOTAL ,#VALUE!,S
"Mack, Larry","STATE SENATOR, 23RD DISTRICT",DEM,FALSE,10428,Douglas ,#VALUE!,S
"Mack, Larry","STATE SENATOR, 23RD DISTRICT",DEM,FALSE,2073,Jackson ,#VALUE!,S
"Mack, Larry","STATE SENATOR, 23RD DISTRICT",DEM,FALSE,2065,Josephine ,#VALUE!,S
"Mack, Larry","STATE SENATOR, 23RD DISTRICT",DEM,FALSE,14566,TOTAL ,#VALUE!,S
"Fisher, Bill","STATE SENATOR, 23RD DISTRICT",REP,TRUE,25432,Douglas ,#VALUE!,S
"Fisher, Bill","STATE SENATOR, 23RD DISTRICT",REP,TRUE,3660,Jackson ,#VALUE!,S
"Fisher, Bill","STATE SENATOR, 23RD DISTRICT",REP,TRUE,3829,Josephine ,#VALUE!,S
"Fisher, Bill","STATE SENATOR, 23RD DISTRICT",REP,TRUE,32921,TOTAL ,#VALUE!,S
Other,"STATE SENATOR, 23RD DISTRICT",OTH,FALSE,95,Douglas ,#VALUE!,S
Other,"STATE SENATOR, 23RD DISTRICT",OTH,FALSE,15,Jackson ,#VALUE!,S
Other,"STATE SENATOR, 23RD DISTRICT",OTH,FALSE,28,Josephine ,#VALUE!,S
Other,"STATE SENATOR, 23RD DISTRICT",OTH,FALSE,138,TOTAL ,#VALUE!,S
"Messerle, Ken","STATE SENATOR, 24TH DISTRICT",REP,TRUE,15544,Coos,#VALUE!,S
"Messerle, Ken","STATE SENATOR, 24TH DISTRICT",REP,TRUE,6524,Curry,#VALUE!,S
"Messerle, Ken","STATE SENATOR, 24TH DISTRICT",REP,TRUE,1204,Douglas,#VALUE!,S
"Messerle, Ken","STATE SENATOR, 24TH DISTRICT",REP,TRUE,2597,Lane,#VALUE!,S
"McCorkle, Roger W.","STATE SENATOR, 24TH DISTRICT",DEM,FALSE,13275,Coos,#VALUE!,S
"McCorkle, Roger W.","STATE SENATOR, 24TH DISTRICT",DEM,FALSE,4619,Curry,#VALUE!,S
"McCorkle, Roger W.","STATE SENATOR, 24TH DISTRICT",DEM,FALSE,1278,Douglas,#VALUE!,S
"McCorkle, Roger W.","STATE SENATOR, 24TH DISTRICT",DEM,FALSE,3624,Lane,#VALUE!,S
Other,"STATE SENATOR, 24TH DISTRICT",OTH,FALSE,65,Coos,#VALUE!,S
Other,"STATE SENATOR, 24TH DISTRICT",OTH,FALSE,38,Curry,#VALUE!,S
Other,"STATE SENATOR, 24TH DISTRICT",OTH,FALSE,1,Douglas,#VALUE!,S
Other,"STATE SENATOR, 24TH DISTRICT",OTH,FALSE,4,Lane,#VALUE!,S
"Atkinson, Jason A.","STATE SENATOR, 25TH DISTRICT",REP,TRUE,16068,Jackson,#VALUE!,S
"Atkinson, Jason A.","STATE SENATOR, 25TH DISTRICT",REP,TRUE,21568,Josephine,#VALUE!,S
Other,"STATE SENATOR, 25TH DISTRICT",OTH,FALSE,520,Jackson,#VALUE!,S
Other,"STATE SENATOR, 25TH DISTRICT",OTH,FALSE,888,Josephine,#VALUE!,S
"Clarno, County Bev","STATE SENATOR, 27TH DISTRICT",REP,TRUE,38210,Deschutes ,#VALUE!,S
"Clarno, County Bev","STATE SENATOR, 27TH DISTRICT",REP,TRUE,4740,Jefferson ,#VALUE!,S
"Clarno, County Bev","STATE SENATOR, 27TH DISTRICT",REP,TRUE,906,Klamath ,#VALUE!,S
"Clarno, County Bev","STATE SENATOR, 27TH DISTRICT",REP,TRUE,703,Wasco ,#VALUE!,S
"Clarno, County Bev","STATE SENATOR, 27TH DISTRICT",REP,TRUE,44559,TOTAL ,#VALUE!,S
"Philiben, Anne N.","STATE SENATOR, 27TH DISTRICT",DEM,FALSE,16219,Deschutes ,#VALUE!,S
"Philiben, Anne N.","STATE SENATOR, 27TH DISTRICT",DEM,FALSE,1914,Jefferson ,#VALUE!,S
"Philiben, Anne N.","STATE SENATOR, 27TH DISTRICT",DEM,FALSE,598,Klamath ,#VALUE!,S
"Philiben, Anne N.","STATE SENATOR, 27TH DISTRICT",DEM,FALSE,433,Wasco ,#VALUE!,S
"Philiben, Anne N.","STATE SENATOR, 27TH DISTRICT",DEM,FALSE,19164,TOTAL ,#VALUE!,S
Other,"STATE SENATOR, 27TH DISTRICT",OTH,FALSE,140,Deschutes ,#VALUE!,S
Other,"STATE SENATOR, 27TH DISTRICT",OTH,FALSE,14,Jefferson ,#VALUE!,S
Other,"STATE SENATOR, 27TH DISTRICT",OTH,FALSE,4,Klamath ,#VALUE!,S
Other,"STATE SENATOR, 27TH DISTRICT",OTH,FALSE,4,Wasco ,#VALUE!,S
Other,"STATE SENATOR, 27TH DISTRICT",OTH,FALSE,162,TOTAL ,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,2024,Baker,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,1698,Clackamas,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,2523,Crook,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,287,Gilliam,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,523,Grant,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,3580,Hood River,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,495,Morrow,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,1496,Multnomah ,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,314,Sherman ,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,3611,Wasco ,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,198,Wheeler ,#VALUE!,S
"Cook, Vern","STATE SENATOR, 28TH DISTRICT",DEM,FALSE,16749,TOTAL ,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,5933,Baker,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,1883,Clackamas,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,5275,Crook,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,763,Gilliam,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,3240,Grant,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,4343,Hood River,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,1133,Morrow,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,1895,Multnomah ,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,713,Sherman ,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,5360,Wasco ,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,625,Wheeler ,#VALUE!,S
"Ferrioli, Ted","STATE SENATOR, 28TH DISTRICT",REP,TRUE,31163,TOTAL ,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,13,Baker,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,0,Clackamas,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,11,Crook,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,1,Gilliam,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,8,Grant,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,15,Hood River,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,2,Morrow,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,9,Multnomah ,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,0,Sherman ,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,11,Wasco ,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,2,Wheeler ,#VALUE!,S
Other,"STATE SENATOR, 28TH DISTRICT",OTH,FALSE,72,TOTAL ,#VALUE!,S
"Duncan, Bill George","STATE SENATOR, 29TH DISTRICT",DEM,FALSE,651,Morrow ,#VALUE!,S
"Duncan, Bill George","STATE SENATOR, 29TH DISTRICT",DEM,FALSE,6003,Umatilla ,#VALUE!,S
"Duncan, Bill George","STATE SENATOR, 29TH DISTRICT",DEM,FALSE,3180,Union ,#VALUE!,S
"Duncan, Bill George","STATE SENATOR, 29TH DISTRICT",DEM,FALSE,767,Wallowa ,#VALUE!,S
"Duncan, Bill George","STATE SENATOR, 29TH DISTRICT",DEM,FALSE,10601,TOTAL ,#VALUE!,S
"Nelson, David","STATE SENATOR, 29TH DISTRICT",REP,TRUE,1110,Morrow ,#VALUE!,S
"Nelson, David","STATE SENATOR, 29TH DISTRICT",REP,TRUE,15100,Umatilla ,#VALUE!,S
"Nelson, David","STATE SENATOR, 29TH DISTRICT",REP,TRUE,7646,Union ,#VALUE!,S
"Nelson, David","STATE SENATOR, 29TH DISTRICT",REP,TRUE,3269,Wallowa ,#VALUE!,S
"Nelson, David","STATE SENATOR, 29TH DISTRICT",REP,TRUE,27125,TOTAL ,#VALUE!,S
Other,"STATE SENATOR, 29TH DISTRICT",OTH,FALSE,7,Morrow ,#VALUE!,S
Other,"STATE SENATOR, 29TH DISTRICT",OTH,FALSE,1,Umatilla ,#VALUE!,S
Other,"STATE SENATOR, 29TH DISTRICT",OTH,FALSE,48,Union ,#VALUE!,S
Other,"STATE SENATOR, 29TH DISTRICT",OTH,FALSE,4,Wallowa ,#VALUE!,S
Other,"STATE SENATOR, 29TH DISTRICT",OTH,FALSE,60,TOTAL ,#VALUE!,S
"Thompson, Terry","STATE SENATOR, 2ND DISTRICT",DEM,FALSE,387,Lane,#VALUE!,S
"Thompson, Terry","STATE SENATOR, 2ND DISTRICT",DEM,FALSE,12027,Lincoln,#VALUE!,S
"Thompson, Terry","STATE SENATOR, 2ND DISTRICT",DEM,FALSE,190,Polk,#VALUE!,S
"Thompson, Terry","STATE SENATOR, 2ND DISTRICT",DEM,FALSE,206,Tillamook,#VALUE!,S
"Thompson, Terry","STATE SENATOR, 2ND DISTRICT",DEM,FALSE,11898,Yamhill,#VALUE!,S
"George, Gary","STATE SENATOR, 2ND DISTRICT",REP,TRUE,344,Lane,#VALUE!,S
"George, Gary","STATE SENATOR, 2ND DISTRICT",REP,TRUE,8453,Lincoln,#VALUE!,S
"George, Gary","STATE SENATOR, 2ND DISTRICT",REP,TRUE,189,Polk,#VALUE!,S
"George, Gary","STATE SENATOR, 2ND DISTRICT",REP,TRUE,182,Tillamook,#VALUE!,S
"George, Gary","STATE SENATOR, 2ND DISTRICT",REP,TRUE,15969,Yamhill,#VALUE!,S
Other,"STATE SENATOR, 2ND DISTRICT",OTH,FALSE,0,Lane,#VALUE!,S
Other,"STATE SENATOR, 2ND DISTRICT",OTH,FALSE,41,Lincoln,#VALUE!,S
Other,"STATE SENATOR, 2ND DISTRICT",OTH,FALSE,0,Polk,#VALUE!,S
Other,"STATE SENATOR, 2ND DISTRICT",OTH,FALSE,0,Tillamook,#VALUE!,S
Other,"STATE SENATOR, 2ND DISTRICT",OTH,FALSE,64,Yamhill,#VALUE!,S
"James, Debra M.","STATE SENATOR, 30TH DISTRICT",DEM,FALSE,1042,Harney,#VALUE!,S
"James, Debra M.","STATE SENATOR, 30TH DISTRICT",DEM,FALSE,7153,Klamath,#VALUE!,S
"James, Debra M.","STATE SENATOR, 30TH DISTRICT",DEM,FALSE,1081,Lake,#VALUE!,S
"James, Debra M.","STATE SENATOR, 30TH DISTRICT",DEM,FALSE,2565,Malheur,#VALUE!,S
"Harper, Steve","STATE SENATOR, 30TH DISTRICT",REP,TRUE,2438,Harney,#VALUE!,S
"Harper, Steve","STATE SENATOR, 30TH DISTRICT",REP,TRUE,17632,Klamath,#VALUE!,S
"Harper, Steve","STATE SENATOR, 30TH DISTRICT",REP,TRUE,2450,Lake,#VALUE!,S
"Harper, Steve","STATE SENATOR, 30TH DISTRICT",REP,TRUE,7306,Malheur,#VALUE!,S
Other,"STATE SENATOR, 30TH DISTRICT",OTH,FALSE,11,Harney,#VALUE!,S
Other,"STATE SENATOR, 30TH DISTRICT",OTH,FALSE,51,Klamath,#VALUE!,S
Other,"STATE SENATOR, 30TH DISTRICT",OTH,FALSE,7,Lake,#VALUE!,S
Other,"STATE SENATOR, 30TH DISTRICT",OTH,FALSE,13,Malheur,#VALUE!,S
"Deckert, Ryan","STATE SENATOR, 4TH DISTRICT",DEM,TRUE,28437,Washington,#VALUE!,S
"Goberman, Pavel","STATE SENATOR, 4TH DISTRICT",LIB,FALSE,1208,Washington,#VALUE!,S
"Qutub, Eileen","STATE SENATOR, 4TH DISTRICT",REP,FALSE,24999,Washington,#VALUE!,S
Other,"STATE SENATOR, 4TH DISTRICT",OTH,FALSE,5,Washington,#VALUE!,S
"Burdick, Ginny","STATE SENATOR, 6TH DISTRICT",DEM,TRUE,38151,Multnomah,#VALUE!,S
Other,"STATE SENATOR, 6TH DISTRICT",OTH,FALSE,1369,Multnomah,#VALUE!,S
"Brown, Kate","STATE SENATOR, 7TH DISTRICT",DEM,TRUE,36827,Multnomah,#VALUE!,S
"Nims, Charley J.","STATE SENATOR, 7TH DISTRICT",SOC,FALSE,3491,Multnomah,#VALUE!,S
Other,"STATE SENATOR, 7TH DISTRICT",OTH,FALSE,638,Multnomah,#VALUE!,S
"Carter, Margaret","STATE SENATOR, 8TH DISTRICT",DEM,TRUE,29053,Multnomah,#VALUE!,S
"Smith, Whitney","STATE SENATOR, 8TH DISTRICT",PAC,FALSE,7074,Multnomah,#VALUE!,S
Other,"STATE SENATOR, 8TH DISTRICT",OTH,FALSE,505,Multnomah,#VALUE!,S
