candidate,votes,pct,office,precinct,district,party
Write-in,4,0.24%,State House,107,52,
Cast Votes: ,1639,91.56%,State House,107,52,
Over Votes: ,0,0.00%,State House,107,52,
Under Votes: ,151,8.44%,State House,107,52,
Mike Montchalin,51,3.47%,U.S. Senate,108,,
Jeff Merkley,699,47.58%,U.S. Senate,108,,
Christina Jean Lugo,28,1.91%,U.S. Senate,108,,
James E Leuenberger,28,1.91%,U.S. Senate,108,,
Monica Wehby,656,44.66%,U.S. Senate,108,,
Write-in,7,0.48%,U.S. Senate,108,,
Cast Votes: ,1469,95.27%,U.S. Senate,108,,
Over Votes: ,0,0.00%,U.S. Senate,108,,
Under Votes: ,73,4.73%,U.S. Senate,108,,
Michael Meo,26,1.81%,U.S. House,108,3,
James Buchal,628,43.67%,U.S. House,108,3,
Earl Blumenauer,723,50.28%,U.S. House,108,3,
Jeffrey J Langan,27,1.88%,U.S. House,108,3,
David Walker,27,1.88%,U.S. House,108,3,
Write-in,7,0.49%,U.S. House,108,3,
Cast Votes: ,1438,93.26%,U.S. House,108,3,
Over Votes: ,0,0.00%,U.S. House,108,3,
Under Votes: ,104,6.74%,U.S. House,108,3,
Dennis Richardson,781,52.70%,Governor,108,,
Chris Henry,11,0.74%,Governor,108,,
Aaron Auer,15,1.01%,Governor,108,,
John  Kitzhaber,616,41.57%,Governor,108,,
Paul Grad,21,1.42%,Governor,108,,
Jason  Levin,35,2.36%,Governor,108,,
Write-in,3,0.20%,Governor,108,,
Cast Votes: ,1482,96.11%,Governor,108,,
Over Votes: ,0,0.00%,Governor,108,,
Under Votes: ,60,3.89%,Governor,108,,
Chuck Thomsen,822,58.26%,State Senate,108,26,
Robert R Bruce,583,41.32%,State Senate,108,26,
Write-in,6,0.43%,State Senate,108,26,
Cast Votes: ,1411,91.50%,State Senate,108,26,
Over Votes: ,0,0.00%,State Senate,108,26,
Under Votes: ,131,8.50%,State Senate,108,26,
Stephanie Nystrom,631,44.25%,State House,108,52,
Mark Johnson,790,55.40%,State House,108,52,
Write-in,5,0.35%,State House,108,52,
Cast Votes: ,1426,92.48%,State House,108,52,
Over Votes: ,0,0.00%,State House,108,52,
Under Votes: ,116,7.52%,State House,108,52,
Mike Montchalin,84,3.73%,U.S. Senate,111,,
Jeff Merkley,920,40.82%,U.S. Senate,111,,
Christina Jean Lugo,43,1.91%,U.S. Senate,111,,
James E Leuenberger,57,2.53%,U.S. Senate,111,,
Monica Wehby,1133,50.27%,U.S. Senate,111,,
Write-in,17,0.75%,U.S. Senate,111,,
Cast Votes: ,2254,95.35%,U.S. Senate,111,,
Over Votes: ,0,0.00%,U.S. Senate,111,,
Under Votes: ,110,4.65%,U.S. Senate,111,,
Raymond Baldwin,99,4.43%,U.S. House,111,5,
Daniel K Souza,42,1.88%,U.S. House,111,5,
Kurt Schrader,905,40.51%,U.S. House,111,5,
Tootie Smith,1111,49.73%,U.S. House,111,5,
Marvin Sannes,70,3.13%,U.S. House,111,5,
Write-in,7,0.31%,U.S. House,111,5,
Cast Votes: ,2234,94.50%,U.S. House,111,5,
Over Votes: ,0,0.00%,U.S. House,111,5,
Under Votes: ,130,5.50%,U.S. House,111,5,
Dennis Richardson,1366,60.36%,Governor,111,,
Chris Henry,24,1.06%,Governor,111,,
Aaron Auer,51,2.25%,Governor,111,,
John  Kitzhaber,751,33.19%,Governor,111,,
Paul Grad,28,1.24%,Governor,111,,
Jason  Levin,30,1.33%,Governor,111,,
Write-in,13,0.57%,Governor,111,,
Cast Votes: ,2263,95.73%,Governor,111,,
Over Votes: ,1,0.04%,Governor,111,,
Under Votes: ,100,4.23%,Governor,111,,
Scott A Mills,824,37.66%,State House,111,18,
Vic Gilliam,1344,61.43%,State House,111,18,
Write-in,20,0.91%,State House,111,18,
Cast Votes: ,2188,92.55%,State House,111,18,
Over Votes: ,0,0.00%,State House,111,18,
Under Votes: ,176,7.45%,State House,111,18,
Mike Montchalin,76,3.84%,U.S. Senate,122,,
Jeff Merkley,882,44.61%,U.S. Senate,122,,
Christina Jean Lugo,35,1.77%,U.S. Senate,122,,
James E Leuenberger,38,1.92%,U.S. Senate,122,,
Monica Wehby,937,47.40%,U.S. Senate,122,,
Write-in,9,0.46%,U.S. Senate,122,,
Cast Votes: ,1977,94.05%,U.S. Senate,122,,
Over Votes: ,0,0.00%,U.S. Senate,122,,
Under Votes: ,125,5.95%,U.S. Senate,122,,
Raymond Baldwin,53,2.67%,U.S. House,122,5,
Daniel K Souza,31,1.56%,U.S. House,122,5,
Kurt Schrader,925,46.67%,U.S. House,122,5,
Tootie Smith,917,46.27%,U.S. House,122,5,
Marvin Sannes,47,2.37%,U.S. House,122,5,
Write-in,9,0.45%,U.S. House,122,5,
Cast Votes: ,1982,94.29%,U.S. House,122,5,
Over Votes: ,0,0.00%,U.S. House,122,5,
Under Votes: ,120,5.71%,U.S. House,122,5,
Dennis Richardson,1142,56.62%,Governor,122,,
Chris Henry,22,1.09%,Governor,122,,
Aaron Auer,27,1.34%,Governor,122,,
John  Kitzhaber,757,37.53%,Governor,122,,
Paul Grad,30,1.49%,Governor,122,,
Jason  Levin,32,1.59%,Governor,122,,
Write-in,7,0.35%,Governor,122,,
Cast Votes: ,2017,95.96%,Governor,122,,
Over Votes: ,1,0.05%,Governor,122,,
Under Votes: ,84,4.00%,Governor,122,,
Alan R Olsen,1168,59.68%,State Senate,122,20,
Jamie Damon,784,40.06%,State Senate,122,20,
Write-in,5,0.26%,State Senate,122,20,
Cast Votes: ,1957,93.10%,State Senate,122,20,
Over Votes: ,0,0.00%,State Senate,122,20,
Under Votes: ,145,6.90%,State Senate,122,20,
Bill Kennemer ,1539,96.55%,State House,122,39,
Write-in ,55,3.45%,State House,122,39,
Cast Votes: ,1594,75.83%,State House,122,39,
Over Votes: ,0,0.00%,State House,122,39,
Under Votes: ,508,24.17%,State House,122,39,
Mike Montchalin,53,3.13%,U.S. Senate,124,,
Jeff Merkley,725,42.87%,U.S. Senate,124,,
Christina Jean Lugo,16,0.95%,U.S. Senate,124,,
James E Leuenberger,30,1.77%,U.S. Senate,124,,
Monica Wehby,851,50.33%,U.S. Senate,124,,
Write-in,16,0.95%,U.S. Senate,124,,
Cast Votes: ,1691,95.00%,U.S. Senate,124,,
Over Votes: ,0,0.00%,U.S. Senate,124,,
Under Votes: ,89,5.00%,U.S. Senate,124,,
Raymond Baldwin,23,1.35%,U.S. House,124,5,
Daniel K Souza,20,1.17%,U.S. House,124,5,
Kurt Schrader,809,47.45%,U.S. House,124,5,
Tootie Smith,825,48.39%,U.S. House,124,5,
Marvin Sannes,25,1.47%,U.S. House,124,5,
Write-in,3,0.18%,U.S. House,124,5,
Cast Votes: ,1705,95.79%,U.S. House,124,5,
Over Votes: ,0,0.00%,U.S. House,124,5,
Under Votes: ,75,4.21%,U.S. House,124,5,
Dennis Richardson,1011,59.16%,Governor,124,,
Chris Henry,12,0.70%,Governor,124,,
Aaron Auer,16,0.94%,Governor,124,,
John  Kitzhaber,629,36.81%,Governor,124,,
Paul Grad,19,1.11%,Governor,124,,
Jason  Levin,13,0.76%,Governor,124,,
Write-in,9,0.53%,Governor,124,,
Cast Votes: ,1709,96.01%,Governor,124,,
Over Votes: ,0,0.00%,Governor,124,,
Under Votes: ,71,3.99%,Governor,124,,
Alan R Olsen,1017,60.79%,State Senate,124,20,
Jamie Damon,652,38.97%,State Senate,124,20,
Write-in,4,0.24%,State Senate,124,20,
Cast Votes: ,1673,93.99%,State Senate,124,20,
Over Votes: ,0,0.00%,State Senate,124,20,
Under Votes: ,107,6.01%,State Senate,124,20,
Bill Kennemer ,1298,97.23%,State House,124,39,
Write-in ,37,2.77%,State House,124,39,
Cast Votes: ,1335,75.00%,State House,124,39,
Over Votes: ,0,0.00%,State House,124,39,
Under Votes: ,445,25.00%,State House,124,39,
Mike Montchalin,82,3.63%,U.S. Senate,125,,
Jeff Merkley,1049,46.42%,U.S. Senate,125,,
Christina Jean Lugo,44,1.95%,U.S. Senate,125,,
James E Leuenberger,59,2.61%,U.S. Senate,125,,
Monica Wehby,1011,44.73%,U.S. Senate,125,,
Write-in,15,0.66%,U.S. Senate,125,,
Cast Votes: ,2260,94.09%,U.S. Senate,125,,
Over Votes: ,0,0.00%,U.S. Senate,125,,
Under Votes: ,142,5.91%,U.S. Senate,125,,
Raymond Baldwin,60,2.62%,U.S. House,125,5,
Daniel K Souza,48,2.10%,U.S. House,125,5,
Kurt Schrader,1072,46.89%,U.S. House,125,5,
Tootie Smith,1032,45.14%,U.S. House,125,5,
Marvin Sannes,73,3.19%,U.S. House,125,5,
Write-in,1,0.04%,U.S. House,125,5,
Cast Votes: ,2286,95.17%,U.S. House,125,5,
Over Votes: ,0,0.00%,U.S. House,125,5,
Under Votes: ,116,4.83%,U.S. House,125,5,
Dennis Richardson,1289,56.17%,Governor,125,,
Chris Henry,16,0.70%,Governor,125,,
Aaron Auer,20,0.87%,Governor,125,,
John  Kitzhaber,890,38.78%,Governor,125,,
Paul Grad,38,1.66%,Governor,125,,
Jason  Levin,31,1.35%,Governor,125,,
Write-in,11,0.48%,Governor,125,,
Cast Votes: ,2295,95.55%,Governor,125,,
Over Votes: ,0,0.00%,Governor,125,,
Under Votes: ,107,4.45%,Governor,125,,
Alan R Olsen,1334,59.21%,State Senate,125,20,
Jamie Damon,915,40.61%,State Senate,125,20,
Write-in,4,0.18%,State Senate,125,20,
Cast Votes: ,2253,93.80%,State Senate,125,20,
Over Votes: ,0,0.00%,State Senate,125,20,
Under Votes: ,149,6.20%,State Senate,125,20,
Bill Kennemer ,1738,97.04%,State House,125,39,
Write-in ,53,2.96%,State House,125,39,
Cast Votes: ,1791,74.56%,State House,125,39,
Over Votes: ,0,0.00%,State House,125,39,
Under Votes: ,611,25.44%,State House,125,39,
Mike Montchalin,55,2.93%,U.S. Senate,130,,
Jeff Merkley,953,50.85%,U.S. Senate,130,,
Christina Jean Lugo,23,1.23%,U.S. Senate,130,,
James E Leuenberger,13,0.69%,U.S. Senate,130,,
Monica Wehby,821,43.81%,U.S. Senate,130,,
Write-in,9,0.48%,U.S. Senate,130,,
Cast Votes: ,1874,95.71%,U.S. Senate,130,,
Over Votes: ,0,0.00%,U.S. Senate,130,,
Under Votes: ,84,4.29%,U.S. Senate,130,,
Raymond Baldwin,17,0.92%,U.S. House,130,5,
Daniel K Souza,30,1.63%,U.S. House,130,5,
Kurt Schrader,1004,54.45%,U.S. House,130,5,
Tootie Smith,764,41.43%,U.S. House,130,5,
Marvin Sannes,26,1.41%,U.S. House,130,5,
Write-in,3,0.16%,U.S. House,130,5,
Cast Votes: ,1844,94.18%,U.S. House,130,5,
Over Votes: ,0,0.00%,U.S. House,130,5,
Under Votes: ,114,5.82%,U.S. House,130,5,
Dennis Richardson,952,50.34%,Governor,130,,
Chris Henry,13,0.69%,Governor,130,,
Aaron Auer,6,0.32%,Governor,130,,
John  Kitzhaber,874,46.22%,Governor,130,,
Paul Grad,21,1.11%,Governor,130,,
Jason  Levin,11,0.58%,Governor,130,,
Write-in,14,0.74%,Governor,130,,
Cast Votes: ,1891,96.58%,Governor,130,,
Over Votes: ,0,0.00%,Governor,130,,
Under Votes: ,67,3.42%,Governor,130,,
Richard Devlin ,1219,95.91%,State Senate,130,19,
Write-in ,52,4.09%,State Senate,130,19,
Cast Votes: ,1271,64.91%,State Senate,130,19,
Over Votes: ,0,0.00%,State Senate,130,19,
Under Votes: ,687,35.09%,State Senate,130,19,
Gerritt Rosenthal,707,39.81%,State House,130,37,
Julie Parrish,1066,60.02%,State House,130,37,
Write-in,3,0.17%,State House,130,37,
Cast Votes: ,1776,90.70%,State House,130,37,
Over Votes: ,1,0.05%,State House,130,37,
Under Votes: ,181,9.24%,State House,130,37,
Mike Montchalin,41,2.04%,U.S. Senate,131,,
Jeff Merkley,1018,50.70%,U.S. Senate,131,,
Christina Jean Lugo,39,1.94%,U.S. Senate,131,,
James E Leuenberger,11,0.55%,U.S. Senate,131,,
Monica Wehby,892,44.42%,U.S. Senate,131,,
Write-in,7,0.35%,U.S. Senate,131,,
Cast Votes: ,2008,96.17%,U.S. Senate,131,,
Over Votes: ,0,0.00%,U.S. Senate,131,,
Under Votes: ,80,3.83%,U.S. Senate,131,,
Raymond Baldwin,25,1.27%,U.S. House,131,5,
Daniel K Souza,33,1.68%,U.S. House,131,5,
Kurt Schrader,1069,54.26%,U.S. House,131,5,
Tootie Smith,801,40.66%,U.S. House,131,5,
Marvin Sannes,37,1.88%,U.S. House,131,5,
Write-in,5,0.25%,U.S. House,131,5,
Cast Votes: ,1970,94.35%,U.S. House,131,5,
Over Votes: ,0,0.00%,U.S. House,131,5,
Under Votes: ,118,5.65%,U.S. House,131,5,
Dennis Richardson,998,50.03%,Governor,131,,
Chris Henry,14,0.70%,Governor,131,,
Aaron Auer,7,0.35%,Governor,131,,
John  Kitzhaber,914,45.81%,Governor,131,,
Paul Grad,25,1.25%,Governor,131,,
Jason  Levin,26,1.30%,Governor,131,,
Write-in,11,0.55%,Governor,131,,
Cast Votes: ,1995,95.55%,Governor,131,,
Over Votes: ,0,0.00%,Governor,131,,
Under Votes: ,93,4.45%,Governor,131,,
Richard Devlin ,1302,94.83%,State Senate,131,19,
Write-in ,71,5.17%,State Senate,131,19,
Cast Votes: ,1373,65.76%,State Senate,131,19,
Over Votes: ,0,0.00%,State Senate,131,19,
Under Votes: ,715,34.24%,State Senate,131,19,
Gerritt Rosenthal,770,40.36%,State House,131,37,
Julie Parrish,1134,59.43%,State House,131,37,
Write-in,4,0.21%,State House,131,37,
Cast Votes: ,1908,91.38%,State House,131,37,
Over Votes: ,0,0.00%,State House,131,37,
Under Votes: ,180,8.62%,State House,131,37,
Mike Montchalin,40,2.58%,U.S. Senate,132,,
Jeff Merkley,814,52.45%,U.S. Senate,132,,
Christina Jean Lugo,23,1.48%,U.S. Senate,132,,
James E Leuenberger,10,0.64%,U.S. Senate,132,,
Monica Wehby,655,42.20%,U.S. Senate,132,,
Write-in,10,0.64%,U.S. Senate,132,,
Cast Votes: ,1552,95.21%,U.S. Senate,132,,
Over Votes: ,0,0.00%,U.S. Senate,132,,
Under Votes: ,78,4.79%,U.S. Senate,132,,
Raymond Baldwin,22,1.44%,U.S. House,132,5,
Daniel K Souza,30,1.97%,U.S. House,132,5,
Kurt Schrader,876,57.40%,U.S. House,132,5,
Tootie Smith,569,37.29%,U.S. House,132,5,
Marvin Sannes,24,1.57%,U.S. House,132,5,
Write-in,5,0.33%,U.S. House,132,5,
Cast Votes: ,1526,93.62%,U.S. House,132,5,
Over Votes: ,0,0.00%,U.S. House,132,5,
Under Votes: ,104,6.38%,U.S. House,132,5,
Dennis Richardson,705,45.22%,Governor,132,,
Chris Henry,6,0.38%,Governor,132,,
Aaron Auer,5,0.32%,Governor,132,,
John  Kitzhaber,792,50.80%,Governor,132,,
Paul Grad,16,1.03%,Governor,132,,
Jason  Levin,26,1.67%,Governor,132,,
Write-in,9,0.58%,Governor,132,,
Cast Votes: ,1559,95.64%,Governor,132,,
Over Votes: ,0,0.00%,Governor,132,,
Under Votes: ,71,4.36%,Governor,132,,
Richard Devlin ,1011,96.01%,State Senate,132,19,
Write-in ,42,3.99%,State Senate,132,19,
Cast Votes: ,1053,64.60%,State Senate,132,19,
Over Votes: ,0,0.00%,State Senate,132,19,
Under Votes: ,577,35.40%,State Senate,132,19,
Gerritt Rosenthal,662,44.82%,State House,132,37,
Julie Parrish,811,54.91%,State House,132,37,
Write-in,4,0.27%,State House,132,37,
Cast Votes: ,1477,90.61%,State House,132,37,
Over Votes: ,0,0.00%,State House,132,37,
Under Votes: ,153,9.39%,State House,132,37,
Mike Montchalin,51,1.91%,U.S. Senate,133,,
Jeff Merkley,1563,58.39%,U.S. Senate,133,,
Christina Jean Lugo,36,1.34%,U.S. Senate,133,,
James E Leuenberger,21,0.78%,U.S. Senate,133,,
Monica Wehby,989,36.94%,U.S. Senate,133,,
Write-in,17,0.64%,U.S. Senate,133,,
Cast Votes: ,2677,96.09%,U.S. Senate,133,,
Over Votes: ,0,0.00%,U.S. Senate,133,,
Under Votes: ,109,3.91%,U.S. Senate,133,,
Raymond Baldwin,25,0.95%,U.S. House,133,5,
Daniel K Souza,37,1.40%,U.S. House,133,5,
Kurt Schrader,1609,61.06%,U.S. House,133,5,
Tootie Smith,915,34.72%,U.S. House,133,5,
Marvin Sannes,41,1.56%,U.S. House,133,5,
Write-in,8,0.30%,U.S. House,133,5,
Cast Votes: ,2635,94.58%,U.S. House,133,5,
Over Votes: ,0,0.00%,U.S. House,133,5,
Under Votes: ,151,5.42%,U.S. House,133,5,
Dennis Richardson,1156,43.10%,Governor,133,,
Chris Henry,25,0.93%,Governor,133,,
Aaron Auer,6,0.22%,Governor,133,,
John  Kitzhaber,1425,53.13%,Governor,133,,
Paul Grad,28,1.04%,Governor,133,,
Jason  Levin,28,1.04%,Governor,133,,
Write-in,14,0.52%,Governor,133,,
Cast Votes: ,2682,96.27%,Governor,133,,
Over Votes: ,0,0.00%,Governor,133,,
Under Votes: ,104,3.73%,Governor,133,,
Richard Devlin ,1775,95.43%,State Senate,133,19,
Write-in ,85,4.57%,State Senate,133,19,
Cast Votes: ,1860,66.76%,State Senate,133,19,
Over Votes: ,0,0.00%,State Senate,133,19,
Under Votes: ,926,33.24%,State Senate,133,19,
Gerritt Rosenthal,1204,47.68%,State House,133,37,
Julie Parrish,1313,52.00%,State House,133,37,
Write-in,8,0.32%,State House,133,37,
Cast Votes: ,2525,90.63%,State House,133,37,
Over Votes: ,0,0.00%,State House,133,37,
Under Votes: ,261,9.37%,State House,133,37,
Mike Montchalin,28,1.51%,U.S. Senate,134,,
Jeff Merkley,1154,62.18%,U.S. Senate,134,,
Christina Jean Lugo,20,1.08%,U.S. Senate,134,,
James E Leuenberger,10,0.54%,U.S. Senate,134,,
Monica Wehby,632,34.05%,U.S. Senate,134,,
Write-in,12,0.65%,U.S. Senate,134,,
Cast Votes: ,1856,95.92%,U.S. Senate,134,,
Over Votes: ,0,0.00%,U.S. Senate,134,,
Under Votes: ,79,4.08%,U.S. Senate,134,,
Raymond Baldwin,17,0.94%,U.S. House,134,5,
Daniel K Souza,25,1.38%,U.S. House,134,5,
Kurt Schrader,1174,64.58%,U.S. House,134,5,
Tootie Smith,574,31.57%,U.S. House,134,5,
Marvin Sannes,23,1.27%,U.S. House,134,5,
Write-in,5,0.28%,U.S. House,134,5,
Cast Votes: ,1818,93.95%,U.S. House,134,5,
Over Votes: ,0,0.00%,U.S. House,134,5,
Under Votes: ,117,6.05%,U.S. House,134,5,
Dennis Richardson,709,38.10%,Governor,134,,
Chris Henry,11,0.59%,Governor,134,,
Aaron Auer,5,0.27%,Governor,134,,
John  Kitzhaber,1094,58.79%,Governor,134,,
Paul Grad,13,0.70%,Governor,134,,
Jason  Levin,19,1.02%,Governor,134,,
Write-in,10,0.54%,Governor,134,,
Cast Votes: ,1861,96.18%,Governor,134,,
Over Votes: ,0,0.00%,Governor,134,,
Under Votes: ,74,3.82%,Governor,134,,
Richard Devlin ,1273,95.57%,State Senate,134,19,
Write-in ,59,4.43%,State Senate,134,19,
Cast Votes: ,1332,68.84%,State Senate,134,19,
Over Votes: ,0,0.00%,State Senate,134,19,
Under Votes: ,603,31.16%,State Senate,134,19,
Gerritt Rosenthal,893,50.77%,State House,134,37,
Julie Parrish,856,48.66%,State House,134,37,
Write-in,10,0.57%,State House,134,37,
Cast Votes: ,1759,90.90%,State House,134,37,
Over Votes: ,0,0.00%,State House,134,37,
Under Votes: ,176,9.10%,State House,134,37,
Mike Montchalin,35,1.76%,U.S. Senate,135,,
Jeff Merkley,1083,54.48%,U.S. Senate,135,,
Christina Jean Lugo,20,1.01%,U.S. Senate,135,,
James E Leuenberger,15,0.75%,U.S. Senate,135,,
Monica Wehby,829,41.70%,U.S. Senate,135,,
Write-in,6,0.30%,U.S. Senate,135,,
Cast Votes: ,1988,96.36%,U.S. Senate,135,,
Over Votes: ,0,0.00%,U.S. Senate,135,,
Under Votes: ,75,3.64%,U.S. Senate,135,,
Raymond Baldwin,25,1.28%,U.S. House,135,5,
Daniel K Souza,22,1.12%,U.S. House,135,5,
Kurt Schrader,1154,58.94%,U.S. House,135,5,
Tootie Smith,726,37.08%,U.S. House,135,5,
Marvin Sannes,25,1.28%,U.S. House,135,5,
Write-in,6,0.31%,U.S. House,135,5,
Cast Votes: ,1958,94.91%,U.S. House,135,5,
Over Votes: ,0,0.00%,U.S. House,135,5,
Under Votes: ,105,5.09%,U.S. House,135,5,
Dennis Richardson,952,47.77%,Governor,135,,
Chris Henry,10,0.50%,Governor,135,,
Aaron Auer,4,0.20%,Governor,135,,
John  Kitzhaber,982,49.27%,Governor,135,,
Paul Grad,15,0.75%,Governor,135,,
Jason  Levin,25,1.25%,Governor,135,,
Write-in,5,0.25%,Governor,135,,
Cast Votes: ,1993,96.61%,Governor,135,,
Over Votes: ,0,0.00%,Governor,135,,
Under Votes: ,70,3.39%,Governor,135,,
Richard Devlin ,1376,97.04%,State Senate,135,19,
Write-in ,42,2.96%,State Senate,135,19,
Cast Votes: ,1418,68.73%,State Senate,135,19,
Over Votes: ,0,0.00%,State Senate,135,19,
Under Votes: ,645,31.27%,State Senate,135,19,
Gerritt Rosenthal,805,42.91%,State House,135,37,
Julie Parrish,1066,56.82%,State House,135,37,
Write-in,5,0.27%,State House,135,37,
Cast Votes: ,1876,90.94%,State House,135,37,
Over Votes: ,0,0.00%,State House,135,37,
Under Votes: ,187,9.06%,State House,135,37,
Mike Montchalin,36,1.88%,U.S. Senate,151,,
Jeff Merkley,1149,59.94%,U.S. Senate,151,,
Christina Jean Lugo,28,1.46%,U.S. Senate,151,,
James E Leuenberger,13,0.68%,U.S. Senate,151,,
Monica Wehby,680,35.47%,U.S. Senate,151,,
Write-in,11,0.57%,U.S. Senate,151,,
Cast Votes: ,1917,95.75%,U.S. Senate,151,,
Over Votes: ,0,0.00%,U.S. Senate,151,,
Under Votes: ,85,4.25%,U.S. Senate,151,,
Raymond Baldwin,8,0.43%,U.S. House,151,5,
Daniel K Souza,33,1.75%,U.S. House,151,5,
Kurt Schrader,1207,64.17%,U.S. House,151,5,
Tootie Smith,611,32.48%,U.S. House,151,5,
Marvin Sannes,19,1.01%,U.S. House,151,5,
Write-in,3,0.16%,U.S. House,151,5,
Cast Votes: ,1881,93.96%,U.S. House,151,5,
Over Votes: ,0,0.00%,U.S. House,151,5,
Under Votes: ,121,6.04%,U.S. House,151,5,
Dennis Richardson,762,39.42%,Governor,151,,
Chris Henry,12,0.62%,Governor,151,,
Aaron Auer,3,0.16%,Governor,151,,
John  Kitzhaber,1101,56.96%,Governor,151,,
Paul Grad,19,0.98%,Governor,151,,
Jason  Levin,21,1.09%,Governor,151,,
Write-in,15,0.78%,Governor,151,,
Cast Votes: ,1933,96.55%,Governor,151,,
Over Votes: ,0,0.00%,Governor,151,,
Under Votes: ,69,3.45%,Governor,151,,
Richard Devlin ,1342,95.18%,State Senate,151,19,
Write-in ,68,4.82%,State Senate,151,19,
Cast Votes: ,1410,70.43%,State Senate,151,19,
Over Votes: ,0,0.00%,State Senate,151,19,
Under Votes: ,592,29.57%,State Senate,151,19,
Ann Lininger ,1233,94.77%,State House,151,38,
Write-in ,68,5.23%,State House,151,38,
Cast Votes: ,1301,64.99%,State House,151,38,
Over Votes: ,0,0.00%,State House,151,38,
Under Votes: ,701,35.01%,State House,151,38,
Mike Montchalin,29,1.38%,U.S. Senate,152,,
Jeff Merkley,1287,61.14%,U.S. Senate,152,,
Christina Jean Lugo,15,0.71%,U.S. Senate,152,,
James E Leuenberger,10,0.48%,U.S. Senate,152,,
Monica Wehby,753,35.77%,U.S. Senate,152,,
Write-in,11,0.52%,U.S. Senate,152,,
Cast Votes: ,2105,96.52%,U.S. Senate,152,,
Over Votes: ,2,0.09%,U.S. Senate,152,,
Under Votes: ,74,3.39%,U.S. Senate,152,,
Raymond Baldwin,29,1.39%,U.S. House,152,5,
Daniel K Souza,28,1.34%,U.S. House,152,5,
Kurt Schrader,1339,64.31%,U.S. House,152,5,
Tootie Smith,645,30.98%,U.S. House,152,5,
Marvin Sannes,36,1.73%,U.S. House,152,5,
Write-in,5,0.24%,U.S. House,152,5,
Cast Votes: ,2082,95.46%,U.S. House,152,5,
Over Votes: ,0,0.00%,U.S. House,152,5,
Under Votes: ,99,4.54%,U.S. House,152,5,
Dennis Richardson,827,39.55%,Governor,152,,
Chris Henry,10,0.48%,Governor,152,,
Aaron Auer,7,0.33%,Governor,152,,
John  Kitzhaber,1193,57.05%,Governor,152,,
Paul Grad,14,0.67%,Governor,152,,
Jason  Levin,17,0.81%,Governor,152,,
Write-in,23,1.10%,Governor,152,,
Cast Votes: ,2091,95.87%,Governor,152,,
Over Votes: ,0,0.00%,Governor,152,,
Under Votes: ,90,4.13%,Governor,152,,
Richard Devlin ,1460,95.67%,State Senate,152,19,
Write-in ,66,4.33%,State Senate,152,19,
Cast Votes: ,1526,69.97%,State Senate,152,19,
Over Votes: ,0,0.00%,State Senate,152,19,
Under Votes: ,655,30.03%,State Senate,152,19,
Ann Lininger ,1378,95.36%,State House,152,38,
Write-in ,67,4.64%,State House,152,38,
Cast Votes: ,1445,66.25%,State House,152,38,
Over Votes: ,0,0.00%,State House,152,38,
Under Votes: ,736,33.75%,State House,152,38,
Mike Montchalin,33,1.88%,U.S. Senate,153,,
Jeff Merkley,1034,58.98%,U.S. Senate,153,,
Christina Jean Lugo,16,0.91%,U.S. Senate,153,,
James E Leuenberger,8,0.46%,U.S. Senate,153,,
Monica Wehby,653,37.25%,U.S. Senate,153,,
Write-in,9,0.51%,U.S. Senate,153,,
Cast Votes: ,1753,95.64%,U.S. Senate,153,,
Over Votes: ,2,0.11%,U.S. Senate,153,,
Under Votes: ,78,4.26%,U.S. Senate,153,,
Raymond Baldwin,16,0.93%,U.S. House,153,5,
Daniel K Souza,17,0.99%,U.S. House,153,5,
Kurt Schrader,1054,61.46%,U.S. House,153,5,
Tootie Smith,595,34.69%,U.S. House,153,5,
Marvin Sannes,27,1.57%,U.S. House,153,5,
Write-in,6,0.35%,U.S. House,153,5,
Cast Votes: ,1715,93.56%,U.S. House,153,5,
Over Votes: ,0,0.00%,U.S. House,153,5,
Under Votes: ,118,6.44%,U.S. House,153,5,
Dennis Richardson,739,42.40%,Governor,153,,
Chris Henry,10,0.57%,Governor,153,,
Aaron Auer,3,0.17%,Governor,153,,
John  Kitzhaber,945,54.22%,Governor,153,,
Paul Grad,13,0.75%,Governor,153,,
Jason  Levin,18,1.03%,Governor,153,,
Write-in,15,0.86%,Governor,153,,
Cast Votes: ,1743,95.09%,Governor,153,,
Over Votes: ,0,0.00%,Governor,153,,
Under Votes: ,90,4.91%,Governor,153,,
Richard Devlin ,1222,96.37%,State Senate,153,19,
Write-in ,46,3.63%,State Senate,153,19,
Cast Votes: ,1268,69.18%,State Senate,153,19,
Over Votes: ,0,0.00%,State Senate,153,19,
Under Votes: ,565,30.82%,State Senate,153,19,
Ann Lininger ,1180,96.25%,State House,153,38,
Write-in ,46,3.75%,State House,153,38,
Cast Votes: ,1226,66.88%,State House,153,38,
Over Votes: ,0,0.00%,State House,153,38,
Under Votes: ,607,33.12%,State House,153,38,
Mike Montchalin,4,0.74%,U.S. Senate,154,,
Jeff Merkley,336,61.88%,U.S. Senate,154,,
Christina Jean Lugo,3,0.55%,U.S. Senate,154,,
James E Leuenberger,0,0.00%,U.S. Senate,154,,
Monica Wehby,200,36.83%,U.S. Senate,154,,
Write-in,0,0.00%,U.S. Senate,154,,
Cast Votes: ,543,96.28%,U.S. Senate,154,,
Over Votes: ,0,0.00%,U.S. Senate,154,,
Under Votes: ,21,3.72%,U.S. Senate,154,,
