county,candidate,votes,office,party,district
Jackson,Hugh Palcic,1165,State Senate,D,28
Klamath,Hugh Palcic,3310,State Senate,D,28
Lake,Hugh Palcic,236,State Senate,D,28
Total,Hugh Palcic,7012,State Senate,D,28
Crook,Misc.,38,State Senate,D,28
Deschutes,Misc.,21,State Senate,D,28
Jackson,Misc.,29,State Senate,D,28
Klamath,Misc.,109,State Senate,D,28
Lake,Misc.,9,State Senate,D,28
Total,Misc.,206,State Senate,D,28
Gilliam,Mildred A O'Callaghan,125,State Senate,D,29
Morrow,Mildred A O'Callaghan,444,State Senate,D,29
Sherman,Mildred A O'Callaghan,105,State Senate,D,29
Umatilla,Mildred A O'Callaghan,2750,State Senate,D,29
Union,Mildred A O'Callaghan,1537,State Senate,D,29
Wallowa,Mildred A O'Callaghan,583,State Senate,D,29
Wasco,Mildred A O'Callaghan,151,State Senate,D,29
Total,Mildred A O'Callaghan,5695,State Senate,D,29
Gilliam,Misc.,2,State Senate,D,29
Morrow,Misc.,22,State Senate,D,29
Sherman,Misc.,3,State Senate,D,29
Umatilla,Misc.,84,State Senate,D,29
Union,Misc.,60,State Senate,D,29
Wallowa,Misc.,30,State Senate,D,29
Wasco,Misc.,8,State Senate,D,29
Total,Misc.,209,State Senate,D,29
Baker,Carina M Miller,895,State Senate,D,30
Clackamas,Carina M Miller,0,State Senate,D,30
Deschutes,Carina M Miller,2474,State Senate,D,30
Grant,Carina M Miller,375,State Senate,D,30
Harney,Carina M Miller,379,State Senate,D,30
Jefferson,Carina M Miller,1395,State Senate,D,30
Lake,Carina M Miller,17,State Senate,D,30
Malheur,Carina M Miller,874,State Senate,D,30
Marion,Carina M Miller,0,State Senate,D,30
Wasco,Carina M Miller,2187,State Senate,D,30
Wheeler,Carina M Miller,107,State Senate,D,30
Total,Carina M Miller,8703,State Senate,D,30
Baker,Misc.,14,State Senate,D,30
Clackamas,Misc.,0,State Senate,D,30
Deschutes,Misc.,23,State Senate,D,30
Grant,Misc.,21,State Senate,D,30
Harney,Misc.,35,State Senate,D,30
Jefferson,Misc.,28,State Senate,D,30
Lake,Misc.,0,State Senate,D,30
Malheur,Misc.,37,State Senate,D,30
Marion,Misc.,0,State Senate,D,30
Wasco,Misc.,41,State Senate,D,30
Wheeler,Misc.,9,State Senate,D,30
Total,Misc.,208,State Senate,D,30
Coos,Melissa T Cribbins,3498,State Senate,D,5
Douglas,Melissa T Cribbins,525,State Senate,D,5
Lane,Melissa T Cribbins,2574,State Senate,D,5
Lincoln,Melissa T Cribbins,7048,State Senate,D,5
Polk,Melissa T Cribbins,200,State Senate,D,5
Tillamook,Melissa T Cribbins,1020,State Senate,D,5
Yamhill,Melissa T Cribbins,345,State Senate,D,5
Total,Melissa T Cribbins,15210,State Senate,D,5
Coos,Misc.,142,State Senate,D,5
Douglas,Misc.,8,State Senate,D,5
Lane,Misc.,22,State Senate,D,5
Lincoln,Misc.,100,State Senate,D,5
Polk,Misc.,7,State Senate,D,5
Tillamook,Misc.,18,State Senate,D,5
Yamhill,Misc.,19,State Senate,D,5
Total,Misc.,316,State Senate,D,5
Clackamas,Jim Hinsvark,1531,State Senate,D,9
Linn,Jim Hinsvark,3035,State Senate,D,9
Marion,Jim Hinsvark,4061,State Senate,D,9
Total,Jim Hinsvark,8627,State Senate,D,9
Clackamas,Misc.,54,State Senate,D,9
Linn,Misc.,115,State Senate,D,9
Marion,Misc.,97,State Senate,D,9
Total,Misc.,266,State Senate,D,9
Baker,Tobias Read,906,State Treasurer,D,
Benton,Tobias Read,13903,State Treasurer,D,
Clackamas,Tobias Read,46662,State Treasurer,D,
Clatsop,Tobias Read,5067,State Treasurer,D,
Columbia,Tobias Read,5858,State Treasurer,D,
Coos,Tobias Read,5581,State Treasurer,D,
Crook,Tobias Read,1536,State Treasurer,D,
Curry,Tobias Read,2248,State Treasurer,D,
Deschutes,Tobias Read,21193,State Treasurer,D,
Douglas,Tobias Read,7108,State Treasurer,D,
Gilliam,Tobias Read,135,State Treasurer,D,
Grant,Tobias Read,367,State Treasurer,D,
Harney,Tobias Read,393,State Treasurer,D,
Hood River,Tobias Read,2939,State Treasurer,D,
Jackson,Tobias Read,21133,State Treasurer,D,
Jefferson,Tobias Read,1389,State Treasurer,D,
Josephine,Tobias Read,6273,State Treasurer,D,
Klamath,Tobias Read,3606,State Treasurer,D,
Lake,Tobias Read,272,State Treasurer,D,
Lane,Tobias Read,45675,State Treasurer,D,
Lincoln,Tobias Read,7136,State Treasurer,D,
Linn,Tobias Read,8919,State Treasurer,D,
Malheur,Tobias Read,881,State Treasurer,D,
Marion,Tobias Read,26511,State Treasurer,D,
Morrow,Tobias Read,471,State Treasurer,D,
Multnomah,Tobias Read,133474,State Treasurer,D,
Polk,Tobias Read,8173,State Treasurer,D,
Sherman,Tobias Read,120,State Treasurer,D,
Tillamook,Tobias Read,3183,State Treasurer,D,
Umatilla,Tobias Read,3026,State Treasurer,D,
Union,Tobias Read,1718,State Treasurer,D,
Wallowa,Tobias Read,643,State Treasurer,D,
Wasco,Tobias Read,2378,State Treasurer,D,
Washington,Tobias Read,66480,State Treasurer,D,
Wheeler,Tobias Read,111,State Treasurer,D,
Yamhill,Tobias Read,8961,State Treasurer,D,
Total,Tobias Read,464429,State Treasurer,D,
Baker,Misc.,20,State Treasurer,D,
Benton,Misc.,128,State Treasurer,D,
Clackamas,Misc.,598,State Treasurer,D,
Clatsop,Misc.,51,State Treasurer,D,
Columbia,Misc.,135,State Treasurer,D,
Coos,Misc.,132,State Treasurer,D,
Crook,Misc.,35,State Treasurer,D,
Curry,Misc.,29,State Treasurer,D,
Deschutes,Misc.,193,State Treasurer,D,
Douglas,Misc.,180,State Treasurer,D,
Gilliam,Misc.,2,State Treasurer,D,
Grant,Misc.,23,State Treasurer,D,
Harney,Misc.,20,State Treasurer,D,
Hood River,Misc.,23,State Treasurer,D,
Jackson,Misc.,241,State Treasurer,D,
Jefferson,Misc.,25,State Treasurer,D,
Josephine,Misc.,133,State Treasurer,D,
Klamath,Misc.,94,State Treasurer,D,
Lake,Misc.,10,State Treasurer,D,
Lane,Misc.,513,State Treasurer,D,
Lincoln,Misc.,98,State Treasurer,D,
Linn,Misc.,246,State Treasurer,D,
Malheur,Misc.,25,State Treasurer,D,
Marion,Misc.,420,State Treasurer,D,
Morrow,Misc.,19,State Treasurer,D,
Multnomah,Misc.,1356,State Treasurer,D,
Polk,Misc.,119,State Treasurer,D,
Sherman,Misc.,4,State Treasurer,D,
Tillamook,Misc.,45,State Treasurer,D,
Umatilla,Misc.,77,State Treasurer,D,
Union,Misc.,53,State Treasurer,D,
Wallowa,Misc.,19,State Treasurer,D,
Wasco,Misc.,44,State Treasurer,D,
Washington,Misc.,657,State Treasurer,D,
Wheeler,Misc.,10,State Treasurer,D,
Yamhill,Misc.,179,State Treasurer,D,
Total,Misc.,5956,State Treasurer,D,
Baker,Mark D Hass,301,Secretary of State,D,
Benton,Mark D Hass,5114,Secretary of State,D,
Clackamas,Mark D Hass,24429,Secretary of State,D,
Clatsop,Mark D Hass,2576,Secretary of State,D,
Columbia,Mark D Hass,3279,Secretary of State,D,
Coos,Mark D Hass,2672,Secretary of State,D,
Crook,Mark D Hass,536,Secretary of State,D,
Curry,Mark D Hass,707,Secretary of State,D,
Deschutes,Mark D Hass,3347,Secretary of State,D,
Douglas,Mark D Hass,3176,Secretary of State,D,
Gilliam,Mark D Hass,54,Secretary of State,D,
Grant,Mark D Hass,133,Secretary of State,D,
Harney,Mark D Hass,130,Secretary of State,D,
Hood River,Mark D Hass,764,Secretary of State,D,
Jackson,Mark D Hass,3217,Secretary of State,D,
Jefferson,Mark D Hass,428,Secretary of State,D,
Josephine,Mark D Hass,1249,Secretary of State,D,
Klamath,Mark D Hass,838,Secretary of State,D,
Lake,Mark D Hass,62,Secretary of State,D,
Lane,Mark D Hass,16679,Secretary of State,D,
Lincoln,Mark D Hass,3193,Secretary of State,D,
Linn,Mark D Hass,4556,Secretary of State,D,
Malheur,Mark D Hass,225,Secretary of State,D,
Marion,Mark D Hass,13005,Secretary of State,D,
Morrow,Mark D Hass,183,Secretary of State,D,
Multnomah,Mark D Hass,66385,Secretary of State,D,
Polk,Mark D Hass,3623,Secretary of State,D,
Sherman,Mark D Hass,51,Secretary of State,D,
Tillamook,Mark D Hass,1712,Secretary of State,D,
Umatilla,Mark D Hass,741,Secretary of State,D,
Union,Mark D Hass,565,Secretary of State,D,
Wallowa,Mark D Hass,146,Secretary of State,D,
Wasco,Mark D Hass,879,Secretary of State,D,
Washington,Mark D Hass,35320,Secretary of State,D,
Wheeler,Mark D Hass,55,Secretary of State,D,
Yamhill,Mark D Hass,4900,Secretary of State,D,
Total,Mark D Hass,205230,Secretary of State,D,
Baker,Jamie McLeod-Skinner,544,Secretary of State,D,
Benton,Jamie McLeod-Skinner,4216,Secretary of State,D,
Clackamas,Jamie McLeod-Skinner,11773,Secretary of State,D,
Clatsop,Jamie McLeod-Skinner,1422,Secretary of State,D,
Columbia,Jamie McLeod-Skinner,1406,Secretary of State,D,
Coos,Jamie McLeod-Skinner,1536,Secretary of State,D,
Crook,Jamie McLeod-Skinner,794,Secretary of State,D,
Curry,Jamie McLeod-Skinner,870,Secretary of State,D,
Deschutes,Jamie McLeod-Skinner,16035,Secretary of State,D,
Douglas,Jamie McLeod-Skinner,1891,Secretary of State,D,
Gilliam,Jamie McLeod-Skinner,63,Secretary of State,D,
Grant,Jamie McLeod-Skinner,235,Secretary of State,D,
Harney,Jamie McLeod-Skinner,252,Secretary of State,D,
Hood River,Jamie McLeod-Skinner,2213,Secretary of State,D,
Jackson,Jamie McLeod-Skinner,16541,Secretary of State,D,
Jefferson,Jamie McLeod-Skinner,896,Secretary of State,D,
Josephine,Jamie McLeod-Skinner,3929,Secretary of State,D,
Klamath,Jamie McLeod-Skinner,1935,Secretary of State,D,
Lake,Jamie McLeod-Skinner,179,Secretary of State,D,
Lane,Jamie McLeod-Skinner,13709,Secretary of State,D,
Lincoln,Jamie McLeod-Skinner,2219,Secretary of State,D,
Linn,Jamie McLeod-Skinner,2583,Secretary of State,D,
Malheur,Jamie McLeod-Skinner,450,Secretary of State,D,
Marion,Jamie McLeod-Skinner,7229,Secretary of State,D,
Morrow,Jamie McLeod-Skinner,234,Secretary of State,D,
Multnomah,Jamie McLeod-Skinner,39669,Secretary of State,D,
Polk,Jamie McLeod-Skinner,2142,Secretary of State,D,
Sherman,Jamie McLeod-Skinner,54,Secretary of State,D,
Tillamook,Jamie McLeod-Skinner,872,Secretary of State,D,
Umatilla,Jamie McLeod-Skinner,2095,Secretary of State,D,
Union,Jamie McLeod-Skinner,1132,Secretary of State,D,
Wallowa,Jamie McLeod-Skinner,449,Secretary of State,D,
Wasco,Jamie McLeod-Skinner,1263,Secretary of State,D,
Washington,Jamie McLeod-Skinner,15998,Secretary of State,D,
Wheeler,Jamie McLeod-Skinner,48,Secretary of State,D,
Yamhill,Jamie McLeod-Skinner,2554,Secretary of State,D,
Total,Jamie McLeod-Skinner,159430,Secretary of State,D,
Baker,Shemia Fagan,283,Secretary of State,D,
Benton,Shemia Fagan,6601,Secretary of State,D,
Clackamas,Shemia Fagan,21966,Secretary of State,D,
Clatsop,Shemia Fagan,2027,Secretary of State,D,
Columbia,Shemia Fagan,2211,Secretary of State,D,
Coos,Shemia Fagan,2564,Secretary of State,D,
Crook,Shemia Fagan,482,Secretary of State,D,
Curry,Shemia Fagan,1144,Secretary of State,D,
Deschutes,Shemia Fagan,6525,Secretary of State,D,
Douglas,Shemia Fagan,3435,Secretary of State,D,
Gilliam,Shemia Fagan,46,Secretary of State,D,
Grant,Shemia Fagan,100,Secretary of State,D,
Harney,Shemia Fagan,99,Secretary of State,D,
Hood River,Shemia Fagan,821,Secretary of State,D,
Jackson,Shemia Fagan,6855,Secretary of State,D,
Jefferson,Shemia Fagan,361,Secretary of State,D,
Josephine,Shemia Fagan,2434,Secretary of State,D,
Klamath,Shemia Fagan,1383,Secretary of State,D,
Lake,Shemia Fagan,95,Secretary of State,D,
Lane,Shemia Fagan,27199,Secretary of State,D,
Lincoln,Shemia Fagan,3002,Secretary of State,D,
Linn,Shemia Fagan,3812,Secretary of State,D,
Malheur,Shemia Fagan,317,Secretary of State,D,
Marion,Shemia Fagan,11497,Secretary of State,D,
Morrow,Shemia Fagan,147,Secretary of State,D,
Multnomah,Shemia Fagan,66289,Secretary of State,D,
Polk,Shemia Fagan,3670,Secretary of State,D,
Sherman,Shemia Fagan,42,Secretary of State,D,
Tillamook,Shemia Fagan,1352,Secretary of State,D,
Umatilla,Shemia Fagan,869,Secretary of State,D,
Union,Shemia Fagan,497,Secretary of State,D,
Wallowa,Shemia Fagan,197,Secretary of State,D,
Wasco,Shemia Fagan,913,Secretary of State,D,
Washington,Shemia Fagan,26814,Secretary of State,D,
Wheeler,Shemia Fagan,34,Secretary of State,D,
Yamhill,Shemia Fagan,3599,Secretary of State,D,
Total,Shemia Fagan,209682,Secretary of State,D,
Baker,Misc.,19,Secretary of State,D,
Benton,Misc.,80,Secretary of State,D,
Clackamas,Misc.,471,Secretary of State,D,
Clatsop,Misc.,46,Secretary of State,D,
Columbia,Misc.,129,Secretary of State,D,
Coos,Misc.,141,Secretary of State,D,
Crook,Misc.,51,Secretary of State,D,
Curry,Misc.,29,Secretary of State,D,
Deschutes,Misc.,151,Secretary of State,D,
Douglas,Misc.,184,Secretary of State,D,
Gilliam,Misc.,1,Secretary of State,D,
Grant,Misc.,20,Secretary of State,D,
Harney,Misc.,27,Secretary of State,D,
Hood River,Misc.,22,Secretary of State,D,
Jackson,Misc.,205,Secretary of State,D,
Jefferson,Misc.,19,Secretary of State,D,
Josephine,Misc.,148,Secretary of State,D,
Klamath,Misc.,103,Secretary of State,D,
Lake,Misc.,10,Secretary of State,D,
Lane,Misc.,375,Secretary of State,D,
Lincoln,Misc.,73,Secretary of State,D,
Linn,Misc.,230,Secretary of State,D,
Malheur,Misc.,24,Secretary of State,D,
Marion,Misc.,348,Secretary of State,D,
Morrow,Misc.,16,Secretary of State,D,
Multnomah,Misc.,600,Secretary of State,D,
Polk,Misc.,103,Secretary of State,D,
Sherman,Misc.,7,Secretary of State,D,
Tillamook,Misc.,33,Secretary of State,D,
Umatilla,Misc.,71,Secretary of State,D,
Union,Misc.,47,Secretary of State,D,
Wallowa,Misc.,16,Secretary of State,D,
Wasco,Misc.,36,Secretary of State,D,
Washington,Misc.,398,Secretary of State,D,
Wheeler,Misc.,10,Secretary of State,D,
Yamhill,Misc.,152,Secretary of State,D,
Total,Misc.,4395,Secretary of State,D,
Clatsop,Heidi Briones,405,US House of Representatives,D,1
Columbia,Heidi Briones,529,US House of Representatives,D,1
Multnomah,Heidi Briones,904,US House of Representatives,D,1
Washington,Heidi Briones,5656,US House of Representatives,D,1
Yamhill,Heidi Briones,766,US House of Representatives,D,1
Total,Heidi Briones,8260,US House of Representatives,D,1
Clatsop,Suzanne Bonamici,5330,US House of Representatives,D,1
Columbia,Suzanne Bonamici,5713,US House of Representatives,D,1
Multnomah,Suzanne Bonamici,14188,US House of Representatives,D,1
Washington,Suzanne Bonamici,66057,US House of Representatives,D,1
Yamhill,Suzanne Bonamici,9445,US House of Representatives,D,1
Total,Suzanne Bonamici,100733,US House of Representatives,D,1
Clatsop,Ricky Barajas,148,US House of Representatives,D,1
Columbia,Ricky Barajas,263,US House of Representatives,D,1
Multnomah,Ricky Barajas,202,US House of Representatives,D,1
Washington,Ricky Barajas,1994,US House of Representatives,D,1
Yamhill,Ricky Barajas,341,US House of Representatives,D,1
Total,Ricky Barajas,2948,US House of Representatives,D,1
Clatsop,Amanda Siebe,326,US House of Representatives,D,1
Columbia,Amanda Siebe,552,US House of Representatives,D,1
Multnomah,Amanda Siebe,944,US House of Representatives,D,1
Washington,Amanda Siebe,5419,US House of Representatives,D,1
Yamhill,Amanda Siebe,814,US House of Representatives,D,1
Total,Amanda Siebe,8055,US House of Representatives,D,1
Clatsop,Misc.,29,US House of Representatives,D,1
Columbia,Misc.,96,US House of Representatives,D,1
Multnomah,Misc.,12,US House of Representatives,D,1
Washington,Misc.,299,US House of Representatives,D,1
Yamhill,Misc.,87,US House of Representatives,D,1
Total,Misc.,523,US House of Representatives,D,1
Baker,Jack Howard,104,US House of Representatives,D,2
Crook,Jack Howard,170,US House of Representatives,D,2
Deschutes,Jack Howard,1403,US House of Representatives,D,2
Gilliam,Jack Howard,23,US House of Representatives,D,2
Grant,Jack Howard,34,US House of Representatives,D,2
Harney,Jack Howard,44,US House of Representatives,D,2
Hood River,Jack Howard,266,US House of Representatives,D,2
Jackson,Jack Howard,1529,US House of Representatives,D,2
Jefferson,Jack Howard,150,US House of Representatives,D,2
Josephine,Jack Howard,349,US House of Representatives,D,2
Klamath,Jack Howard,377,US House of Representatives,D,2
Lake,Jack Howard,33,US House of Representatives,D,2
Malheur,Jack Howard,106,US House of Representatives,D,2
Morrow,Jack Howard,92,US House of Representatives,D,2
Sherman,Jack Howard,21,US House of Representatives,D,2
Umatilla,Jack Howard,402,US House of Representatives,D,2
Union,Jack Howard,586,US House of Representatives,D,2
Wallowa,Jack Howard,63,US House of Representatives,D,2
Wasco,Jack Howard,278,US House of Representatives,D,2
Wheeler,Jack Howard,17,US House of Representatives,D,2
Total,Jack Howard,6047,US House of Representatives,D,2
Baker,John P Holm,104,US House of Representatives,D,2
Crook,John P Holm,162,US House of Representatives,D,2
Deschutes,John P Holm,1419,US House of Representatives,D,2
Gilliam,John P Holm,13,US House of Representatives,D,2
Grant,John P Holm,44,US House of Representatives,D,2
Harney,John P Holm,42,US House of Representatives,D,2
Hood River,John P Holm,208,US House of Representatives,D,2
Jackson,John P Holm,1870,US House of Representatives,D,2
Jefferson,John P Holm,146,US House of Representatives,D,2
Josephine,John P Holm,415,US House of Representatives,D,2
Klamath,John P Holm,406,US House of Representatives,D,2
Lake,John P Holm,32,US House of Representatives,D,2
Malheur,John P Holm,115,US House of Representatives,D,2
Morrow,John P Holm,77,US House of Representatives,D,2
Sherman,John P Holm,16,US House of Representatives,D,2
Umatilla,John P Holm,380,US House of Representatives,D,2
Union,John P Holm,157,US House of Representatives,D,2
Wallowa,John P Holm,55,US House of Representatives,D,2
Wasco,John P Holm,237,US House of Representatives,D,2
Wheeler,John P Holm,10,US House of Representatives,D,2
Total,John P Holm,5908,US House of Representatives,D,2
Baker,Nick (Nik) L Heuertz,251,US House of Representatives,D,2
Crook,Nick (Nik) L Heuertz,362,US House of Representatives,D,2
Deschutes,Nick (Nik) L Heuertz,7553,US House of Representatives,D,2
Gilliam,Nick (Nik) L Heuertz,33,US House of Representatives,D,2
Grant,Nick (Nik) L Heuertz,90,US House of Representatives,D,2
Harney,Nick (Nik) L Heuertz,92,US House of Representatives,D,2
Hood River,Nick (Nik) L Heuertz,966,US House of Representatives,D,2
Jackson,Nick (Nik) L Heuertz,8159,US House of Representatives,D,2
Jefferson,Nick (Nik) L Heuertz,329,US House of Representatives,D,2
Josephine,Nick (Nik) L Heuertz,1390,US House of Representatives,D,2
Klamath,Nick (Nik) L Heuertz,935,US House of Representatives,D,2
Lake,Nick (Nik) L Heuertz,79,US House of Representatives,D,2
Malheur,Nick (Nik) L Heuertz,195,US House of Representatives,D,2
Morrow,Nick (Nik) L Heuertz,84,US House of Representatives,D,2
Sherman,Nick (Nik) L Heuertz,27,US House of Representatives,D,2
Umatilla,Nick (Nik) L Heuertz,779,US House of Representatives,D,2
Union,Nick (Nik) L Heuertz,392,US House of Representatives,D,2
Wallowa,Nick (Nik) L Heuertz,220,US House of Representatives,D,2
Wasco,Nick (Nik) L Heuertz,717,US House of Representatives,D,2
Wheeler,Nick (Nik) L Heuertz,32,US House of Representatives,D,2
Total,Nick (Nik) L Heuertz,22685,US House of Representatives,D,2
Baker,Alex Spenser,253,US House of Representatives,D,2
Crook,Alex Spenser,462,US House of Representatives,D,2
Deschutes,Alex Spenser,8381,US House of Representatives,D,2
Gilliam,Alex Spenser,32,US House of Representatives,D,2
Grant,Alex Spenser,107,US House of Representatives,D,2
Harney,Alex Spenser,92,US House of Representatives,D,2
Hood River,Alex Spenser,1032,US House of Representatives,D,2
Jackson,Alex Spenser,7686,US House of Representatives,D,2
Jefferson,Alex Spenser,433,US House of Representatives,D,2
Josephine,Alex Spenser,1173,US House of Representatives,D,2
Klamath,Alex Spenser,1116,US House of Representatives,D,2
Lake,Alex Spenser,89,US House of Representatives,D,2
Malheur,Alex Spenser,244,US House of Representatives,D,2
Morrow,Alex Spenser,103,US House of Representatives,D,2
Sherman,Alex Spenser,36,US House of Representatives,D,2
Umatilla,Alex Spenser,860,US House of Representatives,D,2
Union,Alex Spenser,465,US House of Representatives,D,2
Wallowa,Alex Spenser,209,US House of Representatives,D,2
Wasco,Alex Spenser,678,US House of Representatives,D,2
Wheeler,Alex Spenser,31,US House of Representatives,D,2
Total,Alex Spenser,23482,US House of Representatives,D,2
Baker,Chris Vaughn,233,US House of Representatives,D,2
Crook,Chris Vaughn,368,US House of Representatives,D,2
Deschutes,Chris Vaughn,4248,US House of Representatives,D,2
Gilliam,Chris Vaughn,18,US House of Representatives,D,2
Grant,Chris Vaughn,96,US House of Representatives,D,2
Harney,Chris Vaughn,86,US House of Representatives,D,2
Hood River,Chris Vaughn,501,US House of Representatives,D,2
Jackson,Chris Vaughn,3839,US House of Representatives,D,2
Jefferson,Chris Vaughn,323,US House of Representatives,D,2
Josephine,Chris Vaughn,795,US House of Representatives,D,2
Klamath,Chris Vaughn,821,US House of Representatives,D,2
Lake,Chris Vaughn,57,US House of Representatives,D,2
Malheur,Chris Vaughn,238,US House of Representatives,D,2
Morrow,Chris Vaughn,85,US House of Representatives,D,2
Sherman,Chris Vaughn,17,US House of Representatives,D,2
Umatilla,Chris Vaughn,692,US House of Representatives,D,2
Union,Chris Vaughn,301,US House of Representatives,D,2
Wallowa,Chris Vaughn,114,US House of Representatives,D,2
Wasco,Chris Vaughn,504,US House of Representatives,D,2
Wheeler,Chris Vaughn,15,US House of Representatives,D,2
Total,Chris Vaughn,13351,US House of Representatives,D,2
Baker,Misc.,36,US House of Representatives,D,2
Crook,Misc.,59,US House of Representatives,D,2
Deschutes,Misc.,371,US House of Representatives,D,2
Gilliam,Misc.,4,US House of Representatives,D,2
Grant,Misc.,33,US House of Representatives,D,2
Harney,Misc.,59,US House of Representatives,D,2
Hood River,Misc.,55,US House of Representatives,D,2
Jackson,Misc.,390,US House of Representatives,D,2
Jefferson,Misc.,38,US House of Representatives,D,2
Josephine,Misc.,120,US House of Representatives,D,2
Klamath,Misc.,157,US House of Representatives,D,2
Lake,Misc.,17,US House of Representatives,D,2
Malheur,Misc.,60,US House of Representatives,D,2
Morrow,Misc.,30,US House of Representatives,D,2
Sherman,Misc.,9,US House of Representatives,D,2
Umatilla,Misc.,110,US House of Representatives,D,2
Union,Misc.,79,US House of Representatives,D,2
Wallowa,Misc.,35,US House of Representatives,D,2
Wasco,Misc.,61,US House of Representatives,D,2
Wheeler,Misc.,11,US House of Representatives,D,2
Total,Misc.,1734,US House of Representatives,D,2
Clackamas,Earl Blumenauer,10094,US House of Representatives,D,3
Multnomah,Earl Blumenauer,130718,US House of Representatives,D,3
Total,Earl Blumenauer,140812,US House of Representatives,D,3
Clackamas,Charles Rand Barnett,145,US House of Representatives,D,3
Multnomah,Charles Rand Barnett,808,US House of Representatives,D,3
Total,Charles Rand Barnett,953,US House of Representatives,D,3
Clackamas,Dane Wilcox,273,US House of Representatives,D,3
Multnomah,Dane Wilcox,1693,US House of Representatives,D,3
Total,Dane Wilcox,1966,US House of Representatives,D,3
Clackamas,Albert Lee,1371,US House of Representatives,D,3
Multnomah,Albert Lee,27940,US House of Representatives,D,3
Total,Albert Lee,29311,US House of Representatives,D,3
Clackamas,Matthew S Davis,163,US House of Representatives,D,3
Multnomah,Matthew S Davis,938,US House of Representatives,D,3
Total,Matthew S Davis,1101,US House of Representatives,D,3
Clackamas,Misc.,157,US House of Representatives,D,3
Multnomah,Misc.,557,US House of Representatives,D,3
Total,Misc.,714,US House of Representatives,D,3
Benton,Peter DeFazio,12628,US House of Representatives,D,4
Coos,Peter DeFazio,6290,US House of Representatives,D,4
Curry,Peter DeFazio,2458,US House of Representatives,D,4
Douglas,Peter DeFazio,7756,US House of Representatives,D,4
Josephine,Peter DeFazio,2474,US House of Representatives,D,4
Lane,Peter DeFazio,54917,US House of Representatives,D,4
Linn,Peter DeFazio,9554,US House of Representatives,D,4
Total,Peter DeFazio,96077,US House of Representatives,D,4
Benton,Doyle Elizabeth Canning,2462,US House of Representatives,D,4
Coos,Doyle Elizabeth Canning,1279,US House of Representatives,D,4
Curry,Doyle Elizabeth Canning,477,US House of Representatives,D,4
Douglas,Doyle Elizabeth Canning,1620,US House of Representatives,D,4
Josephine,Doyle Elizabeth Canning,686,US House of Representatives,D,4
Lane,Doyle Elizabeth Canning,8979,US House of Representatives,D,4
Linn,Doyle Elizabeth Canning,2198,US House of Representatives,D,4
Total,Doyle Elizabeth Canning,17701,US House of Representatives,D,4
Benton,Misc.,39,US House of Representatives,D,4
Coos,Misc.,123,US House of Representatives,D,4
Curry,Misc.,26,US House of Representatives,D,4
Douglas,Misc.,193,US House of Representatives,D,4
Josephine,Misc.,62,US House of Representatives,D,4
Lane,Misc.,328,US House of Representatives,D,4
Linn,Misc.,203,US House of Representatives,D,4
Total,Misc.,974,US House of Representatives,D,4
Benton,Blair G Reynolds,163,US House of Representatives,D,5
Clackamas,Blair G Reynolds,3168,US House of Representatives,D,5
Lincoln,Blair G Reynolds,671,US House of Representatives,D,5
Marion,Blair G Reynolds,2734,US House of Representatives,D,5
Multnomah,Blair G Reynolds,117,US House of Representatives,D,5
Polk,Blair G Reynolds,772,US House of Representatives,D,5
Tillamook,Blair G Reynolds,285,US House of Representatives,D,5
Total,Blair G Reynolds,7910,US House of Representatives,D,5
Benton,Kurt Schrader,1323,US House of Representatives,D,5
Clackamas,Kurt Schrader,31520,US House of Representatives,D,5
Lincoln,Kurt Schrader,5857,US House of Representatives,D,5
Marion,Kurt Schrader,23086,US House of Representatives,D,5
Multnomah,Kurt Schrader,1154,US House of Representatives,D,5
Polk,Kurt Schrader,7054,US House of Representatives,D,5
Tillamook,Kurt Schrader,3066,US House of Representatives,D,5
Total,Kurt Schrader,73060,US House of Representatives,D,5
Benton,Mark F Gamba,477,US House of Representatives,D,5
Clackamas,Mark F Gamba,12355,US House of Representatives,D,5
Lincoln,Mark F Gamba,2188,US House of Representatives,D,5
Marion,Mark F Gamba,6387,US House of Representatives,D,5
Multnomah,Mark F Gamba,425,US House of Representatives,D,5
Polk,Mark F Gamba,1786,US House of Representatives,D,5
Tillamook,Mark F Gamba,709,US House of Representatives,D,5
Total,Mark F Gamba,24327,US House of Representatives,D,5
Benton,Misc.,22,US House of Representatives,D,5
Clackamas,Misc.,293,US House of Representatives,D,5
Lincoln,Misc.,68,US House of Representatives,D,5
Marion,Misc.,313,US House of Representatives,D,5
Multnomah,Misc.,8,US House of Representatives,D,5
Polk,Misc.,94,US House of Representatives,D,5
Tillamook,Misc.,43,US House of Representatives,D,5
Total,Misc.,841,US House of Representatives,D,5
Baker,Joseph R Biden,834,President,D,
Benton,Joseph R Biden,10894,President,D,
Clackamas,Joseph R Biden,44956,President,D,
Clatsop,Joseph R Biden,4611,President,D,
Columbia,Joseph R Biden,5175,President,D,
Coos,Joseph R Biden,5339,President,D,
Crook,Joseph R Biden,1445,President,D,
Curry,Joseph R Biden,2264,President,D,
Deschutes,Joseph R Biden,20043,President,D,
Douglas,Joseph R Biden,6428,President,D,
Gilliam,Joseph R Biden,117,President,D,
Grant,Joseph R Biden,325,President,D,
Harney,Joseph R Biden,340,President,D,
