county,precinct,office,district,party,candidate,votes, , , , , , , ,, ,,,,,
Baker, Baker 3,U. S. House,2,,Total ," 1,004",,,,,,,,,,,,,,
Baker, Baker 4,U. S. House,2,,Total ," 1,131",,,,,,,,,,,,,,
Baker, Baker 5,U. S. House,2,,Total ," 1,238",,,,,,,,,,,,,,
Baker, Baker Country 13,U. S. House,2,,Total , 718,,,,,,,,,,,,,,
Baker, Durkee 14,U. S. House,2,,Total , 72,,,,,,,,,,,,,,
Baker, Eagle Valley 15,U. S. House,2,,Total , 420,,,,,,,,,,,,,,
Baker, Haines 17,U. S. House,2,,Total , 587,,,,,,,,,,,,,,
Baker, Hereford 18,U. S. House,2,,Total , 76,,,,,,,,,,,,,,
Baker, Huntington 19,U. S. House,2,,Total , 263,,,,,,,,,,,,,,
Baker, Irondyke 20,U. S. House,2,,Total , 58,,,,,,,,,,,,,,
Baker, Keating 21,U. S. House,2,,Total , 165,,,,,,,,,,,,,,
Baker, Pine Valley 22,U. S. House,2,,Total , 646,,,,,,,,,,,,,,
Baker, Poca-Wing 24,U. S. House,2,,Total , 803,,,,,,,,,,,,,,
Baker, Sumpter 25,U. S. House,2,,Total , 314,,,,,,,,,,,,,,
Baker, Unity 26,U. S. House,2,,Total , 94,,,,,,,,,,,,,,
Baker, Baker 1,State Treasurer,,We The People,Mary King, 55,,,,,,,,,,,,,,
Baker, Baker 2,State Treasurer,,We The People,Mary King, 67,,,,,,,,,,,,,,
Baker, Baker 3,State Treasurer,,We The People,Mary King, 63,,,,,,,,,,,,,,
Baker, Baker 4,State Treasurer,,We The People,Mary King, 64,,,,,,,,,,,,,,
Baker, Baker 5,State Treasurer,,We The People,Mary King, 60,,,,,,,,,,,,,,
Baker, Baker Country 13,State Treasurer,,We The People,Mary King, 19,,,,,,,,,,,,,,
Baker, Durkee 14,State Treasurer,,We The People,Mary King, 4,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Treasurer,,We The People,Mary King, 7,,,,,,,,,,,,,,
Baker, Haines 17,State Treasurer,,We The People,Mary King, 22,,,,,,,,,,,,,,
Baker, Hereford 18,State Treasurer,,We The People,Mary King, 1,,,,,,,,,,,,,,
Baker, Huntington 19,State Treasurer,,We The People,Mary King, 17,,,,,,,,,,,,,,
Baker, Irondyke 20,State Treasurer,,We The People,Mary King, 3,,,,,,,,,,,,,,
Baker, Keating 21,State Treasurer,,We The People,Mary King, 8,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Treasurer,,We The People,Mary King, 24,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Treasurer,,We The People,Mary King, 35,,,,,,,,,,,,,,
Baker, Sumpter 25,State Treasurer,,We The People,Mary King, 7,,,,,,,,,,,,,,
Baker, Unity 26,State Treasurer,,We The People,Mary King, 3,,,,,,,,,,,,,,
Baker, Baker 1,State Treasurer,,Republican,Brian J Boquist, 627,,,,,,,,,,,,,,
Baker, Baker 2,State Treasurer,,Republican,Brian J Boquist, 594,,,,,,,,,,,,,,
Baker, Baker 3,State Treasurer,,Republican,Brian J Boquist, 669,,,,,,,,,,,,,,
Baker, Baker 4,State Treasurer,,Republican,Brian J Boquist, 816,,,,,,,,,,,,,,
Baker, Baker 5,State Treasurer,,Republican,Brian J Boquist, 894,,,,,,,,,,,,,,
Baker, Baker Country 13,State Treasurer,,Republican,Brian J Boquist, 600,,,,,,,,,,,,,,
Baker, Durkee 14,State Treasurer,,Republican,Brian J Boquist, 59,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Treasurer,,Republican,Brian J Boquist, 356,,,,,,,,,,,,,,
Baker, Haines 17,State Treasurer,,Republican,Brian J Boquist, 490,,,,,,,,,,,,,,
Baker, Hereford 18,State Treasurer,,Republican,Brian J Boquist, 68,,,,,,,,,,,,,,
Baker, Huntington 19,State Treasurer,,Republican,Brian J Boquist, 204,,,,,,,,,,,,,,
Baker, Irondyke 20,State Treasurer,,Republican,Brian J Boquist, 41,,,,,,,,,,,,,,
Baker, Keating 21,State Treasurer,,Republican,Brian J Boquist, 141,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Treasurer,,Republican,Brian J Boquist, 448,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Treasurer,,Republican,Brian J Boquist, 595,,,,,,,,,,,,,,
Baker, Sumpter 25,State Treasurer,,Republican,Brian J Boquist, 246,,,,,,,,,,,,,,
Baker, Unity 26,State Treasurer,,Republican,Brian J Boquist, 75,,,,,,,,,,,,,,
Baker, Baker 1,State Treasurer,,Democrat,Elizabeth Steiner, 213,,,,,,,,,,,,,,
Baker, Baker 2,State Treasurer,,Democrat,Elizabeth Steiner, 256,,,,,,,,,,,,,,
Baker, Baker 3,State Treasurer,,Democrat,Elizabeth Steiner, 255,,,,,,,,,,,,,,
Baker, Baker 4,State Treasurer,,Democrat,Elizabeth Steiner, 246,,,,,,,,,,,,,,
Baker, Baker 5,State Treasurer,,Democrat,Elizabeth Steiner, 251,,,,,,,,,,,,,,
Baker, Baker Country 13,State Treasurer,,Democrat,Elizabeth Steiner, 90,,,,,,,,,,,,,,
Baker, Durkee 14,State Treasurer,,Democrat,Elizabeth Steiner, 5,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Treasurer,,Democrat,Elizabeth Steiner, 59,,,,,,,,,,,,,,
Baker, Haines 17,State Treasurer,,Democrat,Elizabeth Steiner, 74,,,,,,,,,,,,,,
Baker, Hereford 18,State Treasurer,,Democrat,Elizabeth Steiner, 6,,,,,,,,,,,,,,
Baker, Huntington 19,State Treasurer,,Democrat,Elizabeth Steiner, 48,,,,,,,,,,,,,,
Baker, Irondyke 20,State Treasurer,,Democrat,Elizabeth Steiner, 14,,,,,,,,,,,,,,
Baker, Keating 21,State Treasurer,,Democrat,Elizabeth Steiner, 17,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Treasurer,,Democrat,Elizabeth Steiner, 159,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Treasurer,,Democrat,Elizabeth Steiner, 169,,,,,,,,,,,,,,
Baker, Sumpter 25,State Treasurer,,Democrat,Elizabeth Steiner, 55,,,,,,,,,,,,,,
Baker, Unity 26,State Treasurer,,Democrat,Elizabeth Steiner, 15,,,,,,,,,,,,,,
Baker, Baker 1,State Treasurer,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 2,State Treasurer,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 3,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 4,State Treasurer,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker 5,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker Country 13,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Durkee 14,State Treasurer,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Haines 17,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Hereford 18,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Irondyke 20,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Sumpter 25,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Unity 26,State Treasurer,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 1,State Treasurer,,,Total , 897,,,,,,,,,,,,,,
Baker, Baker 2,State Treasurer,,,Total , 919,,,,,,,,,,,,,,
Baker, Baker 3,State Treasurer,,,Total , 987,,,,,,,,,,,,,,
Baker, Baker 4,State Treasurer,,,Total ," 1,127",,,,,,,,,,,,,,
Baker, Baker 5,State Treasurer,,,Total ," 1,205",,,,,,,,,,,,,,
Baker, Baker Country 13,State Treasurer,,,Total , 709,,,,,,,,,,,,,,
Baker, Durkee 14,State Treasurer,,,Total , 69,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Treasurer,,,Total , 422,,,,,,,,,,,,,,
Baker, Haines 17,State Treasurer,,,Total , 586,,,,,,,,,,,,,,
Baker, Hereford 18,State Treasurer,,,Total , 75,,,,,,,,,,,,,,
Baker, Huntington 19,State Treasurer,,,Total , 269,,,,,,,,,,,,,,
Baker, Irondyke 20,State Treasurer,,,Total , 58,,,,,,,,,,,,,,
Baker, Keating 21,State Treasurer,,,Total , 166,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Treasurer,,,Total , 631,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Treasurer,,,Total , 799,,,,,,,,,,,,,,
Baker, Sumpter 25,State Treasurer,,,Total , 308,,,,,,,,,,,,,,
Baker, Unity 26,State Treasurer,,,Total , 93,,,,,,,,,,,,,,
Baker, Baker 1,Attorney General,,Republican,Will Lathrop , 641,,,,,,,,,,,,,,
Baker, Baker 2,Attorney General,,Republican,Will Lathrop , 610,,,,,,,,,,,,,,
Baker, Baker 3,Attorney General,,Republican,Will Lathrop , 706,,,,,,,,,,,,,,
Baker, Baker 4,Attorney General,,Republican,Will Lathrop , 842,,,,,,,,,,,,,,
Baker, Baker 5,Attorney General,,Republican,Will Lathrop , 914,,,,,,,,,,,,,,
Baker, Baker Country 13,Attorney General,,Republican,Will Lathrop , 609,,,,,,,,,,,,,,
Baker, Durkee 14,Attorney General,,Republican,Will Lathrop , 64,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Attorney General,,Republican,Will Lathrop , 364,,,,,,,,,,,,,,
Baker, Haines 17,Attorney General,,Republican,Will Lathrop , 490,,,,,,,,,,,,,,
Baker, Hereford 18,Attorney General,,Republican,Will Lathrop , 72,,,,,,,,,,,,,,
Baker, Huntington 19,Attorney General,,Republican,Will Lathrop , 208,,,,,,,,,,,,,,
Baker, Irondyke 20,Attorney General,,Republican,Will Lathrop , 41,,,,,,,,,,,,,,
Baker, Keating 21,Attorney General,,Republican,Will Lathrop , 145,,,,,,,,,,,,,,
Baker, Pine Valley 22,Attorney General,,Republican,Will Lathrop , 462,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Attorney General,,Republican,Will Lathrop , 609,,,,,,,,,,,,,,
Baker, Sumpter 25,Attorney General,,Republican,Will Lathrop , 251,,,,,,,,,,,,,,
Baker, Unity 26,Attorney General,,Republican,Will Lathrop , 79,,,,,,,,,,,,,,
Baker, Baker 1,Attorney General,,Democrat,Dan Rayfield, 247,,,,,,,,,,,,,,
Baker, Baker 2,Attorney General,,Democrat,Dan Rayfield, 303,,,,,,,,,,,,,,
Baker, Baker 3,Attorney General,,Democrat,Dan Rayfield, 284,,,,,,,,,,,,,,
Baker, Baker 4,Attorney General,,Democrat,Dan Rayfield, 281,,,,,,,,,,,,,,
Baker, Baker 5,Attorney General,,Democrat,Dan Rayfield, 283,,,,,,,,,,,,,,
Baker, Baker Country 13,Attorney General,,Democrat,Dan Rayfield, 101,,,,,,,,,,,,,,
Baker, Durkee 14,Attorney General,,Democrat,Dan Rayfield, 5,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Attorney General,,Democrat,Dan Rayfield, 59,,,,,,,,,,,,,,
Baker, Haines 17,Attorney General,,Democrat,Dan Rayfield, 90,,,,,,,,,,,,,,
Baker, Hereford 18,Attorney General,,Democrat,Dan Rayfield, 3,,,,,,,,,,,,,,
Baker, Huntington 19,Attorney General,,Democrat,Dan Rayfield, 59,,,,,,,,,,,,,,
Baker, Irondyke 20,Attorney General,,Democrat,Dan Rayfield, 18,,,,,,,,,,,,,,
Baker, Keating 21,Attorney General,,Democrat,Dan Rayfield, 21,,,,,,,,,,,,,,
Baker, Pine Valley 22,Attorney General,,Democrat,Dan Rayfield, 172,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Attorney General,,Democrat,Dan Rayfield, 192,,,,,,,,,,,,,,
Baker, Sumpter 25,Attorney General,,Democrat,Dan Rayfield, 58,,,,,,,,,,,,,,
Baker, Unity 26,Attorney General,,Democrat,Dan Rayfield, 14,,,,,,,,,,,,,,
Baker, Baker 1,Attorney General,,,Write-In , 3,,,,,,,,,,,,,,
Baker, Baker 2,Attorney General,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 3,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 4,Attorney General,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker 5,Attorney General,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker Country 13,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Durkee 14,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Haines 17,Attorney General,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Hereford 18,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,Attorney General,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Irondyke 20,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Attorney General,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Sumpter 25,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Unity 26,Attorney General,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 1,Attorney General,,,Total , 891,,,,,,,,,,,,,,
Baker, Baker 2,Attorney General,,,Total , 915,,,,,,,,,,,,,,
Baker, Baker 3,Attorney General,,,Total , 990,,,,,,,,,,,,,,
Baker, Baker 4,Attorney General,,,Total ," 1,124",,,,,,,,,,,,,,
Baker, Baker 5,Attorney General,,,Total ," 1,198",,,,,,,,,,,,,,
Baker, Baker Country 13,Attorney General,,,Total , 710,,,,,,,,,,,,,,
Baker, Durkee 14,Attorney General,,,Total , 69,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Attorney General,,,Total , 423,,,,,,,,,,,,,,
Baker, Haines 17,Attorney General,,,Total , 582,,,,,,,,,,,,,,
Baker, Hereford 18,Attorney General,,,Total , 75,,,,,,,,,,,,,,
Baker, Huntington 19,Attorney General,,,Total , 268,,,,,,,,,,,,,,
Baker, Irondyke 20,Attorney General,,,Total , 59,,,,,,,,,,,,,,
Baker, Keating 21,Attorney General,,,Total , 166,,,,,,,,,,,,,,
Baker, Pine Valley 22,Attorney General,,,Total , 634,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Attorney General,,,Total , 802,,,,,,,,,,,,,,
Baker, Sumpter 25,Attorney General,,,Total , 309,,,,,,,,,,,,,,
Baker, Unity 26,Attorney General,,,Total , 93,,,,,,,,,,,,,,
Baker, Baker 1,State Senator,30,Republican,Mike McLane, 688,,,,,,,,,,,,,,
Baker, Baker 2,State Senator,30,Republican,Mike McLane, 708,,,,,,,,,,,,,,
Baker, Baker 3,State Senator,30,Republican,Mike McLane, 744,,,,,,,,,,,,,,
Baker, Baker 4,State Senator,30,Republican,Mike McLane, 885,,,,,,,,,,,,,,
Baker, Baker 5,State Senator,30,Republican,Mike McLane, 950,,,,,,,,,,,,,,
Baker, Baker Country 13,State Senator,30,Republican,Mike McLane, 553,,,,,,,,,,,,,,
Baker, Durkee 14,State Senator,30,Republican,Mike McLane, 62,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Senator,30,Republican,Mike McLane, 351,,,,,,,,,,,,,,
Baker, Haines 17,State Senator,30,Republican,Mike McLane, 452,,,,,,,,,,,,,,
Baker, Hereford 18,State Senator,30,Republican,Mike McLane, 61,,,,,,,,,,,,,,
Baker, Huntington 19,State Senator,30,Republican,Mike McLane, 226,,,,,,,,,,,,,,
Baker, Irondyke 20,State Senator,30,Republican,Mike McLane, 48,,,,,,,,,,,,,,
Baker, Keating 21,State Senator,30,Republican,Mike McLane, 127,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Senator,30,Republican,Mike McLane, 493,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Senator,30,Republican,Mike McLane, 587,,,,,,,,,,,,,,
Baker, Sumpter 25,State Senator,30,Republican,Mike McLane, 229,,,,,,,,,,,,,,
Baker, Unity 26,State Senator,30,Republican,Mike McLane, 75,,,,,,,,,,,,,,
Baker, Baker 1,State Senator,30,,Write-In , 9,,,,,,,,,,,,,,
Baker, Baker 2,State Senator,30,,Write-In , 14,,,,,,,,,,,,,,
Baker, Baker 3,State Senator,30,,Write-In , 6,,,,,,,,,,,,,,
Baker, Baker 4,State Senator,30,,Write-In , 12,,,,,,,,,,,,,,
Baker, Baker 5,State Senator,30,,Write-In , 7,,,,,,,,,,,,,,
Baker, Baker Country 13,State Senator,30,,Write-In , 0,,,,,,,,,,,,,,
Baker, Durkee 14,State Senator,30,,Write-In , 1,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Senator,30,,Write-In , 5,,,,,,,,,,,,,,
Baker, Haines 17,State Senator,30,,Write-In , 4,,,,,,,,,,,,,,
Baker, Hereford 18,State Senator,30,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,State Senator,30,,Write-In , 3,,,,,,,,,,,,,,
Baker, Irondyke 20,State Senator,30,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,State Senator,30,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Senator,30,,Write-In , 5,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Senator,30,,Write-In , 5,,,,,,,,,,,,,,
Baker, Sumpter 25,State Senator,30,,Write-In , 5,,,,,,,,,,,,,,
Baker, Unity 26,State Senator,30,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker 1,State Senator,30,,Total , 697,,,,,,,,,,,,,,
Baker, Baker 2,State Senator,30,,Total , 722,,,,,,,,,,,,,,
Baker, Baker 3,State Senator,30,,Total , 750,,,,,,,,,,,,,,
Baker, Baker 4,State Senator,30,,Total , 897,,,,,,,,,,,,,,
Baker, Baker 5,State Senator,30,,Total , 957,,,,,,,,,,,,,,
Baker, Baker Country 13,State Senator,30,,Total , 553,,,,,,,,,,,,,,
Baker, Durkee 14,State Senator,30,,Total , 63,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Senator,30,,Total , 356,,,,,,,,,,,,,,
Baker, Haines 17,State Senator,30,,Total , 456,,,,,,,,,,,,,,
Baker, Hereford 18,State Senator,30,,Total , 61,,,,,,,,,,,,,,
Baker, Huntington 19,State Senator,30,,Total , 229,,,,,,,,,,,,,,
Baker, Irondyke 20,State Senator,30,,Total , 48,,,,,,,,,,,,,,
Baker, Keating 21,State Senator,30,,Total , 127,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Senator,30,,Total , 498,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Senator,30,,Total , 592,,,,,,,,,,,,,,
Baker, Sumpter 25,State Senator,30,,Total , 234,,,,,,,,,,,,,,
Baker, Unity 26,State Senator,30,,Total , 76,,,,,,,,,,,,,,
Baker, Baker 1,State Representative,60,Republican,Mark Owens, 677,,,,,,,,,,,,,,
Baker, Baker 2,State Representative,60,Republican,Mark Owens, 706,,,,,,,,,,,,,,
Baker, Baker 3,State Representative,60,Republican,Mark Owens, 715,,,,,,,,,,,,,,
Baker, Baker 4,State Representative,60,Republican,Mark Owens, 870,,,,,,,,,,,,,,
Baker, Baker 5,State Representative,60,Republican,Mark Owens, 949,,,,,,,,,,,,,,
Baker, Baker Country 13,State Representative,60,Republican,Mark Owens, 564,,,,,,,,,,,,,,
Baker, Durkee 14,State Representative,60,Republican,Mark Owens, 63,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Representative,60,Republican,Mark Owens, 331,,,,,,,,,,,,,,
Baker, Haines 17,State Representative,60,Republican,Mark Owens, 456,,,,,,,,,,,,,,
Baker, Hereford 18,State Representative,60,Republican,Mark Owens, 63,,,,,,,,,,,,,,
Baker, Huntington 19,State Representative,60,Republican,Mark Owens, 215,,,,,,,,,,,,,,
Baker, Irondyke 20,State Representative,60,Republican,Mark Owens, 46,,,,,,,,,,,,,,
Baker, Keating 21,State Representative,60,Republican,Mark Owens, 127,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Representative,60,Republican,Mark Owens, 475,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Representative,60,Republican,Mark Owens, 615,,,,,,,,,,,,,,
Baker, Sumpter 25,State Representative,60,Republican,Mark Owens, 236,,,,,,,,,,,,,,
Baker, Unity 26,State Representative,60,Republican,Mark Owens, 78,,,,,,,,,,,,,,
Baker, Baker 1,State Representative,60,,Write-In , 8,,,,,,,,,,,,,,
Baker, Baker 2,State Representative,60,,Write-In , 12,,,,,,,,,,,,,,
Baker, Baker 3,State Representative,60,,Write-In , 6,,,,,,,,,,,,,,
Baker, Baker 4,State Representative,60,,Write-In , 11,,,,,,,,,,,,,,
Baker, Baker 5,State Representative,60,,Write-In , 7,,,,,,,,,,,,,,
Baker, Baker Country 13,State Representative,60,,Write-In , 4,,,,,,,,,,,,,,
Baker, Durkee 14,State Representative,60,,Write-In , 1,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Representative,60,,Write-In , 4,,,,,,,,,,,,,,
Baker, Haines 17,State Representative,60,,Write-In , 4,,,,,,,,,,,,,,
Baker, Hereford 18,State Representative,60,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,State Representative,60,,Write-In , 3,,,,,,,,,,,,,,
Baker, Irondyke 20,State Representative,60,,Write-In , 1,,,,,,,,,,,,,,
Baker, Keating 21,State Representative,60,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Representative,60,,Write-In , 9,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Representative,60,,Write-In , 4,,,,,,,,,,,,,,
Baker, Sumpter 25,State Representative,60,,Write-In , 7,,,,,,,,,,,,,,
Baker, Unity 26,State Representative,60,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 1,State Representative,60,,Total , 685,,,,,,,,,,,,,,
Baker, Baker 2,State Representative,60,,Total , 718,,,,,,,,,,,,,,
Baker, Baker 3,State Representative,60,,Total , 721,,,,,,,,,,,,,,
Baker, Baker 4,State Representative,60,,Total , 881,,,,,,,,,,,,,,
Baker, Baker 5,State Representative,60,,Total , 956,,,,,,,,,,,,,,
Baker, Baker Country 13,State Representative,60,,Total , 568,,,,,,,,,,,,,,
Baker, Durkee 14,State Representative,60,,Total , 64,,,,,,,,,,,,,,
Baker, Eagle Valley 15,State Representative,60,,Total , 335,,,,,,,,,,,,,,
Baker, Haines 17,State Representative,60,,Total , 460,,,,,,,,,,,,,,
Baker, Hereford 18,State Representative,60,,Total , 63,,,,,,,,,,,,,,
Baker, Huntington 19,State Representative,60,,Total , 218,,,,,,,,,,,,,,
Baker, Irondyke 20,State Representative,60,,Total , 47,,,,,,,,,,,,,,
Baker, Keating 21,State Representative,60,,Total , 127,,,,,,,,,,,,,,
Baker, Pine Valley 22,State Representative,60,,Total , 484,,,,,,,,,,,,,,
Baker, Poca-Wing 24,State Representative,60,,Total , 619,,,,,,,,,,,,,,
Baker, Sumpter 25,State Representative,60,,Total , 243,,,,,,,,,,,,,,
Baker, Unity 26,State Representative,60,,Total , 78,,,,,,,,,,,,,,
