county,candidate,party,office,district,votes,incumbent
Lane,"King,Al",DEM,"State House,44TH DISTRICT",44,12056,TRUE
Lane,Other,OTH,"State House,44TH DISTRICT",44,3,FALSE
Douglas,"Lee,Charles",DEM,"State House,45TH DISTRICT",45,7678,FALSE
Douglas,"Kruse,Jeff",REP,"State House,45TH DISTRICT",45,16639,TRUE
Douglas,Other,OTH,"State House,45TH DISTRICT",45,31,FALSE
Douglas,"Morgan,County Susan",REP,"State House,46TH DISTRICT",46,9062,TRUE
Douglas,"Calhoun,W. Earl",DEM,"State House,46TH DISTRICT",46,3082,FALSE
Douglas,Other,OTH,"State House,46TH DISTRICT",46,42,FALSE
Jackson,"Morgan,County Susan",REP,"State House,46TH DISTRICT",46,4087,TRUE
Jackson,"Calhoun,W. Earl",DEM,"State House,46TH DISTRICT",46,1826,FALSE
Jackson,Other,OTH,"State House,46TH DISTRICT",46,17,FALSE
Josephine,"Morgan,County Susan",REP,"State House,46TH DISTRICT",46,4321,TRUE
Josephine,"Calhoun,W. Earl",DEM,"State House,46TH DISTRICT",46,1662,FALSE
Josephine,Other,OTH,"State House,46TH DISTRICT",46,37,FALSE
Coos,"Alexander,Christina",PAC,"State House,47TH DISTRICT",47,3628,FALSE
Coos,"Verger,Joanne",DEM,"State House,47TH DISTRICT",47,8306,TRUE
Coos,Other,OTH,"State House,47TH DISTRICT",47,1680,FALSE
Douglas,"Alexander,Christina",PAC,"State House,47TH DISTRICT",47,393,FALSE
Douglas,"Verger,Joanne",DEM,"State House,47TH DISTRICT",47,1670,TRUE
Douglas,Other,OTH,"State House,47TH DISTRICT",47,145,FALSE
Lane,"Alexander,Christina",PAC,"State House,47TH DISTRICT",47,1415,FALSE
Lane,"Verger,Joanne",DEM,"State House,47TH DISTRICT",47,3798,TRUE
Lane,Other,OTH,"State House,47TH DISTRICT",47,25,FALSE
Coos,"Dodrill,Barbara",DEM,"State House,48TH DISTRICT",48,6917,FALSE
Coos,"Krieger,Wayne",REP,"State House,48TH DISTRICT",48,7464,TRUE
Coos,Other,OTH,"State House,48TH DISTRICT",48,61,FALSE
Curry,"Dodrill,Barbara",DEM,"State House,48TH DISTRICT",48,4421,FALSE
Curry,"Krieger,Wayne",REP,"State House,48TH DISTRICT",48,6808,TRUE
Curry,Other,OTH,"State House,48TH DISTRICT",48,39,FALSE
Josephine,"Wilson,Carl",REP,"State House,49TH DISTRICT",49,18173,TRUE
Josephine,"Toler,Dave",IND,"State House,49TH DISTRICT",49,7462,FALSE
Josephine,Other,OTH,"State House,49TH DISTRICT",49,95,FALSE
Jackson,"Davidson,Barbara",DEM,"State House,50TH DISTRICT",50,9324,FALSE
Jackson,"Patridge,Rob",REP,"State House,50TH DISTRICT",50,15378,TRUE
Jackson,Other,OTH,"State House,50TH DISTRICT",50,26,FALSE
Jackson,"Walker,Cherryl",REP,"State House,51ST DISTRICT",51,14132,TRUE
Jackson,"Holston,Lon",DEM,"State House,51ST DISTRICT",51,7269,FALSE
Jackson,Other,OTH,"State House,51ST DISTRICT",51,64,FALSE
Josephine,"Walker,Cherryl",REP,"State House,51ST DISTRICT",51,2060,TRUE
Josephine,"Holston,Lon",DEM,"State House,51ST DISTRICT",51,958,FALSE
Josephine,Other,OTH,"State House,51ST DISTRICT",51,19,FALSE
Jackson,"Bates,Alan C.",DEM,"State House,52ND DISTRICT",52,17032,TRUE
Jackson,"Hunts,Jane",REP,"State House,52ND DISTRICT",52,11216,FALSE
Jackson,Other,OTH,"State House,52ND DISTRICT",52,46,FALSE
Klamath,"Snoozy,Wayne P.",DEM,"State House,53RD DISTRICT",53,9333,FALSE
Klamath,"Garrard,Bill",REP,"State House,53RD DISTRICT",53,12143,TRUE
Klamath,Other,OTH,"State House,53RD DISTRICT",53,34,FALSE
Deschutes,"Cooper,Ken",DEM,"State House,54TH DISTRICT",54,12469,FALSE
Deschutes,"Knopp,Tim",REP,"State House,54TH DISTRICT",54,19762,TRUE
Deschutes,Other,OTH,"State House,54TH DISTRICT",54,61,FALSE
Klamath,"Cooper,Ken",DEM,"State House,54TH DISTRICT",54,574,FALSE
Klamath,"Knopp,Tim",REP,"State House,54TH DISTRICT",54,977,TRUE
Klamath,Other,OTH,"State House,54TH DISTRICT",54,2,FALSE
Deschutes,"Dunlap,Douglas",DEM,"State House,55TH DISTRICT",55,5567,FALSE
Deschutes,"Westlund,Ben",REP,"State House,55TH DISTRICT",55,16708,TRUE
Deschutes,Other,OTH,"State House,55TH DISTRICT",55,48,FALSE
Jefferson,"Dunlap,Douglas",DEM,"State House,55TH DISTRICT",55,1876,FALSE
Jefferson,"Westlund,Ben",REP,"State House,55TH DISTRICT",55,4774,TRUE
Jefferson,Other,OTH,"State House,55TH DISTRICT",55,20,FALSE
Wasco,"Dunlap,Douglas",DEM,"State House,55TH DISTRICT",55,443,FALSE
Wasco,"Westlund,Ben",REP,"State House,55TH DISTRICT",55,679,TRUE
Wasco,Other,OTH,"State House,55TH DISTRICT",55,1,FALSE
Clackamas,"Zastrow,County Paul",DEM,"State House,56TH DISTRICT",56,1582,FALSE
Clackamas,"Smith,Patti",REP,"State House,56TH DISTRICT",56,2123,TRUE
Clackamas,Other,OTH,"State House,56TH DISTRICT",56,0,FALSE
Hood River,"Zastrow,County Paul",DEM,"State House,56TH DISTRICT",56,3667,FALSE
Hood River,"Smith,Patti",REP,"State House,56TH DISTRICT",56,4592,TRUE
Hood River,Other,OTH,"State House,56TH DISTRICT",56,17,FALSE
Multnomah,"Zastrow,County Paul",DEM,"State House,56TH DISTRICT",56,1296,FALSE
Multnomah,"Smith,Patti",REP,"State House,56TH DISTRICT",56,2189,TRUE
Multnomah,Other,OTH,"State House,56TH DISTRICT",56,18,FALSE
Wasco,"Zastrow,County Paul",DEM,"State House,56TH DISTRICT",56,3736,FALSE
Wasco,"Smith,Patti",REP,"State House,56TH DISTRICT",56,4689,TRUE
Wasco,Other,OTH,"State House,56TH DISTRICT",56,4,FALSE
Morrow,"Jenson,Bob",REP,"State House,57TH DISTRICT",57,1472,TRUE
Morrow,Other,OTH,"State House,57TH DISTRICT",57,33,FALSE
Umatilla,"Jenson,Bob",REP,"State House,57TH DISTRICT",57,13062,TRUE
Umatilla,Other,OTH,"State House,57TH DISTRICT",57,6,FALSE
Umatilla,"Campbell,Bruce C.",DEM,"State House,58TH DISTRICT",58,2088,FALSE
Umatilla,"Simmons,Mark",REP,"State House,58TH DISTRICT",58,3866,TRUE
Umatilla,Other,OTH,"State House,58TH DISTRICT",58,0,FALSE
Union,"Campbell,Bruce C.",DEM,"State House,58TH DISTRICT",58,2815,FALSE
Union,"Simmons,Mark",REP,"State House,58TH DISTRICT",58,8368,TRUE
Union,Other,OTH,"State House,58TH DISTRICT",58,35,FALSE
Wallowa,"Campbell,Bruce C.",DEM,"State House,58TH DISTRICT",58,716,FALSE
Wallowa,"Simmons,Mark",REP,"State House,58TH DISTRICT",58,3338,TRUE
Wallowa,Other,OTH,"State House,58TH DISTRICT",58,2,FALSE
Baker,"Smith,Greg",REP,"State House,59TH DISTRICT",59,2477,TRUE
Baker,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,5511,FALSE
Baker,Other,OTH,"State House,59TH DISTRICT",59,7,FALSE
Crook,"Smith,Greg",REP,"State House,59TH DISTRICT",59,2719,TRUE
Crook,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,5159,FALSE
Crook,Other,OTH,"State House,59TH DISTRICT",59,7,FALSE
Gilliam,"Smith,Greg",REP,"State House,59TH DISTRICT",59,350,TRUE
Gilliam,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,715,FALSE
Gilliam,Other,OTH,"State House,59TH DISTRICT",59,1,FALSE
Grant,"Smith,Greg",REP,"State House,59TH DISTRICT",59,839,TRUE
Grant,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,2897,FALSE
Grant,Other,OTH,"State House,59TH DISTRICT",59,12,FALSE
Morrow,"Smith,Greg",REP,"State House,59TH DISTRICT",59,533,TRUE
Morrow,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,1127,FALSE
Morrow,Other,OTH,"State House,59TH DISTRICT",59,2,FALSE
Sherman,"Smith,Greg",REP,"State House,59TH DISTRICT",59,318,TRUE
Sherman,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,711,FALSE
Sherman,Other,OTH,"State House,59TH DISTRICT",59,2,FALSE
Wasco,"Smith,Greg",REP,"State House,59TH DISTRICT",59,218,TRUE
Wasco,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,570,FALSE
Wasco,Other,OTH,"State House,59TH DISTRICT",59,1,FALSE
Wheeler,"Smith,Greg",REP,"State House,59TH DISTRICT",59,222,TRUE
Wheeler,"Harrington,Linda",DEM,"State House,59TH DISTRICT",59,593,FALSE
Wheeler,Other,OTH,"State House,59TH DISTRICT",59,3,FALSE
Harney,"Butler,R. Thomas (Tom)",REP,"State House,60TH DISTRICT",60,2941,TRUE
Harney,Other,OTH,"State House,60TH DISTRICT",60,41,FALSE
Klamath,"Butler,R. Thomas (Tom)",REP,"State House,60TH DISTRICT",60,2914,TRUE
Klamath,Other,OTH,"State House,60TH DISTRICT",60,87,FALSE
Lake,"Butler,R. Thomas (Tom)",REP,"State House,60TH DISTRICT",60,2883,TRUE
Lake,Other,OTH,"State House,60TH DISTRICT",60,35,FALSE
Malheur,"Butler,R. Thomas (Tom)",REP,"State House,60TH DISTRICT",60,8585,TRUE
Malheur,Other,OTH,"State House,60TH DISTRICT",60,173,FALSE
