county,precinct,office,district,party,candidate,votes,,,,
Linn,67,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,68,U.S. House,4,DEM,Matthew L Robinson,4,,,,
Linn,70,U.S. House,4,DEM,Matthew L Robinson,19,,,,
Linn,71,U.S. House,4,DEM,Matthew L Robinson,3,,,,
Linn,73,U.S. House,4,DEM,Matthew L Robinson,15,,,,
Linn,74,U.S. House,4,DEM,Matthew L Robinson,18,,,,
Linn,75,U.S. House,4,DEM,Matthew L Robinson,20,,,,
Linn,76,U.S. House,4,DEM,Matthew L Robinson,12,,,,
Linn,77,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,78,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,79,U.S. House,4,DEM,Matthew L Robinson,25,,,,
Linn,80,U.S. House,4,DEM,Matthew L Robinson,24,,,,
Linn,82,U.S. House,4,DEM,Matthew L Robinson,10,,,,
Linn,83,U.S. House,4,DEM,Matthew L Robinson,0,,,,
Linn,84,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,86,U.S. House,4,DEM,Matthew L Robinson,19,,,,
Linn,87,U.S. House,4,DEM,Matthew L Robinson,4,,,,
Linn,88,U.S. House,4,DEM,Matthew L Robinson,12,,,,
Linn,89,U.S. House,4,DEM,Matthew L Robinson,16,,,,
Linn,91,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,92,U.S. House,4,DEM,Matthew L Robinson,27,,,,
Linn,93,U.S. House,4,DEM,Matthew L Robinson,29,,,,
Linn,94,U.S. House,4,DEM,Matthew L Robinson,16,,,,
Linn,95,U.S. House,4,DEM,Matthew L Robinson,28,,,,
Linn,96,U.S. House,4,DEM,Matthew L Robinson,15,,,,
Linn,97,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,99,U.S. House,4,DEM,Matthew L Robinson,6,,,,
Linn,100,U.S. House,4,DEM,Matthew L Robinson,30,,,,
Linn,101,U.S. House,4,DEM,Matthew L Robinson,11,,,,
Linn,102,U.S. House,4,DEM,Matthew L Robinson,38,,,,
Linn,103,U.S. House,4,DEM,Matthew L Robinson,18,,,,
Linn,104,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,105,U.S. House,4,DEM,Matthew L Robinson,15,,,,
Linn,106,U.S. House,4,DEM,Matthew L Robinson,17,,,,
Linn,107,U.S. House,4,DEM,Matthew L Robinson,20,,,,
Linn,108,U.S. House,4,DEM,Matthew L Robinson,41,,,,
Linn,1,U.S. House,4,DEM,Write-ins,0,,,,
Linn,3,U.S. House,4,DEM,Write-ins,0,,,,
Linn,5,U.S. House,4,DEM,Write-ins,0,,,,
Linn,8,U.S. House,4,DEM,Write-ins,0,,,,
Linn,11,U.S. House,4,DEM,Write-ins,0,,,,
Linn,14,U.S. House,4,DEM,Write-ins,0,,,,
Linn,15,U.S. House,4,DEM,Write-ins,0,,,,
Linn,16,U.S. House,4,DEM,Write-ins,0,,,,
Linn,18,U.S. House,4,DEM,Write-ins,0,,,,
Linn,19,U.S. House,4,DEM,Write-ins,0,,,,
Linn,20,U.S. House,4,DEM,Write-ins,1,,,,
Linn,21,U.S. House,4,DEM,Write-ins,0,,,,
Linn,22,U.S. House,4,DEM,Write-ins,0,,,,
Linn,23,U.S. House,4,DEM,Write-ins,1,,,,
Linn,25,U.S. House,4,DEM,Write-ins,0,,,,
Linn,26,U.S. House,4,DEM,Write-ins,0,,,,
Linn,27,U.S. House,4,DEM,Write-ins,0,,,,
Linn,28,U.S. House,4,DEM,Write-ins,0,,,,
Linn,29,U.S. House,4,DEM,Write-ins,0,,,,
Linn,30,U.S. House,4,DEM,Write-ins,0,,,,
Linn,31,U.S. House,4,DEM,Write-ins,0,,,,
Linn,32,U.S. House,4,DEM,Write-ins,0,,,,
Linn,33,U.S. House,4,DEM,Write-ins,0,,,,
Linn,34,U.S. House,4,DEM,Write-ins,0,,,,
Linn,35,U.S. House,4,DEM,Write-ins,1,,,,
Linn,36,U.S. House,4,DEM,Write-ins,0,,,,
Linn,37,U.S. House,4,DEM,Write-ins,0,,,,
Linn,38,U.S. House,4,DEM,Write-ins,0,,,,
Linn,39,U.S. House,4,DEM,Write-ins,0,,,,
Linn,41,U.S. House,4,DEM,Write-ins,0,,,,
Linn,42,U.S. House,4,DEM,Write-ins,0,,,,
Linn,43,U.S. House,4,DEM,Write-ins,0,,,,
Linn,44,U.S. House,4,DEM,Write-ins,0,,,,
Linn,45,U.S. House,4,DEM,Write-ins,0,,,,
Linn,46,U.S. House,4,DEM,Write-ins,1,,,,
Linn,47,U.S. House,4,DEM,Write-ins,0,,,,
Linn,48,U.S. House,4,DEM,Write-ins,0,,,,
Linn,49,U.S. House,4,DEM,Write-ins,0,,,,
Linn,50,U.S. House,4,DEM,Write-ins,0,,,,
Linn,51,U.S. House,4,DEM,Write-ins,0,,,,
Linn,52,U.S. House,4,DEM,Write-ins,0,,,,
Linn,53,U.S. House,4,DEM,Write-ins,2,,,,
Linn,54,U.S. House,4,DEM,Write-ins,0,,,,
Linn,55,U.S. House,4,DEM,Write-ins,0,,,,
Linn,56,U.S. House,4,DEM,Write-ins,1,,,,
Linn,57,U.S. House,4,DEM,Write-ins,0,,,,
Linn,58,U.S. House,4,DEM,Write-ins,0,,,,
Linn,59,U.S. House,4,DEM,Write-ins,2,,,,
Linn,60,U.S. House,4,DEM,Write-ins,1,,,,
Linn,61,U.S. House,4,DEM,Write-ins,1,,,,
Linn,62,U.S. House,4,DEM,Write-ins,0,,,,
Linn,63,U.S. House,4,DEM,Write-ins,0,,,,
Linn,65,U.S. House,4,DEM,Write-ins,0,,,,
Linn,66,U.S. House,4,DEM,Write-ins,0,,,,
Linn,67,U.S. House,4,DEM,Write-ins,0,,,,
Linn,68,U.S. House,4,DEM,Write-ins,0,,,,
Linn,70,U.S. House,4,DEM,Write-ins,0,,,,
Linn,71,U.S. House,4,DEM,Write-ins,0,,,,
Linn,73,U.S. House,4,DEM,Write-ins,1,,,,
Linn,74,U.S. House,4,DEM,Write-ins,1,,,,
Linn,75,U.S. House,4,DEM,Write-ins,1,,,,
Linn,76,U.S. House,4,DEM,Write-ins,0,,,,
Linn,77,U.S. House,4,DEM,Write-ins,0,,,,
Linn,78,U.S. House,4,DEM,Write-ins,0,,,,
Linn,79,U.S. House,4,DEM,Write-ins,1,,,,
Linn,80,U.S. House,4,DEM,Write-ins,0,,,,
Linn,82,U.S. House,4,DEM,Write-ins,0,,,,
Linn,83,U.S. House,4,DEM,Write-ins,0,,,,
Linn,84,U.S. House,4,DEM,Write-ins,0,,,,
Linn,86,U.S. House,4,DEM,Write-ins,0,,,,
Linn,87,U.S. House,4,DEM,Write-ins,0,,,,
Linn,88,U.S. House,4,DEM,Write-ins,0,,,,
Linn,89,U.S. House,4,DEM,Write-ins,1,,,,
Linn,91,U.S. House,4,DEM,Write-ins,0,,,,
Linn,92,U.S. House,4,DEM,Write-ins,3,,,,
Linn,93,U.S. House,4,DEM,Write-ins,0,,,,
Linn,94,U.S. House,4,DEM,Write-ins,0,,,,
Linn,95,U.S. House,4,DEM,Write-ins,0,,,,
Linn,96,U.S. House,4,DEM,Write-ins,0,,,,
Linn,97,U.S. House,4,DEM,Write-ins,0,,,,
Linn,99,U.S. House,4,DEM,Write-ins,0,,,,
Linn,100,U.S. House,4,DEM,Write-ins,1,,,,
Linn,101,U.S. House,4,DEM,Write-ins,0,,,,
Linn,102,U.S. House,4,DEM,Write-ins,1,,,,
Linn,103,U.S. House,4,DEM,Write-ins,0,,,,
Linn,104,U.S. House,4,DEM,Write-ins,0,,,,
Linn,105,U.S. House,4,DEM,Write-ins,1,,,,
Linn,106,U.S. House,4,DEM,Write-ins,0,,,,
Linn,107,U.S. House,4,DEM,Write-ins,0,,,,
Linn,108,U.S. House,4,DEM,Write-ins,0,,,,
Linn,1,U.S. House,4,DEM,Over Votes,0,,,,
Linn,3,U.S. House,4,DEM,Over Votes,0,,,,
Linn,5,U.S. House,4,DEM,Over Votes,0,,,,
Linn,8,U.S. House,4,DEM,Over Votes,0,,,,
Linn,11,U.S. House,4,DEM,Over Votes,0,,,,
Linn,14,U.S. House,4,DEM,Over Votes,0,,,,
Linn,15,U.S. House,4,DEM,Over Votes,0,,,,
Linn,16,U.S. House,4,DEM,Over Votes,0,,,,
Linn,18,U.S. House,4,DEM,Over Votes,0,,,,
Linn,19,U.S. House,4,DEM,Over Votes,0,,,,
Linn,20,U.S. House,4,DEM,Over Votes,0,,,,
Linn,21,U.S. House,4,DEM,Over Votes,0,,,,
Linn,22,U.S. House,4,DEM,Over Votes,0,,,,
Linn,23,U.S. House,4,DEM,Over Votes,0,,,,
Linn,25,U.S. House,4,DEM,Over Votes,0,,,,
Linn,26,U.S. House,4,DEM,Over Votes,0,,,,
Linn,27,U.S. House,4,DEM,Over Votes,0,,,,
Linn,28,U.S. House,4,DEM,Over Votes,0,,,,
Linn,29,U.S. House,4,DEM,Over Votes,0,,,,
Linn,30,U.S. House,4,DEM,Over Votes,0,,,,
Linn,31,U.S. House,4,DEM,Over Votes,0,,,,
Linn,32,U.S. House,4,DEM,Over Votes,0,,,,
Linn,33,U.S. House,4,DEM,Over Votes,0,,,,
Linn,34,U.S. House,4,DEM,Over Votes,0,,,,
Linn,35,U.S. House,4,DEM,Over Votes,0,,,,
Linn,36,U.S. House,4,DEM,Over Votes,0,,,,
Linn,37,U.S. House,4,DEM,Over Votes,0,,,,
Linn,38,U.S. House,4,DEM,Over Votes,0,,,,
Linn,39,U.S. House,4,DEM,Over Votes,1,,,,
Linn,41,U.S. House,4,DEM,Over Votes,0,,,,
Linn,42,U.S. House,4,DEM,Over Votes,0,,,,
Linn,43,U.S. House,4,DEM,Over Votes,0,,,,
Linn,44,U.S. House,4,DEM,Over Votes,0,,,,
Linn,45,U.S. House,4,DEM,Over Votes,0,,,,
Linn,46,U.S. House,4,DEM,Over Votes,0,,,,
Linn,47,U.S. House,4,DEM,Over Votes,0,,,,
Linn,48,U.S. House,4,DEM,Over Votes,0,,,,
Linn,49,U.S. House,4,DEM,Over Votes,0,,,,
Linn,50,U.S. House,4,DEM,Over Votes,0,,,,
Linn,51,U.S. House,4,DEM,Over Votes,0,,,,
Linn,52,U.S. House,4,DEM,Over Votes,0,,,,
Linn,53,U.S. House,4,DEM,Over Votes,0,,,,
Linn,54,U.S. House,4,DEM,Over Votes,0,,,,
Linn,55,U.S. House,4,DEM,Over Votes,0,,,,
Linn,56,U.S. House,4,DEM,Over Votes,0,,,,
Linn,57,U.S. House,4,DEM,Over Votes,0,,,,
Linn,58,U.S. House,4,DEM,Over Votes,0,,,,
Linn,59,U.S. House,4,DEM,Over Votes,0,,,,
Linn,60,U.S. House,4,DEM,Over Votes,0,,,,
Linn,61,U.S. House,4,DEM,Over Votes,0,,,,
Linn,62,U.S. House,4,DEM,Over Votes,0,,,,
Linn,63,U.S. House,4,DEM,Over Votes,0,,,,
Linn,65,U.S. House,4,DEM,Over Votes,0,,,,
Linn,66,U.S. House,4,DEM,Over Votes,0,,,,
Linn,67,U.S. House,4,DEM,Over Votes,0,,,,
Linn,68,U.S. House,4,DEM,Over Votes,1,,,,
Linn,70,U.S. House,4,DEM,Over Votes,0,,,,
Linn,71,U.S. House,4,DEM,Over Votes,0,,,,
Linn,73,U.S. House,4,DEM,Over Votes,0,,,,
Linn,74,U.S. House,4,DEM,Over Votes,0,,,,
Linn,75,U.S. House,4,DEM,Over Votes,0,,,,
Linn,76,U.S. House,4,DEM,Over Votes,0,,,,
Linn,77,U.S. House,4,DEM,Over Votes,0,,,,
Linn,78,U.S. House,4,DEM,Over Votes,0,,,,
Linn,79,U.S. House,4,DEM,Over Votes,0,,,,
Linn,80,U.S. House,4,DEM,Over Votes,0,,,,
Linn,82,U.S. House,4,DEM,Over Votes,0,,,,
Linn,83,U.S. House,4,DEM,Over Votes,0,,,,
Linn,84,U.S. House,4,DEM,Over Votes,0,,,,
Linn,86,U.S. House,4,DEM,Over Votes,0,,,,
Linn,87,U.S. House,4,DEM,Over Votes,0,,,,
Linn,88,U.S. House,4,DEM,Over Votes,0,,,,
Linn,89,U.S. House,4,DEM,Over Votes,0,,,,
Linn,91,U.S. House,4,DEM,Over Votes,0,,,,
Linn,92,U.S. House,4,DEM,Over Votes,0,,,,
Linn,93,U.S. House,4,DEM,Over Votes,0,,,,
Linn,94,U.S. House,4,DEM,Over Votes,0,,,,
Linn,95,U.S. House,4,DEM,Over Votes,0,,,,
Linn,96,U.S. House,4,DEM,Over Votes,0,,,,
Linn,97,U.S. House,4,DEM,Over Votes,0,,,,
Linn,99,U.S. House,4,DEM,Over Votes,0,,,,
Linn,100,U.S. House,4,DEM,Over Votes,0,,,,
Linn,101,U.S. House,4,DEM,Over Votes,0,,,,
Linn,102,U.S. House,4,DEM,Over Votes,0,,,,
Linn,103,U.S. House,4,DEM,Over Votes,0,,,,
Linn,104,U.S. House,4,DEM,Over Votes,0,,,,
Linn,105,U.S. House,4,DEM,Over Votes,0,,,,
Linn,106,U.S. House,4,DEM,Over Votes,0,,,,
Linn,107,U.S. House,4,DEM,Over Votes,0,,,,
Linn,108,U.S. House,4,DEM,Over Votes,0,,,,
Linn,1,U.S. House,4,DEM,Under Votes,1,,,,
Linn,3,U.S. House,4,DEM,Under Votes,3,,,,
Linn,5,U.S. House,4,DEM,Under Votes,3,,,,
Linn,8,U.S. House,4,DEM,Under Votes,2,,,,
Linn,11,U.S. House,4,DEM,Under Votes,5,,,,
Linn,14,U.S. House,4,DEM,Under Votes,5,,,,
Linn,15,U.S. House,4,DEM,Under Votes,1,,,,
Linn,16,U.S. House,4,DEM,Under Votes,5,,,,
Linn,18,U.S. House,4,DEM,Under Votes,9,,,,
Linn,19,U.S. House,4,DEM,Under Votes,1,,,,
Linn,20,U.S. House,4,DEM,Under Votes,1,,,,
Linn,21,U.S. House,4,DEM,Under Votes,1,,,,
Linn,22,U.S. House,4,DEM,Under Votes,0,,,,
Linn,23,U.S. House,4,DEM,Under Votes,1,,,,
Linn,25,U.S. House,4,DEM,Under Votes,9,,,,
Linn,26,U.S. House,4,DEM,Under Votes,0,,,,
Linn,27,U.S. House,4,DEM,Under Votes,0,,,,
Linn,28,U.S. House,4,DEM,Under Votes,0,,,,
Linn,29,U.S. House,4,DEM,Under Votes,1,,,,
Linn,30,U.S. House,4,DEM,Under Votes,0,,,,
Linn,31,U.S. House,4,DEM,Under Votes,3,,,,
Linn,32,U.S. House,4,DEM,Under Votes,4,,,,
Linn,33,U.S. House,4,DEM,Under Votes,0,,,,
Linn,34,U.S. House,4,DEM,Under Votes,0,,,,
Linn,35,U.S. House,4,DEM,Under Votes,1,,,,
Linn,36,U.S. House,4,DEM,Under Votes,3,,,,
Linn,37,U.S. House,4,DEM,Under Votes,0,,,,
Linn,38,U.S. House,4,DEM,Under Votes,3,,,,
Linn,39,U.S. House,4,DEM,Under Votes,3,,,,
Linn,41,U.S. House,4,DEM,Under Votes,0,,,,
Linn,42,U.S. House,4,DEM,Under Votes,15,,,,
Linn,43,U.S. House,4,DEM,Under Votes,7,,,,
Linn,44,U.S. House,4,DEM,Under Votes,1,,,,
Linn,45,U.S. House,4,DEM,Under Votes,1,,,,
Linn,46,U.S. House,4,DEM,Under Votes,5,,,,
Linn,47,U.S. House,4,DEM,Under Votes,0,,,,
Linn,48,U.S. House,4,DEM,Under Votes,4,,,,
Linn,49,U.S. House,4,DEM,Under Votes,0,,,,
Linn,50,U.S. House,4,DEM,Under Votes,2,,,,
Linn,51,U.S. House,4,DEM,Under Votes,0,,,,
Linn,52,U.S. House,4,DEM,Under Votes,2,,,,
Linn,53,U.S. House,4,DEM,Under Votes,2,,,,
Linn,54,U.S. House,4,DEM,Under Votes,3,,,,
Linn,55,U.S. House,4,DEM,Under Votes,0,,,,
Linn,56,U.S. House,4,DEM,Under Votes,4,,,,
Linn,57,U.S. House,4,DEM,Under Votes,0,,,,
Linn,58,U.S. House,4,DEM,Under Votes,2,,,,
Linn,59,U.S. House,4,DEM,Under Votes,4,,,,
Linn,60,U.S. House,4,DEM,Under Votes,1,,,,
Linn,61,U.S. House,4,DEM,Under Votes,4,,,,
Linn,62,U.S. House,4,DEM,Under Votes,7,,,,
Linn,63,U.S. House,4,DEM,Under Votes,3,,,,
Linn,65,U.S. House,4,DEM,Under Votes,0,,,,
Linn,66,U.S. House,4,DEM,Under Votes,1,,,,
Linn,67,U.S. House,4,DEM,Under Votes,2,,,,
Linn,68,U.S. House,4,DEM,Under Votes,0,,,,
Linn,70,U.S. House,4,DEM,Under Votes,2,,,,
Linn,71,U.S. House,4,DEM,Under Votes,0,,,,
Linn,73,U.S. House,4,DEM,Under Votes,2,,,,
Linn,74,U.S. House,4,DEM,Under Votes,3,,,,
Linn,75,U.S. House,4,DEM,Under Votes,5,,,,
Linn,76,U.S. House,4,DEM,Under Votes,3,,,,
Linn,77,U.S. House,4,DEM,Under Votes,5,,,,
Linn,78,U.S. House,4,DEM,Under Votes,1,,,,
Linn,79,U.S. House,4,DEM,Under Votes,5,,,,
Linn,80,U.S. House,4,DEM,Under Votes,9,,,,
Linn,82,U.S. House,4,DEM,Under Votes,3,,,,
Linn,83,U.S. House,4,DEM,Under Votes,0,,,,
Linn,84,U.S. House,4,DEM,Under Votes,5,,,,
Linn,86,U.S. House,4,DEM,Under Votes,6,,,,
Linn,87,U.S. House,4,DEM,Under Votes,0,,,,
Linn,88,U.S. House,4,DEM,Under Votes,3,,,,
Linn,89,U.S. House,4,DEM,Under Votes,5,,,,
Linn,91,U.S. House,4,DEM,Under Votes,3,,,,
Linn,92,U.S. House,4,DEM,Under Votes,10,,,,
Linn,93,U.S. House,4,DEM,Under Votes,14,,,,
Linn,94,U.S. House,4,DEM,Under Votes,0,,,,
Linn,95,U.S. House,4,DEM,Under Votes,5,,,,
Linn,96,U.S. House,4,DEM,Under Votes,7,,,,
Linn,97,U.S. House,4,DEM,Under Votes,1,,,,
Linn,99,U.S. House,4,DEM,Under Votes,2,,,,
Linn,100,U.S. House,4,DEM,Under Votes,9,,,,
Linn,101,U.S. House,4,DEM,Under Votes,6,,,,
Linn,102,U.S. House,4,DEM,Under Votes,7,,,,
Linn,103,U.S. House,4,DEM,Under Votes,8,,,,
Linn,104,U.S. House,4,DEM,Under Votes,4,,,,
Linn,105,U.S. House,4,DEM,Under Votes,5,,,,
Linn,106,U.S. House,4,DEM,Under Votes,3,,,,
Linn,107,U.S. House,4,DEM,Under Votes,4,,,,
Linn,108,U.S. House,4,DEM,Under Votes,5,,,,
Linn,1,Secretary of State,,DEM,Kate Brown,89,,,,
Linn,3,Secretary of State,,DEM,Kate Brown,90,,,,
Linn,5,Secretary of State,,DEM,Kate Brown,86,,,,
Linn,8,Secretary of State,,DEM,Kate Brown,63,,,,
Linn,11,Secretary of State,,DEM,Kate Brown,60,,,,
Linn,14,Secretary of State,,DEM,Kate Brown,73,,,,
Linn,15,Secretary of State,,DEM,Kate Brown,24,,,,
Linn,16,Secretary of State,,DEM,Kate Brown,93,,,,
Linn,18,Secretary of State,,DEM,Kate Brown,235,,,,
Linn,19,Secretary of State,,DEM,Kate Brown,90,,,,
Linn,20,Secretary of State,,DEM,Kate Brown,46,,,,
Linn,21,Secretary of State,,DEM,Kate Brown,24,,,,
Linn,22,Secretary of State,,DEM,Kate Brown,8,,,,
Linn,23,Secretary of State,,DEM,Kate Brown,74,,,,
Linn,25,Secretary of State,,DEM,Kate Brown,69,,,,
Linn,26,Secretary of State,,DEM,Kate Brown,21,,,,
Linn,27,Secretary of State,,DEM,Kate Brown,45,,,,
Linn,28,Secretary of State,,DEM,Kate Brown,7,,,,
Linn,29,Secretary of State,,DEM,Kate Brown,111,,,,
Linn,30,Secretary of State,,DEM,Kate Brown,12,,,,
Linn,31,Secretary of State,,DEM,Kate Brown,38,,,,
Linn,32,Secretary of State,,DEM,Kate Brown,53,,,,
Linn,33,Secretary of State,,DEM,Kate Brown,5,,,,
Linn,34,Secretary of State,,DEM,Kate Brown,17,,,,
Linn,35,Secretary of State,,DEM,Kate Brown,120,,,,
Linn,36,Secretary of State,,DEM,Kate Brown,96,,,,
Linn,37,Secretary of State,,DEM,Kate Brown,81,,,,
Linn,38,Secretary of State,,DEM,Kate Brown,55,,,,
Linn,39,Secretary of State,,DEM,Kate Brown,56,,,,
Linn,41,Secretary of State,,DEM,Kate Brown,48,,,,
Linn,42,Secretary of State,,DEM,Kate Brown,65,,,,
Linn,43,Secretary of State,,DEM,Kate Brown,63,,,,
Linn,44,Secretary of State,,DEM,Kate Brown,117,,,,
Linn,45,Secretary of State,,DEM,Kate Brown,45,,,,
Linn,46,Secretary of State,,DEM,Kate Brown,87,,,,
Linn,47,Secretary of State,,DEM,Kate Brown,45,,,,
Linn,48,Secretary of State,,DEM,Kate Brown,133,,,,
Linn,49,Secretary of State,,DEM,Kate Brown,0,,,,
Linn,50,Secretary of State,,DEM,Kate Brown,36,,,,
Linn,51,Secretary of State,,DEM,Kate Brown,10,,,,
Linn,52,Secretary of State,,DEM,Kate Brown,35,,,,
Linn,53,Secretary of State,,DEM,Kate Brown,56,,,,
Linn,54,Secretary of State,,DEM,Kate Brown,24,,,,
Linn,55,Secretary of State,,DEM,Kate Brown,41,,,,
Linn,56,Secretary of State,,DEM,Kate Brown,59,,,,
Linn,57,Secretary of State,,DEM,Kate Brown,2,,,,
Linn,58,Secretary of State,,DEM,Kate Brown,8,,,,
Linn,59,Secretary of State,,DEM,Kate Brown,47,,,,
Linn,60,Secretary of State,,DEM,Kate Brown,54,,,,
Linn,61,Secretary of State,,DEM,Kate Brown,38,,,,
Linn,62,Secretary of State,,DEM,Kate Brown,81,,,,
Linn,63,Secretary of State,,DEM,Kate Brown,106,,,,
Linn,65,Secretary of State,,DEM,Kate Brown,2,,,,
Linn,66,Secretary of State,,DEM,Kate Brown,24,,,,
Linn,67,Secretary of State,,DEM,Kate Brown,45,,,,
Linn,68,Secretary of State,,DEM,Kate Brown,12,,,,
Linn,70,Secretary of State,,DEM,Kate Brown,52,,,,
Linn,71,Secretary of State,,DEM,Kate Brown,3,,,,
Linn,73,Secretary of State,,DEM,Kate Brown,74,,,,
Linn,74,Secretary of State,,DEM,Kate Brown,58,,,,
Linn,75,Secretary of State,,DEM,Kate Brown,89,,,,
Linn,76,Secretary of State,,DEM,Kate Brown,66,,,,
Linn,77,Secretary of State,,DEM,Kate Brown,38,,,,
Linn,78,Secretary of State,,DEM,Kate Brown,71,,,,
Linn,79,Secretary of State,,DEM,Kate Brown,116,,,,
Linn,80,Secretary of State,,DEM,Kate Brown,107,,,,
Linn,82,Secretary of State,,DEM,Kate Brown,36,,,,
Linn,83,Secretary of State,,DEM,Kate Brown,2,,,,
Linn,84,Secretary of State,,DEM,Kate Brown,61,,,,
Linn,86,Secretary of State,,DEM,Kate Brown,91,,,,
Linn,87,Secretary of State,,DEM,Kate Brown,41,,,,
Linn,88,Secretary of State,,DEM,Kate Brown,62,,,,
Linn,89,Secretary of State,,DEM,Kate Brown,74,,,,
Linn,91,Secretary of State,,DEM,Kate Brown,69,,,,
Linn,92,Secretary of State,,DEM,Kate Brown,162,,,,
Linn,93,Secretary of State,,DEM,Kate Brown,106,,,,
Linn,94,Secretary of State,,DEM,Kate Brown,62,,,,
Linn,95,Secretary of State,,DEM,Kate Brown,78,,,,
Linn,96,Secretary of State,,DEM,Kate Brown,143,,,,
Linn,97,Secretary of State,,DEM,Kate Brown,58,,,,
Linn,99,Secretary of State,,DEM,Kate Brown,32,,,,
Linn,100,Secretary of State,,DEM,Kate Brown,145,,,,
Linn,101,Secretary of State,,DEM,Kate Brown,54,,,,
Linn,102,Secretary of State,,DEM,Kate Brown,133,,,,
Linn,103,Secretary of State,,DEM,Kate Brown,35,,,,
Linn,104,Secretary of State,,DEM,Kate Brown,59,,,,
Linn,105,Secretary of State,,DEM,Kate Brown,51,,,,
Linn,106,Secretary of State,,DEM,Kate Brown,55,,,,
Linn,107,Secretary of State,,DEM,Kate Brown,126,,,,
Linn,108,Secretary of State,,DEM,Kate Brown,160,,,,
Linn,1,Secretary of State,,DEM,Paul Damian Wells,8,,,,
Linn,3,Secretary of State,,DEM,Paul Damian Wells,4,,,,
Linn,5,Secretary of State,,DEM,Paul Damian Wells,11,,,,
Linn,8,Secretary of State,,DEM,Paul Damian Wells,12,,,,
Linn,11,Secretary of State,,DEM,Paul Damian Wells,7,,,,
Linn,14,Secretary of State,,DEM,Paul Damian Wells,13,,,,
Linn,15,Secretary of State,,DEM,Paul Damian Wells,2,,,,
Linn,16,Secretary of State,,DEM,Paul Damian Wells,6,,,,
Linn,18,Secretary of State,,DEM,Paul Damian Wells,25,,,,
Linn,19,Secretary of State,,DEM,Paul Damian Wells,12,,,,
Linn,20,Secretary of State,,DEM,Paul Damian Wells,7,,,,
Linn,21,Secretary of State,,DEM,Paul Damian Wells,8,,,,
Linn,22,Secretary of State,,DEM,Paul Damian Wells,0,,,,
Linn,23,Secretary of State,,DEM,Paul Damian Wells,8,,,,
Linn,25,Secretary of State,,DEM,Paul Damian Wells,12,,,,
Linn,26,Secretary of State,,DEM,Paul Damian Wells,3,,,,
Linn,27,Secretary of State,,DEM,Paul Damian Wells,9,,,,
Linn,28,Secretary of State,,DEM,Paul Damian Wells,0,,,,
Linn,29,Secretary of State,,DEM,Paul Damian Wells,17,,,,
Linn,30,Secretary of State,,DEM,Paul Damian Wells,2,,,,
Linn,31,Secretary of State,,DEM,Paul Damian Wells,6,,,,
Linn,32,Secretary of State,,DEM,Paul Damian Wells,10,,,,
Linn,33,Secretary of State,,DEM,Paul Damian Wells,2,,,,
Linn,34,Secretary of State,,DEM,Paul Damian Wells,5,,,,
Linn,35,Secretary of State,,DEM,Paul Damian Wells,20,,,,
Linn,36,Secretary of State,,DEM,Paul Damian Wells,12,,,,
Linn,37,Secretary of State,,DEM,Paul Damian Wells,10,,,,
Linn,38,Secretary of State,,DEM,Paul Damian Wells,15,,,,
Linn,39,Secretary of State,,DEM,Paul Damian Wells,14,,,,
Linn,41,Secretary of State,,DEM,Paul Damian Wells,9,,,,
Linn,42,Secretary of State,,DEM,Paul Damian Wells,13,,,,
Linn,43,Secretary of State,,DEM,Paul Damian Wells,11,,,,
Linn,44,Secretary of State,,DEM,Paul Damian Wells,4,,,,
Linn,45,Secretary of State,,DEM,Paul Damian Wells,12,,,,
Linn,46,Secretary of State,,DEM,Paul Damian Wells,15,,,,
Linn,47,Secretary of State,,DEM,Paul Damian Wells,3,,,,
Linn,48,Secretary of State,,DEM,Paul Damian Wells,24,,,,
Linn,49,Secretary of State,,DEM,Paul Damian Wells,0,,,,
Linn,50,Secretary of State,,DEM,Paul Damian Wells,7,,,,
Linn,51,Secretary of State,,DEM,Paul Damian Wells,4,,,,
Linn,52,Secretary of State,,DEM,Paul Damian Wells,5,,,,
Linn,53,Secretary of State,,DEM,Paul Damian Wells,14,,,,
Linn,54,Secretary of State,,DEM,Paul Damian Wells,6,,,,
Linn,55,Secretary of State,,DEM,Paul Damian Wells,6,,,,
Linn,56,Secretary of State,,DEM,Paul Damian Wells,6,,,,
Linn,57,Secretary of State,,DEM,Paul Damian Wells,0,,,,
Linn,58,Secretary of State,,DEM,Paul Damian Wells,1,,,,
Linn,59,Secretary of State,,DEM,Paul Damian Wells,7,,,,
Linn,60,Secretary of State,,DEM,Paul Damian Wells,17,,,,
Linn,61,Secretary of State,,DEM,Paul Damian Wells,2,,,,
Linn,62,Secretary of State,,DEM,Paul Damian Wells,17,,,,
Linn,63,Secretary of State,,DEM,Paul Damian Wells,21,,,,
Linn,65,Secretary of State,,DEM,Paul Damian Wells,0,,,,
Linn,66,Secretary of State,,DEM,Paul Damian Wells,7,,,,
