county,office,district,party,candidate,precinct,votes
Sherman,Secretary of State,,R,Knute Buehler,Grass Valley #4,44
Sherman,Secretary of State,,R,Knute Buehler,Kent #5,20
Sherman,Secretary of State,,R,Write-ins,Rufus #1,0
Sherman,Secretary of State,,R,Write-ins,Wasco #2,2
Sherman,Secretary of State,,R,Write-ins,Moro #3,0
Sherman,Secretary of State,,R,Write-ins,Grass Valley #4,1
Sherman,Secretary of State,,R,Write-ins,Kent #5,1
Sherman,Secretary of State,,R,Over Votes,Rufus #1,0
Sherman,Secretary of State,,R,Over Votes,Wasco #2,0
Sherman,Secretary of State,,R,Over Votes,Moro #3,0
Sherman,Secretary of State,,R,Over Votes,Grass Valley #4,0
Sherman,Secretary of State,,R,Over Votes,Kent #5,0
Sherman,Secretary of State,,R,Under Votes,Rufus #1,17
Sherman,Secretary of State,,R,Under Votes,Wasco #2,38
Sherman,Secretary of State,,R,Under Votes,Moro #3,38
Sherman,Secretary of State,,R,Under Votes,Grass Valley #4,30
Sherman,Secretary of State,,R,Under Votes,Kent #5,19
Sherman,State Treasurer,,R,Ted Wheeler,Rufus #1,1
Sherman,State Treasurer,,R,Ted Wheeler,Wasco #2,2
Sherman,State Treasurer,,R,Ted Wheeler,Moro #3,0
Sherman,State Treasurer,,R,Ted Wheeler,Grass Valley #4,1
Sherman,State Treasurer,,R,Ted Wheeler,Kent #5,1
Sherman,State Treasurer,,R,Tom Cox,Rufus #1,0
Sherman,State Treasurer,,R,Tom Cox,Wasco #2,4
Sherman,State Treasurer,,R,Tom Cox,Moro #3,3
Sherman,State Treasurer,,R,Tom Cox,Grass Valley #4,7
Sherman,State Treasurer,,R,Tom Cox,Kent #5,3
Sherman,State Treasurer,,R,Richard T. Stephens,Rufus #1,0
Sherman,State Treasurer,,R,Richard T. Stephens,Wasco #2,0
Sherman,State Treasurer,,R,Richard T. Stephens,Moro #3,0
Sherman,State Treasurer,,R,Richard T. Stephens,Grass Valley #4,0
Sherman,State Treasurer,,R,Richard T. Stephens,Kent #5,1
