county,precinct,office,district,party,candidate,votes,percent
Benton,PRECINCT 16,U.S. House,4,DEM,Total,231,
Benton,PRECINCT 16,U.S. House,4,DEM,Under-Votes,28,10.81%
Benton,PRECINCT 16,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. House,4,DEM,Total Votes Cast,259,
Benton,PRECINCT 17,U.S. House,4,DEM,PETER A. DEFAZIO,65,85.53%
Benton,PRECINCT 17,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 17,U.S. House,4,DEM,Total,65,
Benton,PRECINCT 17,U.S. House,4,DEM,Under-Votes,11,14.47%
Benton,PRECINCT 17,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. House,4,DEM,Total Votes Cast,76,
Benton,PRECINCT 18,U.S. House,4,DEM,PETER A. DEFAZIO,8,80.00%
Benton,PRECINCT 18,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 18,U.S. House,4,DEM,Total,8,
Benton,PRECINCT 18,U.S. House,4,DEM,Under-Votes,2,20.00%
Benton,PRECINCT 18,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. House,4,DEM,Total Votes Cast,10,
Benton,PRECINCT 19,U.S. House,4,DEM,PETER A. DEFAZIO,309,90.62%
Benton,PRECINCT 19,U.S. House,4,DEM,Write-Ins,2,0.59%
Benton,PRECINCT 19,U.S. House,4,DEM,Total,311,
Benton,PRECINCT 19,U.S. House,4,DEM,Under-Votes,30,8.80%
Benton,PRECINCT 19,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 19,U.S. House,4,DEM,Total Votes Cast,341,
Benton,PRECINCT 20,U.S. House,4,DEM,PETER A. DEFAZIO,232,92.06%
Benton,PRECINCT 20,U.S. House,4,DEM,Write-Ins,2,0.79%
Benton,PRECINCT 20,U.S. House,4,DEM,Total,234,
Benton,PRECINCT 20,U.S. House,4,DEM,Under-Votes,18,7.14%
Benton,PRECINCT 20,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 20,U.S. House,4,DEM,Total Votes Cast,252,
Benton,PRECINCT 01,U.S. House,4,REP,LIZ VANLEEUWEN,6,75.00%
Benton,PRECINCT 01,U.S. House,4,REP,Write-Ins,0,0.00%
Benton,PRECINCT 01,U.S. House,4,REP,Total,6,
Benton,PRECINCT 01,U.S. House,4,REP,Under-Votes,2,25.00%
Benton,PRECINCT 01,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 01,U.S. House,4,REP,Total Votes Cast,8,
Benton,PRECINCT 03,U.S. House,4,REP,LIZ VANLEEUWEN,205,73.74%
Benton,PRECINCT 03,U.S. House,4,REP,Write-Ins,6,2.16%
Benton,PRECINCT 03,U.S. House,4,REP,Total,211,
Benton,PRECINCT 03,U.S. House,4,REP,Under-Votes,67,24.10%
Benton,PRECINCT 03,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. House,4,REP,Total Votes Cast,278,
Benton,PRECINCT 04,U.S. House,4,REP,LIZ VANLEEUWEN,27,77.14%
Benton,PRECINCT 04,U.S. House,4,REP,Write-Ins,0,0.00%
Benton,PRECINCT 04,U.S. House,4,REP,Total,27,
Benton,PRECINCT 04,U.S. House,4,REP,Under-Votes,8,22.86%
Benton,PRECINCT 04,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. House,4,REP,Total Votes Cast,35,
Benton,PRECINCT 05,U.S. House,4,REP,LIZ VANLEEUWEN,135,77.14%
Benton,PRECINCT 05,U.S. House,4,REP,Write-Ins,3,1.71%
Benton,PRECINCT 05,U.S. House,4,REP,Total,138,
Benton,PRECINCT 05,U.S. House,4,REP,Under-Votes,37,21.14%
Benton,PRECINCT 05,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. House,4,REP,Total Votes Cast,175,
Benton,PRECINCT 06,U.S. House,4,REP,LIZ VANLEEUWEN,397,80.04%
Benton,PRECINCT 06,U.S. House,4,REP,Write-Ins,5,1.01%
Benton,PRECINCT 06,U.S. House,4,REP,Total,402,
Benton,PRECINCT 06,U.S. House,4,REP,Under-Votes,94,18.95%
Benton,PRECINCT 06,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 06,U.S. House,4,REP,Total Votes Cast,496,
Benton,PRECINCT 07,U.S. House,4,REP,LIZ VANLEEUWEN,418,78.72%
Benton,PRECINCT 07,U.S. House,4,REP,Write-Ins,5,0.94%
Benton,PRECINCT 07,U.S. House,4,REP,Total,423,
Benton,PRECINCT 07,U.S. House,4,REP,Under-Votes,108,20.34%
Benton,PRECINCT 07,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. House,4,REP,Total Votes Cast,531,
Benton,PRECINCT 08,U.S. House,4,REP,LIZ VANLEEUWEN,569,76.38%
Benton,PRECINCT 08,U.S. House,4,REP,Write-Ins,3,0.40%
Benton,PRECINCT 08,U.S. House,4,REP,Total,572,
Benton,PRECINCT 08,U.S. House,4,REP,Under-Votes,173,23.22%
Benton,PRECINCT 08,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 08,U.S. House,4,REP,Total Votes Cast,745,
Benton,PRECINCT 09,U.S. House,4,REP,LIZ VANLEEUWEN,456,80.00%
Benton,PRECINCT 09,U.S. House,4,REP,Write-Ins,7,1.23%
Benton,PRECINCT 09,U.S. House,4,REP,Total,463,
Benton,PRECINCT 09,U.S. House,4,REP,Under-Votes,107,18.77%
Benton,PRECINCT 09,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 09,U.S. House,4,REP,Total Votes Cast,570,
Benton,PRECINCT 10,U.S. House,4,REP,LIZ VANLEEUWEN,264,78.11%
Benton,PRECINCT 10,U.S. House,4,REP,Write-Ins,1,0.30%
Benton,PRECINCT 10,U.S. House,4,REP,Total,265,
Benton,PRECINCT 10,U.S. House,4,REP,Under-Votes,72,21.30%
Benton,PRECINCT 10,U.S. House,4,REP,Over-Votes,1,0.30%
Benton,PRECINCT 10,U.S. House,4,REP,Total Votes Cast,338,
Benton,PRECINCT 11,U.S. House,4,REP,LIZ VANLEEUWEN,199,80.24%
Benton,PRECINCT 11,U.S. House,4,REP,Write-Ins,2,0.81%
Benton,PRECINCT 11,U.S. House,4,REP,Total,201,
Benton,PRECINCT 11,U.S. House,4,REP,Under-Votes,47,18.95%
Benton,PRECINCT 11,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. House,4,REP,Total Votes Cast,248,
Benton,PRECINCT 13,U.S. House,4,REP,LIZ VANLEEUWEN,35,76.09%
Benton,PRECINCT 13,U.S. House,4,REP,Write-Ins,2,4.35%
Benton,PRECINCT 13,U.S. House,4,REP,Total,37,
Benton,PRECINCT 13,U.S. House,4,REP,Under-Votes,9,19.57%
Benton,PRECINCT 13,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 13,U.S. House,4,REP,Total Votes Cast,46,
Benton,PRECINCT 14,U.S. House,4,REP,LIZ VANLEEUWEN,74,72.55%
Benton,PRECINCT 14,U.S. House,4,REP,Write-Ins,0,0.00%
Benton,PRECINCT 14,U.S. House,4,REP,Total,74,
Benton,PRECINCT 14,U.S. House,4,REP,Under-Votes,28,27.45%
Benton,PRECINCT 14,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 14,U.S. House,4,REP,Total Votes Cast,102,
Benton,PRECINCT 15,U.S. House,4,REP,LIZ VANLEEUWEN,375,78.29%
Benton,PRECINCT 15,U.S. House,4,REP,Write-Ins,3,0.63%
Benton,PRECINCT 15,U.S. House,4,REP,Total,378,
Benton,PRECINCT 15,U.S. House,4,REP,Under-Votes,101,21.09%
Benton,PRECINCT 15,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. House,4,REP,Total Votes Cast,479,
Benton,PRECINCT 16,U.S. House,4,REP,LIZ VANLEEUWEN,189,80.43%
Benton,PRECINCT 16,U.S. House,4,REP,Write-Ins,5,2.13%
Benton,PRECINCT 16,U.S. House,4,REP,Total,194,
Benton,PRECINCT 16,U.S. House,4,REP,Under-Votes,41,17.45%
Benton,PRECINCT 16,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. House,4,REP,Total Votes Cast,235,
Benton,PRECINCT 17,U.S. House,4,REP,LIZ VANLEEUWEN,69,83.13%
Benton,PRECINCT 17,U.S. House,4,REP,Write-Ins,0,0.00%
Benton,PRECINCT 17,U.S. House,4,REP,Total,69,
Benton,PRECINCT 17,U.S. House,4,REP,Under-Votes,14,16.87%
Benton,PRECINCT 17,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. House,4,REP,Total Votes Cast,83,
Benton,PRECINCT 18,U.S. House,4,REP,LIZ VANLEEUWEN,4,100.00%
Benton,PRECINCT 18,U.S. House,4,REP,Write-Ins,0,0.00%
Benton,PRECINCT 18,U.S. House,4,REP,Total,4,
Benton,PRECINCT 18,U.S. House,4,REP,Under-Votes,0,0.00%
Benton,PRECINCT 18,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. House,4,REP,Total Votes Cast,4,
Benton,PRECINCT 19,U.S. House,4,REP,LIZ VANLEEUWEN,281,79.38%
Benton,PRECINCT 19,U.S. House,4,REP,Write-Ins,3,0.85%
Benton,PRECINCT 19,U.S. House,4,REP,Total,284,
Benton,PRECINCT 19,U.S. House,4,REP,Under-Votes,70,19.77%
Benton,PRECINCT 19,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 19,U.S. House,4,REP,Total Votes Cast,354,
Benton,PRECINCT 20,U.S. House,4,REP,LIZ VANLEEUWEN,208,82.21%
Benton,PRECINCT 20,U.S. House,4,REP,Write-Ins,3,1.19%
Benton,PRECINCT 20,U.S. House,4,REP,Total,211,
Benton,PRECINCT 20,U.S. House,4,REP,Under-Votes,42,16.60%
Benton,PRECINCT 20,U.S. House,4,REP,Over-Votes,0,0.00%
Benton,PRECINCT 20,U.S. House,4,REP,Total Votes Cast,253,
Benton,PRECINCT 01,U.S. House,5,DEM,DARLENE HOOLEY,585,84.78%
Benton,PRECINCT 01,U.S. House,5,DEM,Write-Ins,9,1.30%
Benton,PRECINCT 01,U.S. House,5,DEM,Total,594,
Benton,PRECINCT 01,U.S. House,5,DEM,Under-Votes,96,13.91%
Benton,PRECINCT 01,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 01,U.S. House,5,DEM,Total Votes Cast,690,
Benton,PRECINCT 02,U.S. House,5,DEM,DARLENE HOOLEY,178,82.79%
Benton,PRECINCT 02,U.S. House,5,DEM,Write-Ins,2,0.93%
Benton,PRECINCT 02,U.S. House,5,DEM,Total,180,
Benton,PRECINCT 02,U.S. House,5,DEM,Under-Votes,35,16.28%
Benton,PRECINCT 02,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 02,U.S. House,5,DEM,Total Votes Cast,215,
Benton,PRECINCT 03,U.S. House,5,DEM,DARLENE HOOLEY,78,87.64%
Benton,PRECINCT 03,U.S. House,5,DEM,Write-Ins,1,1.12%
Benton,PRECINCT 03,U.S. House,5,DEM,Total,79,
Benton,PRECINCT 03,U.S. House,5,DEM,Under-Votes,10,11.24%
Benton,PRECINCT 03,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. House,5,DEM,Total Votes Cast,89,
Benton,PRECINCT 04,U.S. House,5,DEM,DARLENE HOOLEY,243,85.26%
Benton,PRECINCT 04,U.S. House,5,DEM,Write-Ins,2,0.70%
Benton,PRECINCT 04,U.S. House,5,DEM,Total,245,
Benton,PRECINCT 04,U.S. House,5,DEM,Under-Votes,40,14.04%
Benton,PRECINCT 04,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. House,5,DEM,Total Votes Cast,285,
Benton,PRECINCT 05,U.S. House,5,DEM,DARLENE HOOLEY,43,82.69%
Benton,PRECINCT 05,U.S. House,5,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 05,U.S. House,5,DEM,Total,43,
Benton,PRECINCT 05,U.S. House,5,DEM,Under-Votes,9,17.31%
Benton,PRECINCT 05,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. House,5,DEM,Total Votes Cast,52,
Benton,PRECINCT 07,U.S. House,5,DEM,DARLENE HOOLEY,69,86.25%
Benton,PRECINCT 07,U.S. House,5,DEM,Write-Ins,2,2.50%
Benton,PRECINCT 07,U.S. House,5,DEM,Total,71,
Benton,PRECINCT 07,U.S. House,5,DEM,Under-Votes,9,11.25%
Benton,PRECINCT 07,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. House,5,DEM,Total Votes Cast,80,
Benton,PRECINCT 10,U.S. House,5,DEM,DARLENE HOOLEY,11,78.57%
Benton,PRECINCT 10,U.S. House,5,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 10,U.S. House,5,DEM,Total,11,
Benton,PRECINCT 10,U.S. House,5,DEM,Under-Votes,3,21.43%
Benton,PRECINCT 10,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. House,5,DEM,Total Votes Cast,14,
Benton,PRECINCT 11,U.S. House,5,DEM,DARLENE HOOLEY,328,75.23%
Benton,PRECINCT 11,U.S. House,5,DEM,Write-Ins,9,2.06%
Benton,PRECINCT 11,U.S. House,5,DEM,Total,337,
Benton,PRECINCT 11,U.S. House,5,DEM,Under-Votes,99,22.71%
Benton,PRECINCT 11,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. House,5,DEM,Total Votes Cast,436,
Benton,PRECINCT 12,U.S. House,5,DEM,DARLENE HOOLEY,12,60.00%
Benton,PRECINCT 12,U.S. House,5,DEM,Write-Ins,2,10.00%
Benton,PRECINCT 12,U.S. House,5,DEM,Total,14,
Benton,PRECINCT 12,U.S. House,5,DEM,Under-Votes,6,30.00%
Benton,PRECINCT 12,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 12,U.S. House,5,DEM,Total Votes Cast,20,
Benton,PRECINCT 15,U.S. House,5,DEM,DARLENE HOOLEY,3,100.00%
Benton,PRECINCT 15,U.S. House,5,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 15,U.S. House,5,DEM,Total,3,
Benton,PRECINCT 15,U.S. House,5,DEM,Under-Votes,0,0.00%
Benton,PRECINCT 15,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. House,5,DEM,Total Votes Cast,3,
Benton,PRECINCT 16,U.S. House,5,DEM,DARLENE HOOLEY,170,86.73%
Benton,PRECINCT 16,U.S. House,5,DEM,Write-Ins,4,2.04%
Benton,PRECINCT 16,U.S. House,5,DEM,Total,174,
Benton,PRECINCT 16,U.S. House,5,DEM,Under-Votes,22,11.22%
Benton,PRECINCT 16,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. House,5,DEM,Total Votes Cast,196,
Benton,PRECINCT 17,U.S. House,5,DEM,DARLENE HOOLEY,478,81.85%
Benton,PRECINCT 17,U.S. House,5,DEM,Write-Ins,4,0.68%
Benton,PRECINCT 17,U.S. House,5,DEM,Total,482,
Benton,PRECINCT 17,U.S. House,5,DEM,Under-Votes,102,17.47%
Benton,PRECINCT 17,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. House,5,DEM,Total Votes Cast,584,
Benton,PRECINCT 18,U.S. House,5,DEM,DARLENE HOOLEY,168,76.71%
Benton,PRECINCT 18,U.S. House,5,DEM,Write-Ins,6,2.74%
Benton,PRECINCT 18,U.S. House,5,DEM,Total,174,
Benton,PRECINCT 18,U.S. House,5,DEM,Under-Votes,45,20.55%
Benton,PRECINCT 18,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. House,5,DEM,Total Votes Cast,219,
Benton,PRECINCT 19,U.S. House,5,DEM,DARLENE HOOLEY,63,79.75%
Benton,PRECINCT 19,U.S. House,5,DEM,Write-Ins,1,1.27%
Benton,PRECINCT 19,U.S. House,5,DEM,Total,64,
Benton,PRECINCT 19,U.S. House,5,DEM,Under-Votes,15,18.99%
Benton,PRECINCT 19,U.S. House,5,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 19,U.S. House,5,DEM,Total Votes Cast,79,
Benton,PRECINCT 01,U.S. House,5,REP,BRIAN J. BOQUIST,353,56.94%
Benton,PRECINCT 01,U.S. House,5,REP,CRAIG L. SCHELSKE,140,22.58%
Benton,PRECINCT 01,U.S. House,5,REP,Write-Ins,2,0.32%
Benton,PRECINCT 01,U.S. House,5,REP,Total,495,
Benton,PRECINCT 01,U.S. House,5,REP,Under-Votes,123,19.84%
Benton,PRECINCT 01,U.S. House,5,REP,Over-Votes,2,0.32%
Benton,PRECINCT 01,U.S. House,5,REP,Total Votes Cast,620,
Benton,PRECINCT 02,U.S. House,5,REP,BRIAN J. BOQUIST,68,60.18%
Benton,PRECINCT 02,U.S. House,5,REP,CRAIG L. SCHELSKE,18,15.93%
Benton,PRECINCT 02,U.S. House,5,REP,Write-Ins,2,1.77%
Benton,PRECINCT 02,U.S. House,5,REP,Total,88,
Benton,PRECINCT 02,U.S. House,5,REP,Under-Votes,25,22.12%
Benton,PRECINCT 02,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 02,U.S. House,5,REP,Total Votes Cast,113,
Benton,PRECINCT 03,U.S. House,5,REP,BRIAN J. BOQUIST,27,64.29%
Benton,PRECINCT 03,U.S. House,5,REP,CRAIG L. SCHELSKE,7,16.67%
Benton,PRECINCT 03,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 03,U.S. House,5,REP,Total,34,
Benton,PRECINCT 03,U.S. House,5,REP,Under-Votes,8,19.05%
Benton,PRECINCT 03,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. House,5,REP,Total Votes Cast,42,
Benton,PRECINCT 04,U.S. House,5,REP,BRIAN J. BOQUIST,72,47.68%
Benton,PRECINCT 04,U.S. House,5,REP,CRAIG L. SCHELSKE,36,23.84%
Benton,PRECINCT 04,U.S. House,5,REP,Write-Ins,1,0.66%
Benton,PRECINCT 04,U.S. House,5,REP,Total,109,
Benton,PRECINCT 04,U.S. House,5,REP,Under-Votes,42,27.81%
Benton,PRECINCT 04,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. House,5,REP,Total Votes Cast,151,
Benton,PRECINCT 05,U.S. House,5,REP,BRIAN J. BOQUIST,16,64.00%
Benton,PRECINCT 05,U.S. House,5,REP,CRAIG L. SCHELSKE,4,16.00%
Benton,PRECINCT 05,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 05,U.S. House,5,REP,Total,20,
Benton,PRECINCT 05,U.S. House,5,REP,Under-Votes,5,20.00%
Benton,PRECINCT 05,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. House,5,REP,Total Votes Cast,25,
Benton,PRECINCT 07,U.S. House,5,REP,BRIAN J. BOQUIST,35,50.72%
Benton,PRECINCT 07,U.S. House,5,REP,CRAIG L. SCHELSKE,18,26.09%
Benton,PRECINCT 07,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 07,U.S. House,5,REP,Total,53,
Benton,PRECINCT 07,U.S. House,5,REP,Under-Votes,16,23.19%
Benton,PRECINCT 07,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. House,5,REP,Total Votes Cast,69,
Benton,PRECINCT 10,U.S. House,5,REP,BRIAN J. BOQUIST,7,53.85%
Benton,PRECINCT 10,U.S. House,5,REP,CRAIG L. SCHELSKE,2,15.38%
Benton,PRECINCT 10,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 10,U.S. House,5,REP,Total,9,
Benton,PRECINCT 10,U.S. House,5,REP,Under-Votes,4,30.77%
Benton,PRECINCT 10,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. House,5,REP,Total Votes Cast,13,
Benton,PRECINCT 11,U.S. House,5,REP,BRIAN J. BOQUIST,361,51.94%
Benton,PRECINCT 11,U.S. House,5,REP,CRAIG L. SCHELSKE,170,24.46%
Benton,PRECINCT 11,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 11,U.S. House,5,REP,Total,531,
Benton,PRECINCT 11,U.S. House,5,REP,Under-Votes,164,23.60%
Benton,PRECINCT 11,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. House,5,REP,Total Votes Cast,695,
Benton,PRECINCT 12,U.S. House,5,REP,BRIAN J. BOQUIST,37,61.67%
Benton,PRECINCT 12,U.S. House,5,REP,CRAIG L. SCHELSKE,16,26.67%
Benton,PRECINCT 12,U.S. House,5,REP,Write-Ins,1,1.67%
Benton,PRECINCT 12,U.S. House,5,REP,Total,54,
Benton,PRECINCT 12,U.S. House,5,REP,Under-Votes,6,10.00%
Benton,PRECINCT 12,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 12,U.S. House,5,REP,Total Votes Cast,60,
Benton,PRECINCT 15,U.S. House,5,REP,BRIAN J. BOQUIST,4,44.44%
Benton,PRECINCT 15,U.S. House,5,REP,CRAIG L. SCHELSKE,2,22.22%
Benton,PRECINCT 15,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 15,U.S. House,5,REP,Total,6,
Benton,PRECINCT 15,U.S. House,5,REP,Under-Votes,3,33.33%
Benton,PRECINCT 15,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. House,5,REP,Total Votes Cast,9,
Benton,PRECINCT 16,U.S. House,5,REP,BRIAN J. BOQUIST,103,55.68%
Benton,PRECINCT 16,U.S. House,5,REP,CRAIG L. SCHELSKE,42,22.70%
Benton,PRECINCT 16,U.S. House,5,REP,Write-Ins,3,1.62%
Benton,PRECINCT 16,U.S. House,5,REP,Total,148,
Benton,PRECINCT 16,U.S. House,5,REP,Under-Votes,37,20.00%
Benton,PRECINCT 16,U.S. House,5,REP,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. House,5,REP,Total Votes Cast,185,
Benton,PRECINCT 17,U.S. House,5,REP,BRIAN J. BOQUIST,235,50.21%
Benton,PRECINCT 17,U.S. House,5,REP,CRAIG L. SCHELSKE,117,25.00%
Benton,PRECINCT 17,U.S. House,5,REP,Write-Ins,4,0.85%
Benton,PRECINCT 17,U.S. House,5,REP,Total,356,
Benton,PRECINCT 17,U.S. House,5,REP,Under-Votes,111,23.72%
Benton,PRECINCT 17,U.S. House,5,REP,Over-Votes,1,0.21%
Benton,PRECINCT 17,U.S. House,5,REP,Total Votes Cast,468,
Benton,PRECINCT 18,U.S. House,5,REP,BRIAN J. BOQUIST,180,54.05%
Benton,PRECINCT 18,U.S. House,5,REP,CRAIG L. SCHELSKE,81,24.32%
Benton,PRECINCT 18,U.S. House,5,REP,Write-Ins,2,0.60%
Benton,PRECINCT 18,U.S. House,5,REP,Total,263,
Benton,PRECINCT 18,U.S. House,5,REP,Under-Votes,69,20.72%
Benton,PRECINCT 18,U.S. House,5,REP,Over-Votes,1,0.30%
Benton,PRECINCT 18,U.S. House,5,REP,Total Votes Cast,333,
Benton,PRECINCT 19,U.S. House,5,REP,BRIAN J. BOQUIST,26,60.47%
Benton,PRECINCT 19,U.S. House,5,REP,CRAIG L. SCHELSKE,12,27.91%
Benton,PRECINCT 19,U.S. House,5,REP,Write-Ins,0,0.00%
Benton,PRECINCT 19,U.S. House,5,REP,Total,38,
Benton,PRECINCT 19,U.S. House,5,REP,Under-Votes,4,9.30%
Benton,PRECINCT 19,U.S. House,5,REP,Over-Votes,1,2.33%
Benton,PRECINCT 19,U.S. House,5,REP,Total Votes Cast,43,
Benton,PRECINCT 01,Governor,,DEM,JIM HILL,199,28.67%
Benton,PRECINCT 01,Governor,,DEM,CALEB BURNS,2,0.29%
Benton,PRECINCT 01,Governor,,DEM,TED KULONGOSKI,342,49.28%
Benton,PRECINCT 01,Governor,,DEM,WILLIAM PETER ALLEN,3,0.43%
Benton,PRECINCT 01,Governor,,DEM,BEV STEIN,107,15.42%
Benton,PRECINCT 01,Governor,,DEM,Write-Ins,5,0.72%
Benton,PRECINCT 01,Governor,,DEM,Total,658,
Benton,PRECINCT 01,Governor,,DEM,Under-Votes,30,4.32%
Benton,PRECINCT 01,Governor,,DEM,Over-Votes,6,0.86%
Benton,PRECINCT 01,Governor,,DEM,Total Votes Cast,694,
Benton,PRECINCT 02,Governor,,DEM,JIM HILL,64,29.77%
Benton,PRECINCT 02,Governor,,DEM,CALEB BURNS,0,0.00%
Benton,PRECINCT 02,Governor,,DEM,TED KULONGOSKI,93,43.26%
Benton,PRECINCT 02,Governor,,DEM,WILLIAM PETER ALLEN,0,0.00%
Benton,PRECINCT 02,Governor,,DEM,BEV STEIN,47,21.86%
Benton,PRECINCT 02,Governor,,DEM,Write-Ins,1,0.47%
Benton,PRECINCT 02,Governor,,DEM,Total,205,
Benton,PRECINCT 02,Governor,,DEM,Under-Votes,9,4.19%
Benton,PRECINCT 02,Governor,,DEM,Over-Votes,1,0.47%
Benton,PRECINCT 02,Governor,,DEM,Total Votes Cast,215,
Benton,PRECINCT 03,Governor,,DEM,JIM HILL,138,26.85%
Benton,PRECINCT 03,Governor,,DEM,CALEB BURNS,2,0.39%
Benton,PRECINCT 03,Governor,,DEM,TED KULONGOSKI,208,40.47%
Benton,PRECINCT 03,Governor,,DEM,WILLIAM PETER ALLEN,7,1.36%
Benton,PRECINCT 03,Governor,,DEM,BEV STEIN,141,27.43%
Benton,PRECINCT 03,Governor,,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 03,Governor,,DEM,Total,496,
Benton,PRECINCT 03,Governor,,DEM,Under-Votes,18,3.50%
Benton,PRECINCT 03,Governor,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,Governor,,DEM,Total Votes Cast,514,
Benton,PRECINCT 04,Governor,,DEM,JIM HILL,107,29.72%
Benton,PRECINCT 04,Governor,,DEM,CALEB BURNS,1,0.28%
Benton,PRECINCT 04,Governor,,DEM,TED KULONGOSKI,184,51.11%
Benton,PRECINCT 04,Governor,,DEM,WILLIAM PETER ALLEN,4,1.11%
Benton,PRECINCT 04,Governor,,DEM,BEV STEIN,52,14.44%
Benton,PRECINCT 04,Governor,,DEM,Write-Ins,1,0.28%
Benton,PRECINCT 04,Governor,,DEM,Total,349,
Benton,PRECINCT 04,Governor,,DEM,Under-Votes,11,3.06%
Benton,PRECINCT 04,Governor,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 04,Governor,,DEM,Total Votes Cast,360,
Benton,PRECINCT 05,Governor,,DEM,JIM HILL,153,28.92%
Benton,PRECINCT 05,Governor,,DEM,CALEB BURNS,2,0.38%
Benton,PRECINCT 05,Governor,,DEM,TED KULONGOSKI,220,41.59%
Benton,PRECINCT 05,Governor,,DEM,WILLIAM PETER ALLEN,3,0.57%
Benton,PRECINCT 05,Governor,,DEM,BEV STEIN,125,23.63%
Benton,PRECINCT 05,Governor,,DEM,Write-Ins,2,0.38%
Benton,PRECINCT 05,Governor,,DEM,Total,505,
Benton,PRECINCT 05,Governor,,DEM,Under-Votes,23,4.35%
Benton,PRECINCT 05,Governor,,DEM,Over-Votes,1,0.19%
Benton,PRECINCT 05,Governor,,DEM,Total Votes Cast,529,
Benton,PRECINCT 06,Governor,,DEM,JIM HILL,242,30.14%
